# XDI/1.0 
# Spectrum.license:CC BY 4.0
# Publication.authors: Bruce Ravel
# Publication.affiliation: Brookhaven National Laboratory, NSLS-II
# Facility.name:NSLS-II
# Sample.temperature:rt
# Sample.prep:PEG pellet
# Sample.smiles:[Na+].[Fe+3].[Si+4].[Si+4].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2]
# Publication.DOI: https://doi.org/10.18434/mds2-4032
# Sample.name:Aegerine
# Scan.number:scan1
# Sample.id:9pyqfv
# Scan.start_time:2023-05-05
# Element.symbol:Fe
# Facility.energy:3.0 GeV
# Beamline.flux:Si(111): 2x10^12 at 10 keV; 6x10^10 at 20 keV; Si(311): 4x10^11 at 10 keV; 1x10^10 at 20 keV
# Beamline.name:Beamline for Materials Measurement (BMM)
# Beamline.energy_range:4.0 - 23
# Beamline.scan_mode:Transmission
# Beamline.energy_resolution:Si(111): 1.3 x 10^-4; Si(311):1.9 x 10^-5 
# Beamline.spot_size:300 µm
# Beamline.detector:Ionization chamber
# Beamline.website:https://www.bnl.gov/nsls2/beamlines/beamline.php?r=6-BM
# Mono.name:Si(111) and Si(311)
# Element.edge:K
# Column.1:Energy
# Column.2:I0
# Column.3:Itrans
# Column.4:Irefer
# Column.5:Mutrans
# Energy   I0           Itrans     Irefer     Mutrans               
6912.009   153.10354    5.312572   0.997334   0.23385517701615696   
6922.007   152.978544   5.398173   1.020571   0.2242281446502504    
6932.017   153.004525   5.48912    1.044769   0.2147521859579913    
6942.011   153.030997   5.581581   1.070015   0.20527992283473653   
6952.004   153.019244   5.673104   1.095006   0.1959165136993652    
6962.01    153.025903   5.766961   1.1205     0.18653924981257924   
6972.01    153.542525   5.876266   1.149899   0.17771172248093053   
6982.023   153.52319    5.973246   1.177116   0.16826020915531345   
6992.016   153.506039   6.068691   1.203755   0.15911281392106044   
7002.013   153.461588   6.164278   1.230999   0.1499920375236051    
7012.016   153.353113   6.258602   1.258025   0.14088545695224777   
7022.022   153.344007   6.355876   1.28613    0.13201417248994138   
7032.014   153.314641   6.454158   1.314358   0.12311190362883394   
7042.017   153.256554   6.551781   1.342391   0.11429275599356714   
7052.013   153.181047   6.650217   1.370832   0.10546554249647837   
7062.008   152.45615    6.715985   1.391902   0.09710865997405758   
7072.013   152.969142   6.839623   1.424766   0.08858081582493237   
7081.984   152.929674   6.936724   1.450138   0.08035543124470955   
7083.983   152.709345   6.946028   1.452179   0.07876128314853978   
7085.982   152.820299   6.968204   1.457931   0.07735101167719548   
7087.983   152.841783   6.988339   1.462168   0.07577824484032936   
