# XDI/1.0 
# Spectrum.license:CC BY 4.0
# Publication.authors: Bruce Ravel
# Publication.affiliation: Brookhaven National Laboratory, NSLS-II
# Facility.name:NSLS-II
# Sample.temperature:rt
# Sample.prep:PEG pellet
# Sample.smiles:[Ca+2].[Ca+2].[Ca+2].[Fe+3].[Fe+3].[Si+4].[Si+4].[Si+4].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2]
# Publication.DOI: https://doi.org/10.18434/mds2-4032
# Sample.name:Andradite
# Scan.number:scan1
# Sample.id:emsvvd
# Scan.start_time:2023-05-05
# Element.symbol:Fe
# Facility.energy:3.0 GeV
# Beamline.flux:Si(111): 2x10^12 at 10 keV; 6x10^10 at 20 keV; Si(311): 4x10^11 at 10 keV; 1x10^10 at 20 keV
# Beamline.name:Beamline for Materials Measurement (BMM)
# Beamline.energy_range:4.0 - 23
# Beamline.scan_mode:Transmission
# Beamline.energy_resolution:Si(111): 1.3 x 10^-4; Si(311):1.9 x 10^-5 
# Beamline.spot_size:300 µm
# Beamline.detector:Ionization chamber
# Beamline.website:https://www.bnl.gov/nsls2/beamlines/beamline.php?r=6-BM
# Mono.name:Si(111) and Si(311)
# Element.edge:K
# Column.1:Energy
# Column.2:I0
# Column.3:Itrans
# Column.4:Irefer
# Column.5:Mutrans
# Energy   I0           Itrans      Irefer     Mutrans               
6912.005   154.325037   16.175037   3.035486   0.5107727517493108    
6922.009   154.122582   16.342295   3.088761   0.49955824934576926   
6932.013   154.04819    16.523716   3.145731   0.48841837347358674   
6942.015   154.062682   16.722521   3.205757   0.4769472151104735    
6952.004   154.046503   16.911085   3.264932   0.4660055005840884    
6962.018   154.044185   17.101591   3.324063   0.4551611846873671    
6972.014   154.014101   17.286392   3.383266   0.4445815738822852    
6982.029   153.971508   17.477412   3.443548   0.43368982000896383   
6992.008   153.897132   17.662501   3.504158   0.4230384261933688    
7002.013   153.855435   17.857267   3.566524   0.4121743019893323    
7012.008   153.789894   18.050612   3.629191   0.40135134386002247   
7022.008   153.718403   18.23986    3.691239   0.3908188403809329    
7032.008   153.655204   18.430129   3.753054   0.38038882013073305   
7042.006   153.55468    18.620762   3.814877   0.3698078174194288    
7052.005   153.462011   18.802702   3.875537   0.35982407017977125   
7062.008   152.723519   18.913519   3.920368   0.34947958575595606   
7072.009   153.245115   19.172992   3.994044   0.33960302704221107   
7081.984   153.161417   19.35998    4.047313   0.3296920915322972    
7083.985   153.416101   19.425434   4.061794   0.3280353393344213    
7085.98    153.538043   19.482267   4.074424   0.325979146698341     
7087.99    153.538944   19.52263    4.084521   0.3239839850241196    
7089.988   153.518477   19.559026   4.092891   0.32205446330967724   
7091.993   153.490507   19.589855   4.096583   0.3203557071135999    
7093.991   153.441515   19.621455   4.09955    0.3184888852079921    
7095.986   153.448808   19.656585   4.102733   0.3168055140490299    
7097.982   153.37803    19.676262   4.100055   0.3153922209298397    
7099.996   153.314848   19.707677   4.095586   0.31345161140095873   
7102.001   153.288442   19.740433   4.084812   0.3116795844741827    
7102.292   153.272316   19.745121   4.083001   0.31134831609710084   
7102.587   153.253419   19.738054   4.078121   0.31157519173773646   
7102.884   153.263531   19.748819   4.076891   0.3111118600361567    
7103.188   153.205944   19.748945   4.072433   0.31074237645530395   
7103.483   153.192726   19.751121   4.068941   0.3105524507253884    
7103.787   153.187602   19.753202   4.065028   0.31041826097889375   
7104.089   153.17892    19.759381   4.060872   0.31006110432164896   
7104.386   153.1846     19.759008   4.054896   0.3101152014822679    
7104.686   153.181329   19.768318   4.051365   0.30963915151530064   
7104.989   153.153167   19.771187   4.046249   0.30932110330425244   
7105.285   153.135569   19.767441   4.038032   0.3093931985417989    
7105.593   153.121867   19.770225   4.030644   0.3091705469354652    
7105.886   153.101312   19.769031   4.020817   0.30909914929503796   
7106.188   153.084398   19.770329   4.011555   0.3089288668004307    
7106.49    153.070209   19.769892   4.001737   0.308860625776047     
7106.794   153.096362   19.774922   3.991409   0.3087798501551981    
7107.094   153.062434   19.778821   3.980279   0.3083749862632084    
7107.385   153.048482   19.780587   3.966497   0.3082005449051002    
7107.685   153.056384   19.779238   3.948498   0.30831639112591475   
7107.987   153.027804   19.784863   3.929747   0.3078609576015461    
7108.291   153.04354    19.789971   3.908335   0.30771080287817043   
7108.586   153.05526    19.79057    3.882921   0.30775557255038966   
7108.888   153.023978   19.787735   3.850973   0.307696460960538     
7109.188   152.9998     19.790429   3.812455   0.3074120901888793    
7109.493   152.990608   19.79027    3.762826   0.3073617743241102    
7109.799   152.973236   19.788944   3.694995   0.30731677084274955   
7110.093   152.964631   19.786022   3.603685   0.30740514765315924   
7110.395   152.905396   19.772515   3.47272    0.3076908871929881    
7110.697   152.876534   19.76568    3.291794   0.30784263554434044   
7110.995   152.869106   19.755937   3.053359   0.3082723171465277    
7111.297   152.837938   19.743481   2.769001   0.30868491423489525   
7111.595   152.810137   19.727224   2.475705   0.3093054120550179    
7111.891   152.753449   19.704892   2.208997   0.3100417337989377    
7112.194   152.724259   19.678809   1.995709   0.31113750101044746   
7112.49    152.704169   19.649743   1.836109   0.312439294956284     
7112.796   152.699638   19.610504   1.712781   0.31434307504485093   
7113.092   152.671917   19.566765   1.616234   0.31632620196357514   
7113.399   152.670068   19.549239   1.531164   0.31718080717874736   
7113.697   152.645704   19.548584   1.45615    0.31705890604256065   
7114       152.633537   19.561129   1.389955   0.31636164380312604   
7114.304   152.63484    19.56044    1.330212   0.31640394931398297   
7114.6     152.619319   19.553273   1.281859   0.3166599246267334    
7114.901   152.586657   19.55041    1.243573   0.31659457069058244   
7115.199   152.571876   19.567897   1.216655   0.3156365820223464    
7115.502   152.570969   19.597019   1.198469   0.3141931263348135    
7115.802   152.552858   19.625106   1.185373   0.31269377069961507   
7116.092   152.547747   19.632434   1.175289   0.3123004622838804    
7116.393   152.50418    19.628134   1.162983   0.31223608861110935   
7116.693   152.522028   19.617715   1.146827   0.31286253344558546   
7116.998   152.517642   19.597346   1.12185    0.31383903292358445   
7117.299   152.508301   19.576828   1.085637   0.31479252455901935   
7117.595   152.5168     19.542345   1.037998   0.31655076221128947   
7117.896   152.483344   19.493325   0.979149   0.31876672781723736   
7118.199   152.458827   19.436069   0.912687   0.3214550194232528    
7118.502   152.438276   19.358811   0.843708   0.3251751883825504    
7118.805   152.43484    19.265637   0.776032   0.32981762847968704   
7119.104   152.436793   19.151978   0.713789   0.3355503497021245    
7119.398   152.41143    19.019202   0.655236   0.34211510701373316   
7119.701   152.393376   18.877529   0.600081   0.34922884882138083   
7120       152.381198   18.720614   0.54733    0.3572211045016591    
7120.301   152.368444   18.547585   0.497122   0.36611716839104536   
7120.595   152.361745   18.350432   0.450379   0.37640587534023      
7120.892   152.332456   18.131303   0.407963   0.3878338691860975    
7121.199   152.313829   17.892006   0.370155   0.40055984129830224   
7121.5     152.293447   17.645614   0.338302   0.41383624279271103   
7121.801   152.299131   17.373718   0.310852   0.42888473581186626   
7122.102   152.291783   17.065178   0.286643   0.4461609937024527    
7122.401   152.297665   16.713044   0.264846   0.4663556938752805    
7122.705   152.287414   16.317504   0.244813   0.4894454809527186    
7123.001   152.267776   15.896151   0.227208   0.5146124838941268    
7123.305   152.262671   15.4671     0.211101   0.5410322666588648    
7123.597   152.240812   15.081625   0.197436   0.5652925205529328    
7123.899   152.218353   14.737836   0.185744   0.5874423624735791    
7124.204   152.19314    14.442898   0.175575   0.6068254371777723    
7124.499   152.19418    14.196694   0.166411   0.6234541382765859    
7124.794   152.16114    13.971945   0.158529   0.6386714694987087    
7125.095   152.170622   13.775547   0.151208   0.652417422322072     
7125.397   152.15172    13.585963   0.144617   0.6656945689189706    
7125.702   152.123197   13.412121   0.138374   0.6779634688012265    
7126.002   152.113769   13.239437   0.132713   0.6904315688274267    
7126.299   152.094225   13.038618   0.126574   0.7050836874060842    
7126.605   152.056925   12.775589   0.120023   0.7245484025464385    
7126.902   152.031419   12.450384   0.112889   0.7493138060873082    
7127.203   152.020994   12.062295   0.105382   0.7798617621583182    
7127.505   152.008995   11.646549   0.097752   0.8136939861851384    
7127.802   151.994772   11.248863   0.090545   0.8471913831604377    
7128.093   151.898866   10.892425   0.083942   0.8777102027364992    
7128.397   151.936463   10.578178   0.077747   0.9062506478340301    
7128.701   151.921971   10.304637   0.072008   0.931486672195485     
7128.996   151.908178   10.089284   0.067005   0.9518168925317951    
7129.295   151.879915   9.912912    0.0625     0.9686864430285169    
7129.597   151.85591    9.777608    0.058847   0.9818200249237217    
7129.899   151.81235    9.679783    0.055544   0.9912637766483516    
7130.203   151.796349   9.61646     0.053198   0.9975069547604504    
7130.502   151.75208    9.588896    0.051461   1                     
7130.8     151.731431   9.598011    0.050445   0.9989499030517043    
7131.102   151.69399    9.653042    0.05047    0.993184173277868     
7131.404   151.673943   9.752161    0.051092   0.9831802175685282    
