# XDI/1.0 
# Spectrum.license:CC0-4.0
# Contact.author.name:Industrial Science Group
# Contact.author.affiliation:Canadian Light Source
# Sample.reference:
# ScanParameters.E0:
# Sample.temperature:r.t
# Sample.prep:powder, 500 um
# Facility.name:CLS
# Facility.energy:2.90 GeV
# Facility.xray_source:Bending magnet
# Beamline.name:IDEAS
# Beamline.scan_mode:Transmission
# Beamline.detector:Ionization chamber
# Beamline.energy_range:1800 - 13000
# Beamline.flux:5E10-7E11 ph/s
# Mono.name:InSb(111), Ge(220)
# Scan.start_time:2019-12-12
# Sample.name:chalcopyrite
# Sample.id:x9912a
# Element.symbol:Fe
# Element.edge:"K:7112"
# Column 1:Energy
# Column 2:I0
# Column 3:Itrans
# Column 4:Irefer
# Column 5:Mutrans


# Energy  I0        Itrans    Irefer    Mutrans                  
6912      1197700   849361    1047100   0.25281824208400344      
6922      1207940   865090    1070740   0.24031866478500147      
6932      1227690   890100    1109640   0.22471006734963822      
6942      1237710   907725    1138290   0.21012223073153685      
6952      1225170   905887    1138610   0.19975695608652005      
6962      1216050   906100    1142360   0.1899630190585632       
6972      1230360   927491    1176300   0.17517770121989623      
6982      1243060   947879    1209240   0.16059573106395125      
6992      1273530   985313    1269170   0.1421485540922892       
7002      1273040   994458    1285460   0.12991906073191722      
7012      1302780   1032920   1347850   0.11104178216469383      
7022      1285520   1023160   1332740   0.10615769110438215      
7032      1281700   1032520   1353440   0.09080302824794635      
7042      1294300   1053700   1388700   0.07743064243794333      
7052      1291360   1061750   1403870   0.06486889022148751      
7062      1317420   1099920   1467910   0.04537507157709651      
7072      1332960   1124410   1506540   0.03229297539763038      
7082      1338220   1139750   1532220   0.02007770537742239      
7082.5    1338130   1140770   1533010   0.018855448975220866     
7083      1339180   1142190   1535880   0.01827134413983671      
7083.5    1338620   1141020   1534190   0.019042245474189746     
7084      1337840   1141880   1535190   0.017344070399280116     
7084.5    1336970   1140950   1533350   0.017552820574340294     
7085      1336470   1141220   1533660   0.01677677541756627      
7085.5    1335220   1139820   1531510   0.017147565258642944     
7086      1335270   1140660   1532880   0.016258958958525485     
7086.5    1334690   1140590   1532760   0.015784825673213664     
7087      1334300   1140400   1532300   0.015625146306850628     
7087.5    1334560   1141110   1533410   0.015081802462845744     
7088      1335030   1141840   1533900   0.01471655794512124      
7088.5    1335350   1142200   1534800   0.014620529188803466     
7089      1335270   1143480   1537020   0.013121057705428504     
7089.5    1335230   1144630   1538470   0.011805568159471248     
7090      1336310   1145330   1539190   0.012056119772210012     
7090.5    1336590   1146000   1540310   0.01157917880732305      
7091      1336880   1147380   1542500   0.01032549658836898      
7091.5    1338580   1149530   1545460   0.009561391556090967     
7092      1339120   1151050   1547660   0.008394687332853002     
7092.5    1339970   1151200   1547600   0.00903547917539608      
7093      1340610   1152390   1549480   0.00832933572648232      
