# XDI/1.0 
# Spectrum.license:CC BY 4.0
# Publication.authors: Bruce Ravel
# Publication.affiliation: Brookhaven National Laboratory, NSLS-II
# Facility.name:NSLS-II
# Sample.temperature:rt
# Sample.prep:PEG pellet
# Sample.smiles:[Mg+2].[Al+3].[Si+4].[O-2]
# Publication.DOI: https://doi.org/10.18434/mds2-4032
# Sample.name:Cordierite
# Scan.number:scan1
# Sample.id:kzt2nx
# Scan.start_time:2023-05-05
# Element.symbol:Fe
# Facility.energy:3.0 GeV
# Beamline.flux:Si(111): 2x10^12 at 10 keV; 6x10^10 at 20 keV; Si(311): 4x10^11 at 10 keV; 1x10^10 at 20 keV
# Beamline.name:Beamline for Materials Measurement (BMM)
# Beamline.energy_range:4.0 - 23
# Beamline.scan_mode:Transmission
# Beamline.energy_resolution:Si(111): 1.3 x 10^-4; Si(311):1.9 x 10^-5 
# Beamline.spot_size:300 µm
# Beamline.detector:Ionization chamber
# Beamline.website:https://www.bnl.gov/nsls2/beamlines/beamline.php?r=6-BM
# Mono.name:Si(111) and Si(311)
# Element.edge:K
# Column.1:Energy
# Column.2:I0
# Column.3:Itrans
# Column.4:Irefer
# Column.5:Mutrans
# Energy   I0           Itrans      Irefer     Mutrans               
6912.011   154.652582   30.32686    5.692802   1                     
6922.009   154.490328   30.59179    5.783154   0.9864969725007128    
6932.013   154.444475   30.890538   5.88078    0.9726233706571785    
6942.015   154.453216   31.184179   5.978719   0.9595957971865657    
6952.004   154.456691   31.496292   6.081103   0.9458311517850978    
6962.008   154.434381   31.794817   6.180645   0.9325631621100494    
6972.016   154.416991   32.08885    6.282095   0.9196553107410527    
6982.027   154.394908   32.392798   6.383836   0.9063975737335478    
6992.01    154.356791   32.695099   6.488149   0.893187670378437     
7002.015   154.294003   32.98534    6.5881     0.8803810177835917    
7012.016   154.25124    33.279522   6.692188   0.8676971863319973    
7022.012   154.199452   33.577742   6.796249   0.8548738239258852    
7032.014   154.105081   33.871583   6.899112   0.8419559290670138    
7042.008   154.02532    34.165958   7.002705   0.8292515253824465    
7052.009   153.939802   34.450024   7.102086   0.8170122587975687    
7062.012   153.174147   34.600729   7.17362    0.8040583365963138    
7072.005   153.711066   35.0362     7.299683   0.791579965040616     
7081.993   153.646194   35.330272   7.386777   0.7794166462881229    
7083.993   153.411077   35.338364   7.391177   0.7769779719806335    
7085.989   153.522866   35.40913    7.409468   0.7752157715311434    
7088       153.52254    35.470216   7.422016   0.7728250947749961    
7089.992   153.516258   35.545501   7.437979   0.769831313256949     
7092.001   153.476936   35.595639   7.445919   0.7675238552374297    
7093.997   153.411433   35.641496   7.450836   0.765149045137039     
7095.984   153.467651   35.71093    7.456917   0.7629605392045508    
7098.198   153.421189   35.760615   7.452838   0.7606150886553176    
7100.001   153.394952   35.827331   7.446348   0.7577961811571966    
7102.003   153.363685   35.876642   7.42712    0.7556084824945041    
7102.296   153.337133   35.885194   7.421807   0.755038458359383     
7102.589   153.33447    35.894241   7.417485   0.7546652047528573    
7102.889   153.34038    35.903894   7.413973   0.7543461076146599    
7103.195   153.340458   35.900781   7.405989   0.7544669253872559    
7103.49    153.332276   35.910231   7.398613   0.7540284176342529    
7103.785   153.308545   35.916581   7.392409   0.7535690699170878    
7104.093   153.320194   35.925822   7.385219   0.7533179533562655    
7104.388   153.302851   35.931074   7.37517    0.7529587503136476    
7104.688   153.289583   35.940098   7.367614   0.7524909902226301    
7104.989   153.289346   35.939642   7.354222   0.7525064245618485    
7105.287   153.256772   35.945068   7.343228   0.7520028978595097    
7105.589   153.26536    35.948691   7.330205   0.7519409036114811    
7105.888   153.258195   35.952069   7.313938   0.7517459783814653    
7106.19    153.265693   35.964367   7.300676   0.7513399764778445    
7106.49    153.248916   35.980666   7.285266   0.7505606721337539    
7106.787   153.23922    35.986537   7.265033   0.7502470067161321    
7107.087   153.235361   35.993594   7.244997   0.7499404951280476    
7107.387   153.244318   36.004383   7.219721   0.7496062962321635    
7107.691   153.226442   36.007315   7.189157   0.7493318906150093    
7107.987   153.179335   36.003229   7.153264   0.7490631515475067    
7108.289   153.192401   36.006666   7.112848   0.7490490716348305    
7108.582   153.222146   36.024681   7.069006   0.7486251098848047    
7108.884   153.21405    36.032949   7.013715   0.7482340170461498    
7109.193   153.185813   36.025165   6.938781   0.748277975974042     
7109.488   153.177518   36.032118   6.850801   0.7479356251449035    
7109.793   153.162815   36.043549   6.732896   0.7473632518508603    
7110.095   153.164612   36.048545   6.570635   0.7471875056275895    
7110.395   153.159341   36.046942   6.33221    0.7472014334754802    
7110.699   153.117878   36.033011   5.999975   0.7473618313655673    
7110.997   153.092427   36.018077   5.568796   0.7477058033768876    
7111.295   153.06679    36.015131   5.060571   0.7475871144495526    
7111.593   153.041219   36.006644   4.519913   0.7476821535576417    
7111.891   153.02041    36.003315   4.03452    0.7476218670500109    
7112.198   152.986602   35.998693   3.645581   0.747493623085492     
7112.494   152.953883   35.999632   3.365427   0.7471611928946632    
7112.786   152.930187   36.00761    3.151005   0.7466396068397875    
7113.094   152.925592   36.013034   2.97648    0.7463893298710744    
7113.397   152.897488   36.00851    2.822996   0.7463087578379283    
7113.699   152.885406   36.016353   2.684406   0.745897597167853     
7114.002   152.893643   36.022998   2.560749   0.7457166713533572    
7114.296   152.865374   36.038816   2.45497    0.7448523711952998    
7114.598   152.874303   36.051307   2.364219   0.7444532346592828    
7114.899   152.851011   36.052878   2.293812   0.7441817941253681    
7115.204   152.847476   36.061214   2.242303   0.7438294972946725    
7115.498   152.842381   36.062944   2.206611   0.7437168648661523    
7115.8     152.831628   36.05858    2.180278   0.7437870453098989    
7116.097   152.843605   36.060814   2.159421   0.7438097795025757    
7116.393   152.812318   36.047231   2.137584   0.7440480732054925    
7116.696   152.788042   36.02626    2.106366   0.7446341245636254    
7116.996   152.786917   36.010178   2.062006   0.7452424419655366    
7117.295   152.773313   35.981195   1.998557   0.7462344840420065    
7117.598   152.761907   35.927035   1.910411   0.7482177766379917    
7117.898   152.71118    35.859378   1.802538   0.7503688670561819    
7118.203   152.727623   35.791393   1.680835   0.7531468094956952    
7118.502   152.712328   35.68757    1.556857   0.7570322753071985    
7118.801   152.702256   35.554756   1.4356     0.7621059082828866    
7119.101   152.690096   35.370257   1.319766   0.7692026769315184    
7119.404   152.675914   35.158166   1.211637   0.777405510537867     
7119.707   152.666724   34.948115   1.111216   0.785623177787558     
7120       152.637061   34.741974   1.016928   0.7935491788854675    
7120.294   152.626159   34.56772    0.927952   0.8004157568499239    
7120.593   152.625502   34.425345   0.845643   0.8061271200797165    
7120.894   152.591261   34.300659   0.771588   0.8108427523662765    
7121.199   152.596024   34.1479     0.705458   0.8170691060503432    
7121.498   152.572765   33.977712   0.651479   0.8237791777033977    
7121.797   153.057948   33.905993   0.607007   0.8311044265246122    
7122.102   153.053467   33.740124   0.566678   0.8378572717313293    
7122.401   153.029049   33.60212    0.531953   0.8433139015926135    
7122.705   153.013813   33.5183     0.502277   0.8466358235819991    
7122.997   152.995066   33.483801   0.478045   0.8478926265342921    
7123.301   152.992777   33.437854   0.455873   0.8497740941889722    
7123.597   152.967391   33.350632   0.436311   0.8531623865047366    
7123.905   152.940076   33.218054   0.418283   0.8584328025438176    
7124.204   152.919554   33.014151   0.400823   0.8667763368289136    
7124.497   152.910452   32.738923   0.384087   0.8782908142981198    
7124.796   152.901226   32.377777   0.367446   0.893573163574994     
7125.093   152.903432   31.938169   0.350978   0.9125304362668353    
7125.403   152.907449   31.413339   0.334348   0.9355196301173895    
7125.702   152.884261   30.88744    0.318734   0.9586970122411428    
7125.999   152.867488   30.434171   0.304816   0.97902429382305      
7126.301   152.841678   30.109616   0.292038   0.9936424552478353    
7126.602   152.793072   29.998998   0.281539   0.9983004801491615    
7126.904   152.761706   30.13253    0.272719   0.9918636300033465    
7127.208   152.739486   30.479175   0.265493   0.9758169383407426    
7127.503   152.722788   30.943608   0.258981   0.9547163610638366    
7127.8     152.715495   31.425495   0.252069   0.9332435726755781    
7128.102   152.687723   31.851777   0.244344   0.9143269809953379    
7128.401   152.664735   32.198175   0.235651   0.8991345051874415    
7128.705   152.658466   32.491733   0.226182   0.8865050388131909    
7128.994   152.625257   32.719273   0.216591   0.8765364135330194    
7129.297   152.600385   32.882593   0.206759   0.8694132066779445    
7129.597   152.577946   32.978282   0.197482   0.8651841900516621    
7129.901   152.554752   33.032388   0.188911   0.8627027070237353    
7130.205   152.530119   33.059179   0.182236   0.8613559393857508    
7130.505   152.49499    33.069455   0.17684    0.8606063380583081    
7130.802   152.458026   33.085408   0.173604   0.8596024104091071    
7131.104   152.447086   33.110523   0.172232   0.8584518503765626    
7131.399   152.425577   33.131526   0.173088   0.8573779477241192    
7131.708   152.407822   33.166009   0.176079   0.8557755521175945    
7132.001   152.386146   33.195193   0.181097   0.8543601066835325    
7132.299   152.362255   33.213229   0.187037   0.8533904520575862    
7132.601   152.359063   33.239622   0.194857   0.8522610590396119    
7132.903   152.348021   33.271303   0.203413   0.850840975944856     
7133.196   152.330275   33.293867   0.212433   0.8497404598284721    
7133.496   152.348193   33.331567   0.222422   0.8483356850172816    
7133.803   152.353814   33.375267   0.232018   0.8465718004233428    
7134.1     152.339725   33.379068   0.241468   0.846285936269153     
7134.403   152.356944   33.384429   0.250148   0.8462200350680142    
7134.703   152.346092   33.352733   0.257442   0.8474371955015386    
7135.001   152.349296   33.308653   0.263851   0.8492983537851739    
7135.298   152.341085   33.26209    0.269567   0.8511615483051398    
7135.605   152.310104   33.207346   0.274425   0.8531616089351052    
7135.903   152.337149   33.177758   0.278412   0.8546423982575478    
7136.201   152.316204   33.154966   0.281117   0.8554038830145734    
7136.499   152.309205   33.144639   0.282917   0.8557717740162196    
7136.797   152.304653   33.135341   0.283944   0.856119033709196     
7136.996   152.302711   33.134034   0.284021   0.8561560123907109    
7138       152.311682   33.21991    0.27965    0.8526519434850528    
7138.999   152.308362   33.380737   0.269232   0.8459314504998373    
7140.03    152.294015   33.582872   0.257713   0.837437841425682     
7141.089   152.304712   33.800306   0.250556   0.8285950553445496    
7142.11    152.264887   33.960984   0.250442   0.8216631739166638    
7143.186   152.283132   34.085279   0.255098   0.8167684136749903    
7144.292   152.276862   34.201224   0.260112   0.8120072212704237    
7145.42    152.222247   34.305609   0.259803   0.8072887796375466    
7146.563   152.267212   34.453314   0.251446   0.8017463537496526    
7147.707   152.256678   34.597289   0.237252   0.7958737563703223    
7148.892   152.227806   34.729708   0.222176   0.7903191361464851    
7150.085   152.230926   34.822685   0.211868   0.7866438962048566    
7151.306   152.23311    34.861497   0.206171   0.7851206634011288    
7152.532   152.223421   34.840607   0.201745   0.7858628353168081    
7153.782   152.200658   34.804028   0.199371   0.7871108228736798    
7155.049   152.177123   34.745866   0.200717   0.7892134988531757    
7156.344   152.16268    34.656098   0.203793   0.7926655731209183    
7157.652   152.14106    34.518801   0.20643    0.7979676503426447    
7158.975   152.104103   34.381157   0.20672    0.803165923270816     
7160.33    152.099102   34.291403   0.206753   0.8067414296038179    
7161.705   152.057295   34.222299   0.207835   0.8091550217490052    
7163.084   152.029104   34.167383   0.211039   0.8111228781482722    
7164.491   151.98953    34.12177    0.215367   0.8126127891415196    
7165.911   151.937988   34.112893   0.218882   0.8125033769534354    
7167.353   151.901307   34.154558   0.221868   0.8104779886136108    
7168.82    151.884917   34.200585   0.224785   0.8084629669551441    
7170.299   151.852225   34.23185    0.228893   0.806898980222374     
7171.793   151.804198   34.254345   0.236027   0.8055507737506936    
7173.321   151.777961   34.35573    0.247253   0.801217308632119     
7174.856   151.734244   34.490561   0.261537   0.7953923230502232    
7176.418   151.719671   34.625885   0.277722   0.7898347921866039    
7177.982   151.687725   34.706515   0.293302   0.7863210864174758    
7179.592   151.669955   34.748206   0.303967   0.7844957471257311    
7181.193   151.638249   34.762415   0.306788   0.7836397929842831    
7182.836   151.626281   34.792094   0.304361   0.7823482646330877    
7184.49    151.581802   34.827015   0.298399   0.7805521375855925    
7186.159   151.549095   34.874683   0.28738    0.778358472460367     
7187.851   151.498356   34.943672   0.273298   0.7751569754051104    
7189.559   151.510182   35.039086   0.259378   0.7714877716552795    
7191.288   149.949355   34.771698   0.242237   0.7677547136303022    
7193.037   151.121428   35.123065   0.231555   0.764612663024037     
7194.801   151.302815   35.237899   0.22729    0.7617526522892821    
7196.593   151.294094   35.301704   0.232427   0.7591667761442947    
7198.387   151.261768   35.350056   0.244772   0.7569746880165167    
7200.219   151.20118    35.385302   0.261554   0.7550392034259822    
7202.053   151.163189   35.423355   0.282151   0.753202191439315     
7203.922   151.123893   35.473318   0.306219   0.7508895527584227    
7205.801   151.086285   35.516682   0.329165   0.7488524044473238    
7207.708   151.029537   35.552865   0.340221   0.7469214607097048    
7209.618   150.95756    35.576646   0.330369   0.7453348334915696    
7211.564   150.906253   35.603515   0.297498   0.7438181132326801    
7213.518   150.864743   35.65138    0.25252    0.7415759224294826    
7215.498   150.807103   35.694496   0.211102   0.7393722581623672    
7217.491   150.740128   35.758815   0.181284   0.7362629973241599    
7219.508   150.704833   35.848615   0.165064   0.7324641841900701    
7221.536   150.66833    35.928096   0.162551   0.7290606905183824    
