# XDI/1.0 
# Spectrum.license:CC BY 4.0
# Publication.authors: Bruce Ravel
# Publication.affiliation: Brookhaven National Laboratory, NSLS-II
# Facility.name:NSLS-II
# Sample.temperature:rt
# Sample.prep:PEG pellet
# Sample.smiles:[Ca+2].[Al+3].[Fe+3].[Si+4].[O-2].[OH-]
# Publication.DOI: https://doi.org/10.18434/mds2-4032
# Sample.name:Epidote
# Scan.number:scan1
# Sample.id:f4lca4
# Scan.start_time:2023-05-05
# Element.symbol:Fe
# Facility.energy:3.0 GeV
# Beamline.flux:Si(111): 2x10^12 at 10 keV; 6x10^10 at 20 keV; Si(311): 4x10^11 at 10 keV; 1x10^10 at 20 keV
# Beamline.name:Beamline for Materials Measurement (BMM)
# Beamline.energy_range:4.0 - 23
# Beamline.scan_mode:Transmission
# Beamline.energy_resolution:Si(111): 1.3 x 10^-4; Si(311):1.9 x 10^-5 
# Beamline.spot_size:300 µm
# Beamline.detector:Ionization chamber
# Beamline.website:https://www.bnl.gov/nsls2/beamlines/beamline.php?r=6-BM
# Mono.name:Si(111) and Si(311)
# Element.edge:K
# Column.1:Energy
# Column.2:I0
# Column.3:Itrans
# Column.4:Irefer
# Column.5:Mutrans
# Energy   I0           Itrans      Irefer     Mutrans               
6912.005   154.337342   41.22907    7.743522   0.8476837242785398    
6922.009   154.156088   41.51986    7.853366   0.8344944104275726    
6932.036   154.122393   41.831353   7.966454   0.8221258815506349    
6942.017   154.132664   42.197344   8.093904   0.8082273022964017    
6952.002   154.089229   42.534668   8.214488   0.7949726248090356    
6962.014   154.055154   42.874297   8.338419   0.7818301912467243    
6972.018   154.057329   43.214798   8.462398   0.7691344900936279    
6982.008   154.002307   43.550057   8.58772    0.7561350930596958    
6992.018   153.979013   43.893031   8.712244   0.7432794788070396    
7002.011   153.923359   44.218861   8.835434   0.7308072518361504    
7012.008   153.850235   44.544402   8.959917   0.7182499870951565    
7022.012   153.788993   44.88094    9.087722   0.7055084604021257    
7032.008   153.71196    45.207952   9.210226   0.6930306712176594    
7042.006   153.631584   45.508072   9.329681   0.6815514301742381    
7052.007   153.52424    45.835435   9.45271    0.6689033775523554    
7062.008   152.780894   45.947606   9.529232   0.6571698600955999    
7072.009   153.274803   46.446821   9.679331   0.6449848873110271    
7081.984   153.228226   46.795936   9.788213   0.6324565457566851    
7083.987   153.007566   46.801537   9.792834   0.6299471118064482    
7085.985   153.127935   46.90917    9.818184   0.6275181278867386    
7087.992   153.13038    46.966807   9.831524   0.6255695276292553    
7089.99    153.096171   47.029538   9.845229   0.6230643023598426    
7091.997   153.068775   47.089738   9.85362    0.6207198348809121    
7093.978   152.991602   47.139231   9.857566   0.618220066472374     
7096.187   152.987455   47.207511   9.859956   0.6158493227416337    
7098.24    152.980495   47.263452   9.85245    0.6138720668281046    
7099.984   152.981328   47.320007   9.839407   0.6119581023478782    
7101.988   152.941993   47.389049   9.812478   0.6092005177994471    
7102.288   152.895042   47.371371   9.802172   0.6093067552079248    
7102.585   152.877892   47.383828   9.795683   0.6087036643751471    
7102.884   152.888022   47.404289   9.791062   0.6081160790235812    
7103.19    152.865325   47.398583   9.780606   0.6080709161706305    
7103.483   152.831983   47.396632   9.770178   0.6077863772113958    
7103.781   152.820797   47.387698   9.757614   0.6079717846329615    
7104.087   152.801139   47.411052   9.747525   0.6069727835634575    
7104.386   152.814736   47.419895   9.736688   0.606815992738477     
7104.688   152.802142   47.423919   9.725412   0.6065470537426895    
7104.985   152.76897    47.429783   9.711114   0.60599918592205      
7105.285   152.759843   47.43262    9.693359   0.605806960604417     
7105.584   152.731102   47.429411   9.674566   0.6056132110929514    
7105.888   152.718802   47.415195   9.651137   0.6059656996860115    
7106.188   152.741762   47.441042   9.633703   0.6053311977240957    
7106.486   152.729634   47.450532   9.611518   0.6048819436939251    
7106.792   152.715992   47.456382   9.58589    0.6045401207239965    
7107.092   152.704985   47.462073   9.55506    0.6042314390138322    
7107.389   152.712751   47.479937   9.524945   0.6037081685165798    
7107.687   152.702461   47.487272   9.48595    0.6033514668226587    
7107.989   152.675658   47.472126   9.436325   0.6035821203118946    
7108.289   152.674393   47.485145   9.38301    0.6031279300144617    
7108.591   152.663871   47.486008   9.32077    0.602987900579855     
7108.888   152.653318   47.486219   9.247151   0.6028696128568938    
7109.191   152.611008   47.486434   9.153312   0.6024166494805414    
7109.495   152.618167   47.501333   9.034907   0.6019876992367282    
7109.793   152.613969   47.507016   8.879414   0.6017511310293688    
7110.093   152.592706   47.503053   8.661689   0.6016612355684431    
7110.395   152.582823   47.508093   8.355959   0.6013865247795928    
7110.697   152.571844   47.512168   7.918838   0.6011329306790394    
7110.993   152.526603   47.499584   7.356838   0.6010820070310368    
7111.302   152.862804   47.60456    6.678201   0.6010726571277138    
7111.591   153.013098   47.647082   5.995203   0.6012171611402094    
7111.891   152.989414   47.635132   5.349354   0.6013715698086696    
7112.189   152.940179   47.603865   4.832702   0.6019097451404487    
7112.49    152.898753   47.559204   4.447487   0.6029832998656186    
7112.792   152.868315   47.509095   4.158076   0.6043580842736171    
7113.097   152.851161   47.464073   3.922913   0.6057020040592245    
7113.395   152.823906   47.409681   3.718425   0.607258816602728     
7113.699   152.82024    47.382391   3.534867   0.6081459930656479    
7114       152.81185    47.387788   3.370457   0.607874598989418     
7114.3     152.82063    47.386737   3.227186   0.6080026332607205    
7114.598   152.777729   47.415273   3.111032   0.6065833065976216    
7114.901   152.785029   47.4253     3.019086   0.6063201609848275    
7115.201   152.772785   47.454169   2.953287   0.6052129025078123    
7115.5     152.759792   47.49656    2.907312   0.6036405510434036    
7115.802   152.76706    47.539759   2.873964   0.6022553923509776    
7116.092   152.73384    47.572188   2.849887   0.6008093580482681    
7116.393   152.703783   47.591976   2.823482   0.5998242901078638    
7116.698   152.691445   47.595801   2.784511   0.5995651659371358    
7116.998   152.66935    47.587214   2.726385   0.5996225919301386    
7117.295   152.677492   47.590761   2.642974   0.5995884994435668    
7117.598   152.664063   47.578311   2.529942   0.599867739402114     
7117.896   152.627177   47.559912   2.393021   0.6001010943024282    
7118.199   152.581324   47.539552   2.234963   0.6003064307386621    
7118.506   152.60135    47.524108   2.073423   0.6010398389958476    
7118.805   152.575528   47.504825   1.917353   0.6014202553053184    
7119.099   152.558878   47.459305   1.771236   0.6027861482997611    
7119.398   152.527241   47.411736   1.635735   0.6040650134461782    
7119.701   152.537585   47.35738    1.506946   0.6060183847651344    
7119.998   152.468683   47.248396   1.382882   0.6089962650964496    
7120.298   152.482746   47.16113    1.265679   0.6121168310237833    
7120.593   152.497492   47.046422   1.156198   0.6161876349891042    
7120.894   152.442317   46.885196   1.055502   0.6211251115018075    
7121.199   152.429271   46.699544   0.966294   0.6273665481614455    
7121.498   152.383677   46.491625   0.892088   0.6340598697546668    
7121.799   152.384105   46.245711   0.828551   0.6425912553719046    
7122.105   152.349037   45.937659   0.771508   0.6529668719089196    
7122.397   152.368625   45.607893   0.722927   0.6647568290441422    
7122.702   152.356048   45.233261   0.67927    0.6778853674139782    
7123.008   152.335192   44.873514   0.640821   0.6905033992318392    
7123.301   152.330143   44.554097   0.607738   0.701935565082154     
7123.602   152.309995   44.301396   0.579835   0.7108678982564249    
7123.899   152.30274    44.066025   0.555117   0.7193562019928735    
7124.2     152.271364   43.810308   0.532091   0.7283822092500939    
7124.497   152.259553   43.564099   0.511357   0.7373185928511077    
7124.798   152.238076   43.249716   0.49068    0.74873659082438      
7125.093   152.211233   42.896047   0.471724   0.7616546429786024    
7125.397   152.173089   42.496978   0.452339   0.7762792501907677    
7125.7     152.159111   42.077859   0.434175   0.7920668386090068    
7126.002   152.117179   41.659215   0.417283   0.8077001718386738    
7126.301   152.113638   41.232128   0.400091   0.8242307797529014    
7126.605   152.095027   40.787673   0.382952   0.8414590765054352    
7126.902   152.054564   40.36933    0.366236   0.8576069271921053    
7127.21    152.03002    39.968727   0.348634   0.8733819211752188    
7127.505   152.053351   39.627613   0.332164   0.8874092693486112    
7127.802   152.012088   39.343754   0.316181   0.8985312243974949    
7128.095   151.982122   39.124835   0.300958   0.907185412884796     
7128.399   151.95795    38.945192   0.285621   0.9143289143217963    
7128.701   151.917794   38.833102   0.270637   0.9185381228160963    
7128.996   151.885959   38.770583   0.256874   0.9207917046764151    
7129.295   151.871379   38.757619   0.243721   0.9211750594080655    
7129.597   151.817705   38.770643   0.232226   0.92006654978595      
7129.899   151.791449   38.809415   0.222482   0.9181814219805892    
7130.207   151.780803   38.837021   0.214216   0.9169254024192067    
7130.502   151.77716    38.83825    0.207865   0.9168359342869166    
7130.798   151.739061   38.788197   0.203554   0.9185056839870651    
7131.102   151.711161   38.676791   0.201037   0.9228345200363877    
7131.402   151.700832   38.514837   0.200963   0.9294716078777787    
7131.704   151.658352   38.291055   0.203169   0.9383902923943492    
7132.003   151.638435   38.047999   0.207304   0.9484172691224122    
7132.297   151.607775   37.784315   0.212914   0.9592734259093281    
7132.597   151.608052   37.53075    0.219551   0.97010238956281      
7132.899   151.568208   37.284674   0.227479   0.9802562349373037    
7133.198   151.575746   37.094225   0.236493   0.9885697960404477    
7133.498   151.581087   36.967027   0.246181   0.9941491249456793    
7133.798   151.550106   36.880417   0.256217   0.9975917961060083    
7134.098   151.603577   36.848938   0.266107   0.9995318739919578    
7134.398   151.60434    36.838396   0.275577   1                     
7134.705   151.60797    36.862011   0.284535   0.9990081623128074    
7135.005   151.614129   36.943605   0.292494   0.9955185638389006    
7135.298   151.615689   37.056716   0.300322   0.9906200158888218    
7135.603   151.576989   37.22698    0.307714   0.9828391903252578    
7135.899   151.552609   37.404959   0.313517   0.9749121670156569    
7136.201   151.528644   37.60854    0.318782   0.9659310296887156    
7136.503   151.536121   37.81077    0.32251    0.9573880441608541    
7136.799   151.528136   37.979497   0.325316   0.9501446596431069    
7136.992   151.499963   38.080332   0.326393   0.9455826932426182    
7137.998   151.515191   38.521096   0.324472   0.927241638522797     
7139.007   151.5104     38.779231   0.312703   0.9164527055553783    
7140.028   151.510477   38.964151   0.298997   0.908804934956675     
7141.079   151.502233   39.246712   0.290919   0.8971001010321051    
7142.145   151.497405   39.6174     0.291797   0.8819344160799302    
7143.19    151.450848   39.958735   0.29885    0.8676471860634359    
7144.287   151.438528   40.258493   0.306271   0.8555002482525076    
7145.413   151.429452   40.427061   0.306337   0.8486858879490442    
7146.557   151.415698   40.464071   0.295511   0.8470686272161349    
7147.707   151.392947   40.467429   0.277453   0.8466936091902894    
7148.888   151.379955   40.554013   0.259457   0.8431192749023145    
7150.083   151.395256   40.747011   0.248275   0.835648384839913     
7151.299   151.4006     41.006753   0.242302   0.8254887839191241    
7152.532   151.363398   41.256806   0.238963   0.8153193652189317    
7153.786   151.391085   41.491276   0.237612   0.8065019188165392    
7155.049   151.359068   41.648325   0.240519   0.800087677223403     
7156.344   151.312463   41.764407   0.245657   0.7951175478498328    
7157.656   151.291809   41.852254   0.250132   0.7915198016384478    
7158.982   151.263473   41.910934   0.252065   0.7889659772888149    
7160.33    151.243766   41.945716   0.252961   0.7874227382295718    
7161.705   151.210341   41.951573   0.254815   0.7868428905020164    
7163.078   151.152693   41.921275   0.258764   0.7873914019869002    
7164.491   151.114455   41.911143   0.26431    0.7873732537961073    
7165.913   151.065031   41.896816   0.268729   0.7873970231703744    
7167.353   151.037086   41.857738   0.271842   0.788599895696926     
7168.816   151.005671   41.786636   0.27483    0.790998860104016     
7170.294   150.989914   41.68083    0.278787   0.7949072621882279    
7171.793   150.954822   41.553407   0.286174   0.7994562784843074    
7173.321   150.905125   41.413868   0.297985   0.8043350330485248    
7174.856   150.885447   41.299247   0.312909   0.8085814137061648    
7176.418   150.83351    41.23384    0.330806   0.8105762257014674    
7177.989   150.78916    41.246969   0.348495   0.8095915671712466    
7179.587   150.76269    41.267678   0.360913   0.8085022784858914    
7181.202   150.74034    41.289711   0.364225   0.8074057330709781    
7182.83    150.720186   41.33214    0.361248   0.8055394494136056    
