# XDI/1.0 
# Spectrum.license:CC BY 4.0
# Publication.authors: Peter Blanchard, Miranda Vu, Joel Reid, Erika Bergen, Jeff Warner
# Publication.affiliation: Canadian Light Source
# Facility.name:CLS
# Sample.temperature:r.t
# Sample.prep:powder, 500 um
# Sample.formula:FeO(OH)
# Publication.DOI: https://doi.org/10.20383/103.01329
# Sample.name:Goethite
# Scan.number:scan1
# Sample.id:ghzdol
# Scan.start_time:2022-03-21
# Element.symbol:Fe
# Facility.energy:2.90 GeV
# Facility.xray_source:Bending magnet
# Beamline.name:IDEAS
# Beamline.scan_mode:Transmission
# Beamline.website:https://ideas.lightsource.ca/
# Beamline.detector:Ionization chamber
# Beamline.energy_range:1.8 - 13.0
# Beamline.flux:5E10-7E11 ph/s
# Mono.name:InSb(111), Ge(220)
# Element.edge:K
# Column.1:Energy
# Column.2:I0
# Column.3:Itrans
# Column.4:Irefer
# Column.5:Mutrans
# Energy  I0        Itrans    Irefer    Mutrans               
6912      1022780   946795    875559    0.18753457788007905   
6922      1080170   1010770   928442    0.17903319657192246   
6932      1081690   1024710   942180    0.16935012296964247   
6942      1080270   1033190   951610    0.16182247613896752   
6952      1088490   1055320   972603    0.15109830525482715   
6962      1093220   1072760   989885    0.14160143929499194   
6972      1084890   1075430   994426    0.13361717063598544   
6982      1079180   1079980   1000130   0.1261336683665975    
6992      1078470   1090450   1011390   0.11801439109918517   
7002      1074990   1099050   1020820   0.1092793016183534    
7012      1068560   1103180   1026450   0.1015979686573103    
7022      1061950   1106460   1031420   0.09437060761565673   
7032      1066060   1124730   1049940   0.08451147596708135   
7042      1065190   1133120   1057770   0.07801332786945217   
7052      1068730   1155790   1082910   0.06502116658719691   
7062      1066610   1166340   1094610   0.05629832399162031   
7072      1057650   1169420   1099840   0.047574688090750786  
7082      1069310   1195720   1124040   0.038690879281229544  
7082.5    1068770   1196180   1124430   0.03798991390789672   
7083      1068940   1197020   1125100   0.037562176782724006  
7083.5    1069020   1197360   1125400   0.03739739663292345   
7084      1069000   1197530   1125280   0.0372708120369946    
7084.5    1068920   1198410   1126180   0.03663314174554787   
7085      1069200   1199930   1127550   0.035840889246063885  
7085.5    1069300   1200580   1128160   0.0354879254781329    
7086      1069430   1200090   1127580   0.03590530010679452   
7086.5    1069390   1200740   1128280   0.03544924656554253   
7087      1069360   1201520   1128990   0.03491554660289081   
7087.5    1069260   1201590   1128840   0.03479597494946205   
7088      1069220   1202300   1129180   0.03430113267319912   
7088.5    1069420   1203810   1130790   0.03345966360102874   
7089      1069150   1204080   1130960   0.03308405814321441   
7089.5    1068910   1204790   1131460   0.0324427831977726    
7090      1068750   1203800   1130520   0.032972480331547024  
7090.5    1068060   1203680   1130480   0.03254222775969823   
7091      1067150   1203180   1129870   0.03219803393690386   
7091.5    1065890   1201930   1128600   0.03208619635321412   
7092      1064570   1200160   1126960   0.03227097684785295   
7092.5    1063340   1199780   1126160   0.03160969227685539   
7093      1061850   1197580   1124250   0.031950915093568726  
7093.5    1061160   1197880   1123960   0.031241491133388994  
7094      1060140   1197200   1123360   0.03093121464560574   
7094.5    1059580   1197150   1122590   0.030547858039438665  
7095      1059340   1196080   1121640   0.03107385024676351   
7095.5    1058850   1196680   1122030   0.030314259930707767  
7096      1058300   1196920   1121930   0.0297469526102401    
7096.5    1057520   1196230   1120850   0.029620384457705446  
7097      1056960   1196380   1120740   0.02910431198468241   
7097.5    1055850   1194110   1117970   0.029772741916182534  
7098      1054980   1192360   1115580   0.030278741427051586  
7098.5    1054670   1192160   1114330   0.03017936711283149   
7099      1053830   1190250   1111500   0.03081485405857791   
7099.5    1053220   1188530   1109260   0.031497978180825746  
7100      1052140   1188480   1108820   0.030722859091653745  
7100.5    1051100   1188160   1107830   0.030155897184124897  
7101      1050230   1186800   1106160   0.030405820450027557  
7101.5    1049410   1187060   1105650   0.029617894938107354  
7102      1048270   1187230   1105450   0.028648789800366645  
7102.5    1047760   1187960   1105480   0.027781150596632342  
7103      1046760   1186820   1103640   0.027785260019134207  
7103.5    1046050   1186540   1102300   0.027436603167167662  
7104      1045150   1185300   1099820   0.02758223252408661   
7104.5    1044730   1185330   1098230   0.027245640690844362  
7105      1044040   1184690   1095590   0.027150633152796717  
7105.5    1043450   1184320   1093280   0.02695139018842163   
7106      1043190   1184170   1090730   0.02685485002978805   
7106.5    1042540   1183260   1086960   0.026969464020665617  
7107      1042460   1183500   1083100   0.026749231979319527  
7107.5    1042380   1183550   1078240   0.02665548881033895   
7108      1042170   1183270   1071250   0.02668315853205207   
7108.5    1041970   1182740   1062790   0.0268849071769105    
7109      1041640   1181590   1049470   0.027401741020803214  
7109.5    1041270   1180850   1034600   0.027615395781495237  
7110      1041280   1180260   1011210   0.028016684553603934  
7110.5    1040540   1177970   982474    0.028986658540930917  
7111      1040140   1175670   942798    0.03022347509491324   
7111.5    1039800   1171790   889685    0.0325701990528905    
7112      1039700   1166180   824745    0.03627519379632773   
7112.5    1039190   1158920   769637    0.040808497811444355  
7113      1039550   1151560   722270    0.04610053905530965   
7113.5    1039420   1143710   686087    0.05139081785341417   
7114      1039610   1136030   651765    0.05684283124022196   
7114.5    1041810   1133400   628849    0.060334200636702646  
7115      1043410   1132320   610100    0.06229424776296493   
7115.5    1043420   1131600   596089    0.0628029003164686    
7116      1043500   1132110   585398    0.06250832030330643   
