# XDI/1.0 
# Spectrum.license:CC BY 4.0
# Publication.authors: Bruce Ravel
# Publication.affiliation: Brookhaven National Laboratory, NSLS-II
# Facility.name:NSLS-II
# Sample.temperature:rt
# Sample.prep:powder on tape
# Sample.formula:FeO2
# Sample.smiles:O=[Fe]O
# Publication.DOI: https://doi.org/10.18434/mds2-4032
# Sample.name:Goethite
# Scan.number:scan1
# Sample.id:iwwqca
# Scan.start_time:2023-05-05
# Element.symbol:Fe
# Facility.energy:3.0 GeV
# Beamline.flux:Si(111): 2x10^12 at 10 keV; 6x10^10 at 20 keV; Si(311): 4x10^11 at 10 keV; 1x10^10 at 20 keV
# Beamline.name:Beamline for Materials Measurement (BMM)
# Beamline.energy_range:4.0 - 23
# Beamline.scan_mode:Transmission
# Beamline.energy_resolution:Si(111): 1.3 x 10^-4; Si(311):1.9 x 10^-5 
# Beamline.spot_size:300 µm
# Beamline.detector:Ionization chamber
# Beamline.website:https://www.bnl.gov/nsls2/beamlines/beamline.php?r=6-BM
# Mono.name:Si(111) and Si(311)
# Element.edge:K
# Column.1:Energy
# Column.2:I0
# Column.3:Itrans
# Column.4:Irefer
# Column.5:Mutrans
# Energy  I0          Itrans     Irefer    Mutrans
6911.997  153.815373  31.723935  5.955437  0.9485389849880903
6922.011  153.66946   31.99632   6.049411  0.9349335915288199
6932.015  153.648084  32.301926  6.149982  0.9211190826421306
6942.007  153.681125  32.615652  6.253968  0.9075838717578155
6952.061  153.684426  32.929605  6.356852  0.8938925404516607
6962.008  153.705682  33.247991  6.464407  0.8803086314541113
6972.008  153.714646  33.557266  6.570793  0.8671314949318153
6982.021  153.689096  33.867778  6.674718  0.8537008417612101
6992.02   153.687805  34.18368   6.784498  0.8403905015762432
7002.017  153.647235  34.485342  6.889594  0.8274282096711587
7012.016  153.605921  34.795759  6.998569  0.8142081042254208
7022.014  153.566539  35.102385  7.104746  0.8012744582692977
7032.018  153.531087  35.410511  7.212765  0.788425317862611
7042.017  153.459876  35.709104  7.319276  0.7757337301752127
7052.013  153.386173  36.014487  7.426122  0.7628487823323243
7062.008  152.594032  36.150466  7.495295  0.7500354493618399
7072.013  153.193863  36.613704  7.628703  0.7374183411417414
7083.313  152.26345   36.720738  7.680371  0.7245119088371321
7083.976  153.098101  36.966371  7.733483  0.7227917196019933
7085.985  153.221814  37.061805  7.754885  0.7202565531188992
7087.988  153.227359  37.120109  7.769081  0.7180565442386552
7089.983  153.225211  37.185919  7.781556  0.7154998932938402
7091.984  153.236533  37.252934  7.793481  0.7130263156010136
7094.407  153.177466  37.310287  7.798259  0.710270575310916
7096.016  153.139754  37.359701  7.80062   0.7080218683174371
7097.997  153.134062  37.41736   7.798619  0.7057602706469257
7099.992  153.13723   37.477356  7.790314  0.703495808381518
7101.997  153.098977  37.527399  7.766511  0.7012256169263182
7102.288  153.075366  37.530277  7.762094  0.700894756215813
7102.585  153.094914  37.544373  7.758177  0.7005409787461381
7102.884  153.084651  37.55355   7.753295  0.7000941019423387
7103.186  153.067053  37.558495  7.746805  0.6997417567701119
7103.481  153.548339  37.684705  7.763225  0.6994323805213275
7103.785  153.578082  37.705549  7.75872   0.6989181857374683
7104.089  153.556744  37.711053  7.750497  0.698509980964767
7104.384  153.562346  37.717979  7.741064  0.6982994332398997
7104.681  153.557394  37.726346  7.731778  0.6979356296880885
7104.987  153.536635  37.72582   7.718783  0.6977608893994234
7105.283  153.533169  37.727232  7.706397  0.6976749515525389
7105.589  153.530731  37.72833   7.690815  0.6976104981673754
7105.886  153.515639  37.744555  7.677048  0.6968542451147913
7106.188  153.516143  37.758683  7.661953  0.6963228627615554
7106.492  153.519968  37.766821  7.644518  0.6960507262464212
7106.796  153.505968  37.771387  7.62323   0.695747079187429
7107.092  153.489332  37.769387  7.598144  0.6956668705303366
7107.387  153.479829  37.770981  7.569462  0.695517911595737
7107.689  153.470302  37.775439  7.537584  0.6952600980550833
7107.989  153.476531  37.787163  7.502876  0.6948733777441028
7108.289  153.463586  37.796961  7.459411  0.6943820997194129
7108.586  153.446642  37.80295   7.408254  0.6939968117058805
7108.888  153.449482  37.81746   7.34833   0.693472590839885
7109.184  153.449488  37.81904   7.272622  0.6934138666445139
7109.495  153.426095  37.818032  7.169717  0.6932333971660563
7109.793  153.426511  37.824028  7.038093  0.6930099587641564
7110.095  153.401122  37.826043  6.850138  0.6926962856230279
7110.395  153.385169  37.828169  6.587401  0.6924671180313359
7110.697  153.34853   37.82447   6.220705  0.692265164091157
7110.995  153.320609  37.819614  5.743167  0.692187820028961
7111.299  153.292491  37.820303  5.191937  0.6918999282418978
7111.595  153.270909  37.810786  4.642286  0.6920589132586342
7111.889  153.235445  37.800249  4.156213  0.6921262312386937
7112.191  153.197035  37.77616   3.770091  0.6926805303510991
7112.494  153.173409  37.744732  3.480412  0.6936516280208943
7112.79   153.145703  37.710889  3.262322  0.6946771529937164
7113.092  153.117615  37.683946  3.082307  0.6954377029386446
7113.393  153.095134  37.667826  2.925683  0.6958401785215539
7113.691  153.085204  37.656153  2.782691  0.6961910913963325
7114.002  153.068783  37.632599  2.650937  0.6969344537718837
7114.298  153.049731  37.609531  2.540047  0.6976334149265446
7114.596  153.037381  37.60908   2.449486  0.6975360187000755
7114.899  153.010756  37.632122  2.381866  0.6964088006084399
7115.199  153.001863  37.652614  2.332653  0.6955465575446983
7115.504  152.983826  37.678811  2.298388  0.6943806674219649
7115.802  152.96191   37.691859  2.274144  0.6936802739698557
7116.094  152.935988  37.686186  2.252276  0.6936530603183423
7116.391  152.91439   37.682511  2.229359  0.693590039230627
7116.696  152.892693  37.681283  2.196694  0.6934339188087869
7116.996  152.848128  37.674041  2.146475  0.6932921213614274
7117.295  152.826405  37.671568  2.075904  0.6931818344579254
7117.595  152.789219  37.660255  1.982649  0.6932634754124659
7117.894  152.764608  37.651884  1.868925  0.6933508455567984
7118.201  152.739486  37.645086  1.742691  0.6933737623159676
7118.504  152.713035  37.636089  1.614397  0.6934682939475407
7118.801  152.676938  37.6199    1.492673  0.6937461596524672
7119.099  152.644775  37.603896  1.378917  0.6940541036038036
7119.402  152.622406  37.583088  1.271605  0.6946370486651704
7119.703  152.583447  37.547447  1.172246  0.6956296307966869
7120.002  152.557449  37.507864  1.076551  0.6968972140382339
7120.298  152.517528  37.445724  0.985006  0.6988967012757474
7120.597  152.506689  37.38358   0.901145  0.7011740542181876
7120.896  152.455378  37.284001  0.82445   0.7045127395696518
7121.199  152.442032  37.184499  0.757054  0.7082137961754794
7121.502  152.407656  37.059661  0.699542  0.7127083455675405
7121.797  152.383878  36.927212  0.652937  0.7176125320297516
7122.098  152.345378  36.754878  0.609366  0.7239504482374862
7122.399  152.330626  36.56095   0.572297  0.7313898011827913
7122.705  152.279418  36.344699  0.539299  0.7394049377022224
7123.004  152.267306  36.130545  0.510478  0.7477552318245034
7123.303  152.249185  35.909394  0.484849  0.7563790947593668
7123.602  152.214831  35.691867  0.462937  0.7647580348306092
7123.905  152.18757   35.493837  0.443022  0.7724709565884965
7124.2    152.135392  35.281636  0.42515   0.7805677340624683
7124.499  152.129634  35.084613  0.408498  0.7885341724686651
7124.8    152.118497  34.872531  0.39257   0.797113634182638
7125.095  152.083685  34.645425  0.377895  0.8061442695927549
7125.397  152.039181  34.384247  0.363387  0.8165642335275051
7125.698  151.99553   34.111055  0.349489  0.8275786009032067
7125.997  151.975419  33.833985  0.336361  0.8390699233291177
7126.299  151.953224  33.546793  0.323108  0.8510697113490954
7126.6    151.925448  33.23748   0.309704  0.8640764044750701
7126.904  151.890324  32.926121  0.295745  0.8772248950484044
7127.203  151.867876  32.623097  0.282388  0.8902559372309966
7127.503  151.835986  32.309856  0.26832   0.9037753928433825
7127.802  151.798868  32.014309  0.254497  0.916585861218971
7128.099  151.779529  31.720337  0.241032  0.9296169034015632
7128.407  151.745335  31.405776  0.227315  0.943568912843268
7128.701  151.714409  31.096301  0.214103  0.9574607657921536
7128.994  151.699919  30.826133  0.201704  0.9698229250664944
7129.295  151.663197  30.580194  0.190318  0.980949011643146
7129.597  151.63765   30.390149  0.180192  0.9896358956657246
7129.901  151.595327  30.254772  0.171607  0.9956314927833693
7130.203  151.565176  30.184125  0.165158  0.9986951770248029
7130.5    151.532691  30.150177  0.160479  1
7130.802  151.496615  30.157089  0.157651  0.9993296847943007
7131.104  151.463642  30.187053  0.156891  0.997595172584681
7131.408  151.435067  30.238083  0.158317  0.9949067502746429
7131.701  151.411881  30.294618  0.161543  0.9920120771320823
7132.005  151.404573  30.357266  0.166626  0.9889842003268501
7132.303  151.397764  30.409231  0.17276   0.9864690860080295
7132.603  151.377985  30.452463  0.180169  0.9842475926660641
7132.899  151.384614  30.488679  0.187921  0.9826076120880175
7133.201  151.369138  30.514197  0.19663   0.9812626847842745
7133.494  151.373265  30.546385  0.205617  0.9797917153051009
7133.8    151.374778  30.583449  0.21432   0.9780700937725139
7134.1    151.351154  30.624279  0.22334   0.9759359705748811
7134.396  151.350827  30.675481  0.2312    0.9735397369442506
7134.701  151.350644  30.724729  0.238704  0.9712394672426411
7135.003  151.358067  30.791714  0.245314  0.9681915382731362
7135.305  151.349257  30.859817  0.251422  0.9649430876609008
7135.605  151.340393  30.917984  0.256481  0.9621629983141861
7135.903  151.319065  30.968568  0.260428  0.9596192380464037
7136.201  151.317756  31.007239  0.263201  0.9578188401541725
7136.503  151.314418  31.05733   0.265184  0.9554756015291208
7136.804  151.293965  31.079507  0.266128  0.9542595809957045
7136.996  151.295493  31.112782  0.266572  0.9527413457007442
