*Spectrum*
- Title: Fe K edge XAS transmission of natural hematite Fe2O3 at ambient conditions
- Version: #1 (2018-01-31 23:51:01 UTC)
- Measurement type: laboratory measurement (spectrum)
- Spectrum type: transmission (AU)
- Spectral unit: Energy (eV)
- Valid spectral range(s): 7004.290158-7963.25018 eV (Resol. 0.36 eV)
- Observation geometry: 
- Spatial observation mode: single spot
- Data analysis: raw averaged spectra
- Quality flag: 4
- File name: XAS_trans_Fe2O3.data.txt
- Comments: 

*Sample*
- Name: Pellet of natural hematite Fe2O3 mixed with BN
- Origin(s): natural terrestrial; commercial
- Type: pellet
- Temperature: 293.0 +/- 2.0 K
- Pressure: 

*Experiment*
- Title: Fe K edge XAS transmission of natural hematite Fe2O3 at ambient conditions
- Version: #1 (2018-01-31 23:51:01 UTC)
- Experimentalist(s): Testemale Denis; Sanchez-Valle Carmen
- Database(s): FAME @ SSHADE
- DOI: https://doi.org/10.26302/SSHADE/EXPERIMENT_DT_20170706_002

*Data reference*
- Testemale, Denis; Sanchez-Valle, Carmen (2016): Fe K edge XAS transmission of natural hematite Fe2O3 at ambient conditions. SSHADE/FAME (OSUG Data Center). Dataset/Spectral Data. https://doi.org/10.26302/SSHADE/EXPERIMENT_DT_20170706_002




energy(ev)	transmission(au)
7007.750159	-0.26786
7010.850159	-0.27053
7013.860159	-0.27208
7016.860159	-0.27480
7019.890159	-0.27782
7022.850159	-0.28036
7025.940159	-0.28251
7028.980159	-0.28542
7031.980159	-0.28800
7035.010159	-0.29014
7038.020159	-0.29281
7041.010159	-0.29419
7044.100159	-0.29778
7047.130159	-0.30070
7050.080159	-0.30274
7053.080160	-0.30451
7056.060160	-0.30749
7059.080160	-0.31035
7062.080160	-0.31300
7065.090160	-0.31529
7068.050160	-0.31788
7071.080160	-0.32026
7074.110160	-0.32248
7077.060160	-0.32467
7080.040160	-0.32715
7083.080160	-0.33023
7086.070160	-0.33176
7089.070160	-0.33428
7092.090160	-0.33649
7095.030160	-0.33823
7098.070161	-0.34077
7101.100161	-0.34190
7104.040161	-0.34336
7104.370161	-0.34301
7104.640161	-0.34340
7104.950161	-0.34292
7105.250161	-0.34342
7105.540161	-0.34264
7105.840161	-0.34264
7106.150161	-0.34286
7106.440161	-0.34255
7106.750161	-0.34297
7107.050161	-0.34316
7107.360161	-0.34292
7107.670161	-0.34234
7107.950161	-0.34268
7108.250161	-0.34252
7108.550161	-0.34141
7108.850161	-0.34269
7109.150161	-0.34146
7109.450161	-0.34175
7109.760161	-0.34114
7110.060161	-0.34087
7110.350161	-0.34056
7110.660161	-0.34024
7110.950161	-0.33903
7111.250161	-0.33779
7111.550161	-0.33751
7111.850161	-0.33549
7112.170161	-0.33384
7112.460161	-0.33219
7112.760161	-0.32778
7113.050161	-0.32190
7113.370161	-0.31313
7113.660161	-0.30781
7113.960161	-0.30597
7114.250161	-0.30342
7114.570161	-0.29659
7114.870161	-0.29099
7115.160161	-0.29079
7115.460161	-0.29446
7115.760161	-0.29801
7116.060161	-0.29909
7116.360161	-0.29923
7116.650161	-0.30117
7116.960161	-0.30072
7117.270161	-0.29935
7117.560161	-0.29765
7117.860161	-0.29610
7118.150161	-0.29564
7118.460161	-0.29517
7118.750161	-0.29329
7119.050161	-0.29217
7119.360161	-0.28909
7119.670161	-0.28597
7119.960161	-0.28183
7120.250161	-0.27603
7120.550161	-0.26931
7120.850161	-0.25944
7121.150161	-0.24793
7121.450161	-0.23358
7121.760161	-0.21577
7122.070161	-0.19505
7122.360161	-0.17058
7122.660161	-0.14032
7122.960161	-0.10507
7123.250161	-0.06616
7123.560161	-0.02456
7123.840161	0.01468
7124.150161	0.05095
7124.460161	0.08267
7124.770161	0.11166
7125.050161	0.13938
7125.360161	0.16992
7125.650161	0.20234
7125.960161	0.23903
7126.250161	0.27697
7126.560161	0.32021
7126.870161	0.36354
7127.170161	0.40720
7127.460161	0.44937
7127.760161	0.48949
7128.050161	0.52661
7128.350161	0.56422
7128.650161	0.60267
7128.950161	0.63974
7129.260161	0.67397
7129.570161	0.70458
7129.860161	0.72853
7130.160161	0.74574
7130.460161	0.75687
7130.750161	0.76226
7131.050161	0.76476
7131.360161	0.76681
7131.670161	0.77092
7131.980161	0.77722
7132.260161	0.78602
7132.560161	0.79844
7132.860161	0.81187
7133.160161	0.82507
7133.440161	0.83555
7133.750161	0.84367
7134.060161	0.84668
7134.370161	0.84509
7134.660161	0.83943
7134.960161	0.82963
7135.250161	0.81651
7135.560161	0.80060
7135.860161	0.78386
7136.150161	0.76767
7136.460161	0.75202
7136.770161	0.73915
7137.060161	0.72760
7137.350161	0.71780
7137.660161	0.70900
7137.950161	0.70122
7138.250161	0.69304
7138.540161	0.68516
7138.850161	0.67554
7139.170161	0.66485
7139.470162	0.65430
7139.750162	0.64293
7140.060162	0.63071
7140.360162	0.61748
7140.660162	0.60538
7140.960162	0.59267
7141.250162	0.58150
7141.570162	0.56957
7141.870162	0.55955
7142.150162	0.55023
7142.450162	0.53977
7142.760162	0.53121
7143.050162	0.52287
7143.350162	0.51480
7143.650162	0.50922
7143.970162	0.50286
7144.270162	0.49890
7144.560162	0.49485
7144.850162	0.49245
7145.160162	0.49074
7145.460162	0.48954
7145.750162	0.48870
7146.060162	0.48930
7146.360162	0.48932
7146.670162	0.49018
7146.960162	0.49094
7147.260162	0.49166
7147.550162	0.49219
7147.860162	0.49147
7148.160162	0.49000
7148.450162	0.48820
