# XDI/1.0 
# Spectrum.license:CC BY 4.0
# Publication.authors: Peter Blanchard, Miranda Vu, Joel Reid, Erika Bergen, Jeff Warner
# Publication.affiliation: Canadian Light Source
# Facility.name:CLS
# Sample.temperature:r.t
# Sample.prep:powder, 500 um
# Sample.formula:Fe2O3
# Publication.DOI: https://doi.org/10.20383/103.01329
# Sample.name:Hematite
# Scan.number:scan2
# Sample.id:al8hze
# Scan.start_time:2022-03-21
# Element.symbol:Fe
# Facility.energy:2.90 GeV
# Facility.xray_source:Bending magnet
# Beamline.name:IDEAS
# Beamline.scan_mode:Transmission
# Beamline.website:https://ideas.lightsource.ca/
# Beamline.detector:Ionization chamber
# Beamline.energy_range:1.8 - 13.0
# Beamline.flux:5E10-7E11 ph/s
# Mono.name:InSb(111), Ge(220)
# Element.edge:K
# Column.1:Energy
# Column.2:I0
# Column.3:Itrans
# Column.4:Irefer
# Column.5:Mutrans
# Energy  I0        Itrans    Irefer   Mutrans               
6912      1020560   774353    729324   0.2855701795771842    
6922      1080020   824815    771227   0.27992631276991725   
6932      1080810   834660    781108   0.27026346137478585   
6942      1080370   843914    790334   0.26034095954086506   
6952      1086360   859275    805535   0.24948463262833845   
6962      1081180   864447    811442   0.24012859538107037   
6972      1075640   869226    816714   0.23088558650809315   
6982      1075470   879466    827331   0.2205842817829789    
6992      1067860   881677    830278   0.2122424291794392    
7002      1059320   883647    833229   0.20333704279185755   
7012      1060610   895758    845821   0.19257941688315675   
7022      1055370   901130    852032   0.18309195520301183   
7032      1055720   912308    863893   0.17268066141273122   
7042      1053470   917358    868288   0.16603836295558375   
7052      1057070   935971    889158   0.15156661933557733   
7062      1056300   946486    900125   0.14123877760105838   
7072      1046420   948635    904153   0.13111490763465514   
7082      1062900   975941    929373   0.12004813891163317   
7082.5    1061880   975383    928942   0.11971125366771271   
7083      1061630   975461    928872   0.11943750985604486   
7083.5    1061420   975249    928729   0.11945445753021432   
7084      1061560   974976    928545   0.11981189165366399   
7084.5    1061200   975414    928949   0.11912773997516729   
7085      1060780   975563    929091   0.11865163240239839   
7085.5    1060690   976310    929616   0.11791372255417062   
7086      1059970   975530    928993   0.11801804949111214   
7086.5    1059610   975251    928485   0.11797148833258929   
7087      1058530   974308    927765   0.11792604349070657   
7087.5    1057960   975075    928244   0.11677565991443156   
7088      1057380   975456    928494   0.11596070808278579   
7088.5    1056560   974457    927499   0.1161766820622862    
7089      1055840   974494    927585   0.11555212079896422   
7089.5    1054620   973307    926345   0.11560650452957244   
7090      1053350   972447    925608   0.11532794398987244   
7090.5    1051610   971119    924093   0.11507914815452322   
7091      1050380   970188    923175   0.11489588082577493   
7091.5    1048980   969557    922345   0.11430301308529955   
7092      1048000   968209    920850   0.11469929058686042   
7092.5    1046820   967041    919718   0.11476914516024411   
7093      1046250   967437    919993   0.11394115009542538   
7093.5    1045600   966816    919164   0.11395907039153327   
7094      1045090   966410    918556   0.11390018283834148   
7094.5    1044590   966253    918426   0.11362587713546796   
7095      1043760   965557    917498   0.11356137950885113   
7095.5    1043450   966133    917765   0.11278602093987171   
7096      1043140   966641    918080   0.1120719430506732    
7096.5    1042620   966617    917697   0.11166075996645043   
7097      1042230   966596    917289   0.11135492489342706   
7097.5    1042080   966607    917035   0.11122013558771167   
7098      1041510   966373    916015   0.1109554220262462    
7098.5    1040810   963787    913038   0.11269742607599788   
7099      1039970   962598    910841   0.11306804237570095   
7099.5    1039090   961929    909373   0.11293673485485056   
7100      1038360   961691    909013   0.11254156904160044   
7100.5    1037720   960732    907697   0.11287235555945671   
7101      1037030   961170    907684   0.11189953962582823   
7101.5    1035920   960439    906242   0.11163040217765073   
7102      1035320   960782    906644   0.11081771577540234   
7102.5    1034560   961186    906446   0.10981556132281847   
7103      1033640   959723    904690   0.11036541445836515   
7103.5    1032750   960050    904038   0.1093221873823574    
7104      1032000   960222    902838   0.10853623637288616   
7104.5    1031060   959209    900688   0.10866142790149345   
7105      1030350   958798    898736   0.10843554260906504   
7105.5    1029890   958805    897343   0.10804166458125627   
7106      1029310   957359    894075   0.10886260639030751   
7106.5    1029150   956627    891050   0.10939151376130336   
7107      1028670   956494    887476   0.10910731339814982   
7107.5    1028330   956043    883525   0.10922972162602027   
7108      1028180   955527    878042   0.10957165093700641   
7108.5    1027900   954692    871089   0.11009399949314826   
7109      1027750   954447    861400   0.11019008958086168   
7109.5    1027480   953862    849880   0.11049415579164647   
7110      1027330   950898    830276   0.11306840243518228   
7110.5    1027520   950160    809978   0.11390270756954839   
7111      1027600   948471    779669   0.11551434745532602   
7111.5    1028020   945842    739170   0.11827788034636796   
7112      1027970   939998    688087   0.12361447030447516   
7112.5    1027660   933152    643851   0.12969644963802218   
7113      1027520   925197    604819   0.13700830544470705   
7113.5    1027260   917442    574582   0.1440937220447402    
7114      1027350   907960    546130   0.15318596433387285   
7114.5    1026950   901098    525614   0.1594318334535992    
7115      1026680   897125    509256   0.16303853467448273   
7115.5    1026510   895775    497747   0.1642017634748269    
7116      1026230   895812    488852   0.16392916032351398   
7116.5    1026040   893912    480931   0.16561113221371943   
7117      1024990   891327    472703   0.16723584675811765   
7117.5    1024490   888235    463366   0.16982821472114917   
7118      1025360   885839    452044   0.17290908659574153   
7118.5    1024890   880125    439069   0.17812733966434455   
7119      1024440   872961    423640   0.18483926216760796   
7119.5    1023710   862932    408139   0.19424871008443825   
7120      1023160   849747    391158   0.2071449336526581    
7120.5    1022400   833711    376758   0.2230343450097505    
7121      1021860   812466    362730   0.24497765532467192   
7121.5    1021590   790310    350784   0.26874354656544014   
7122      1020520   760314    338641   0.30141478812835387   
7122.5    1019950   723393    327306   0.34413091153845327   
7123      1018980   684852    317659   0.3908202967608828    
7123.5    1018240   643880    309274   0.4437283160460059    
7124      1016680   609277    302801   0.4903376222870656    
