# XDI/1.0 
# Spectrum.license:CC BY 4.0
# Publication.authors: Matthew Newville
# Publication.affiliation: Center for Advanced Radiation Sources, University of Chicago
# Sample.reference:none
# Facility.name:APS
# Sample.temperature:r.t.
# Sample.prep:powder on tape, 16 layers
# Sample.formula:Fe2O3
# Sample.smiles:O1[Fe]2O[Fe]1O2
# Publication.DOI: https://doi.org/10.71622/XASLIB_535X-8J62
# Sample.name:Iron (III) Oxide
# Scan.number:Scan2
# Sample.id:gbfxgi
# Scan.start_time:2001-08-10
# Element.symbol:Fe
# Facility.energy:7.0 GeV
# Facility.xray_source:Bending Magnet
# Beamline.name:20-BM-B
# Beamline.website:https://www.aps.anl.gov/Beamlines/Directory/Details?beamline_id=32
# Beamline.scan_mode:Transmission
# Beamline.energy_resolution:1.4 x 10^-4
# Beamline.flux:1 x 10^11 ph/s at 10 keV (toroidal focus); 2 x 10^8 ph/s at 5 µm (KB mirror)
# Beamline.spot_size:30 mm x 1 mm
# Beamline.energy_range:3.9 - 35
# Beamline.detector:Ionization chamber
# Mono.name:Si(111)
# Element.edge:K
# Column.1:Energy
# Column.2:I0
# Column.3:Itrans
# Column.4:Mutrans
# Energy   I0         Itrans         Mutrans
6911.8277  272002     121091.203452  0.08909045992507345
6916.9236  270032     120826.202549  0.08642780913286172
6921.7638  268827     120841.202789  0.08401765375790937
6926.875   267514     120853.203083  0.08139834482566573
6931.7907  255214     115822.202582  0.07901304311475017
6937.0396  277373     126550.202959  0.07622248508460412
6941.8277  276310     126659.203657  0.07375772505390417
6946.9188  275026     126707.203268  0.0711167976249143
6951.9563  274820     127226.202973  0.0685805754391958
6956.9913  274055     127511.202843  0.06594570937005942
6961.9928  274313     128218.202577  0.06353987454747176
6966.8992  274122     128744.202933  0.061028018392518195
6971.9362  274012     129304.203     0.05854179192475248
6976.8778  273903     129874.20253   0.0560268578999596
6982.0124  273774     130465.203129  0.053399227709459186
6986.8966  273717     131036.203278  0.0510002092901274
6991.9328  273771     131661.203177  0.04860866270637986
6996.9144  273744     132310.203629  0.04597866250017335
7001.8411  273682     132819.203127  0.04384662173888051
7006.9934  273613     133434.203576  0.04129213682957945
7011.8412  273571     134044.202637  0.03882007275378651
7016.9359  273530     134647.202783  0.036388026230621616
7021.8608  273493     135246.20354   0.03398965799092267
7026.8451  273339     135788.203289  0.03159723576043484
7031.9521  273200     136352.203216  0.029157182579682934
7036.8151  273094     136907.203316  0.026823795665378056
7041.8531  273100     137520.203173  0.024492836443238884
7046.8251  273055     138134.203275  0.022070574080778633
7051.7728  273038     138725.203014  0.019799358037102227
7056.8648  272926     139286.203768  0.017468094699186355
7061.8167  272878     139874.203026  0.015167022793472668
7066.7017  272719     140377.203624  0.012979223831621223
7071.7739  272679     140929.203182  0.010844519426957543
7076.7369  272487     141419.202445  0.008655268048020472
7081.686   272240     141831.203133  0.006654406399873012
7086.7913  271944     142203.203145  0.004710540395492983
7091.5419  271377     142369.203502  0.0030044306395436617
7096.5766  269032     141581.202485  0.0013640992011739708
7101.576   233593     123222.20309   0.00012357620364086732
7101.9502  241415     127309.202684  0.00028487334589976835
7102.2817  250354     132004.203434  0.00036011598392129263
7102.6987  262542     138456.202646  0.00026304511430967316
7103.1906  271114     142986.203507  0.00022855934257418856
