# XDI/1.0 
# Spectrum.license:CC BY 4.0
# Publication.authors:  Mehrnaz Mikhchian, Andrew Grosvenor
# Publication.affiliation:  University of Saskatchewan
# Facility.name:APS
# Sample.temperature:10-300 K (Displex stage)
# Sample.prep:N/A
# Sample.formula:Fe2O3
# Sample.smiles:O1[Fe]2O[Fe]1O2
# Sample.name:Iron (III) Oxide
# Scan.number:scan2
# Sample.id:pm3p7c
# Scan.start_time:2011-03-06
# Element.symbol:Fe
# Facility.energy:7.0 GeV
# Facility.xray_source:Bending Magnet
# Beamline.name:20-BM-B
# Beamline.website:https://www.aps.anl.gov/Beamlines/Directory/Details?beamline_id=32
# Beamline.scan_mode:Transmission
# Beamline.energy_resolution:1.4 x 10^-4
# Beamline.flux:1 x 10^11 ph/s at 10 keV (toroidal focus); 2 x 10^8 ph/s at 5 µm (KB mirror)
# Beamline.spot_size:30 mm x 1 mm
# Beamline.energy_range:3.9 - 35
# Beamline.detector:Ionization chamber
# Mono.name:Si(111)
# Element.edge:K
# Column.1:Energy
# Column.2:I0
# Column.3:Itrans
# Column.4:Irefer
# Column.5:Mutrans
# Energy    I0            Itrans        Irefer        Mutrans
6911.82433  253364.78125  97826.28125   211714.1875   0.8950045277589375
6916.79875  253399.78125  98318.28125   213455.1875   0.8870171081840044
6921.82118  252674.78125  98571.28125   214756.1875   0.8781184414257982
6926.98318  252004.78125  98822.28906   215975.1875   0.8696074529559604
6931.94993  251596.78125  99143.28125   217356.1875   0.8616451589859535
6937.09719  251166.78125  99494.28125   218874.1875   0.853058448671756
6941.91597  250373.78125  99629.28125   219803.1875   0.8456610672521506
6947.12976  250434.78125  100181.28906  221869.1875   0.8370136236560164
6952.05515  250509.78125  100696.28125  223699.1875   0.8291090270062046
6957.03904  249943.78125  100965.28125  224977.1875   0.8210377816175382
6962.14323  249550.78125  101318.28125  226470.1875   0.8127472149681292
6967.02925  249129.78125  101648.28125  228028.1875   0.80465887803122
6972.16933  248924.78125  102076.28906  229656.1875   0.7964316847009539
6977.13187  248092.78125  102224.28125  230790.1875   0.7885782642391734
6982.06052  247739.78125  102616.28125  232359.1875   0.7799807233323397
6987.05844  247098.78125  102848.28125  233502.1875   0.7720416744277785
6992.10523  246662.78125  103160.28906  234964.1875   0.764190921764036
6997.09744  246241.78125  103485.28125  236448.1875   0.7562443285712613
7002.18015  246241.78125  104011.28125  238357.1875   0.7479435624436047
7007.05224  245982.78125  104400.28125  239946.1875   0.7401087654978381
7012.04593  245650.78125  104763.28906  241570.1875   0.7322145733964233
7017.12005  245333.78125  105149.28125  243232.1875   0.72407923380388
7022.0974   244793.78125  105393.28125  244592.1875   0.7166767286054663
7027.1135   244615.78125  105856.28125  246269.1875   0.708309030733317
7031.99045  244426.78125  106255.28906  247815.1875   0.7008838384057862
7036.95837  243493.78125  106326.28906  248863.1875   0.693528738631344
7041.97564  243353.78125  106777.28125  250567.1875   0.6856573043505161
7047.00037  242844.78125  107062.28125  251890.1875   0.6778651100451832
7051.93777  242436.78125  107385.28125  253367.1875   0.6701800808574461
7056.87183  242278.78125  107835.28906  255087.1875   0.6622660481250641
7061.91876  241324.78125  107914.28125  255922.1875   0.6546076216266228
7066.78275  240731.78125  108132.28125  256908.1875   0.6472754415258071
7071.90807  240601.78125  108574.28906  258553.1875   0.6397122225800805
7076.72274  239249.78125  108434.28125  258719.1875   0.6325988277584254
7081.76744  237947.78125  108354.28125  258926.1875   0.6248729749233475
7081.92687  237686.78125  108238.28125  258543.1875   0.6248298407676341
7082.06505  237483.78125  108167.28125  258466.1875   0.6245052502036794
7082.1926   237337.78125  108121.28125  258307.1875   0.6241948127548554
7082.33079  237416.78125  108152.28125  258501.1875   0.6242703379547714
7082.47961  237520.78125  108233.28125  258613.1875   0.6237616288245451
7082.62844  237454.78125  108207.28125  258542.1875   0.6236999731076297
7082.78791  237158.78125  108069.28906  258279.1875   0.6237470290473932
7082.89423  237071.78125  108060.28906  258303.1875   0.6232826638855513
7083.02181  237102.78125  108104.28906  258331.1875   0.6228302228615231
7083.16004  236711.78125  107935.28125  257945.1875   0.6226896915491074
7083.29826  237030.78125  108090.28125  258364.1875   0.6225451356584839
7083.45776  236845.78125  108041.28125  258254.1875   0.6220091579590139
7083.62791  236691.78125  107965.28125  258058.1875   0.6220963553178512
7083.79806  237143.78125  108212.28906  258584.1875   0.6214784669642283
7083.97885  237012.78125  108140.28906  258544.1875   0.6216635080893631
7084.15965  237034.78125  108155.28906  258539.1875   0.6215883892140192
7084.3511   236485.78125  107935.28906  258074.1875   0.6211256752295425
7084.51065  236432.78125  107937.28125  257954.1875   0.620728485386789
7084.65957  236408.78125  107951.28125  258108.1875   0.6203499383126035
7084.79786  236517.78125  107992.28125  258219.1875   0.6204829324419953
7084.91488  236278.78125  107889.28125  257936.1875   0.620389971994887
7085.0319   236077.78125  107818.28125  257720.1875   0.6200743884175506
7085.14893  235982.78125  107800.28125  257678.1875   0.6196887704845827
7085.29788  235961.78125  107782.28125  257619.1875   0.6198164684858709
7085.44683  235629.78125  107679.28906  257455.1875   0.6190764625218976
7085.68091  235587.78125  107659.28906  257422.1875   0.619088729352177
7085.88309  235554.78125  107674.28125  257387.1875   0.6186313970973573
7086.05335  235441.78125  107637.28125  257255.1875   0.6184084939459185
7086.21298  235499.78125  107678.28125  257473.1875   0.6181882502181572
7086.35134  235453.78125  107698.28125  257320.1875   0.6175643477654583
7086.48969  235460.78125  107702.28125  257528.1875   0.6175522146314659
7086.6387   235590.78125  107777.28125  257581.1875   0.6173161816329075
7086.77707  235188.78125  107578.28125  257253.1875   0.6175458878895953
7086.91544  234917.78125  107479.28906  256987.1875   0.6171655257409955
7087.05382  234789.78125  107421.28906  256848.1875   0.6171569540153248
7087.16027  234525.78125  107303.28125  256692.1875   0.617114570049949
7087.27737  234195.78125  107186.28125  256239.1875   0.6165953629003135
7087.40512  234173.78125  107186.28125  256373.1875   0.6164415557850832
7087.53288  233945.78125  107115.28125  256043.1875   0.6159315677161741
7087.69258  233798.78125  107046.28125  255898.1875   0.6159574772747635
7087.85228  233932.78125  107123.28125  256078.1875   0.6157183121383508
7088.00135  233821.78125  107080.28125  256032.1875   0.615598596103878
7088.16107  233533.78125  106972.28125  255826.1875   0.6152328882520579
7088.3421   233383.78125  106918.28125  255571.1875   0.6150076357486841
7088.51248  233028.78125  106755.28906  255198.1875   0.6150131388072345
7088.72548  232971.78125  106732.28125  255183.1875   0.6149655073729104
7088.87458  232833.78125  106685.28906  255102.1875   0.614716411053002
7089.01304  232473.78125  106534.28906  254795.1875   0.6145019596740257
7089.1302   231941.78125  106288.28906  254132.1875   0.6145359050012389
7089.24737  231878.78125  106288.28906  254024.1875   0.6140911375845519
7089.35389  231539.78125  106162.28125  253848.1875   0.6136379354627404
7089.47107  231236.78125  106038.28906  253503.1875   0.6134073215417508
7089.60955  230845.78125  105853.28125  253131.1875   0.6134955878094454
7089.76935  230575.78125  105740.28125  252683.1875   0.6133282438100854
7089.9398   230198.78125  105564.28125  252403.1875   0.6133764881954453
7090.11027  230359.78125  105658.28125  252625.1875   0.6130639301630929
7090.27009  230370.78125  105690.28125  252629.1875   0.6126463241271547
7090.41926  229874.78125  105446.28906  252079.1875   0.6129014966869932
7090.55779  229352.78125  105196.28125  251540.1875   0.6130658441870891
7090.68566  228982.78125  105093.28906  251180.1875   0.6120261793510782
7090.82419  228301.78125  104765.28906  250460.1875   0.6122676120994504
7090.96273  227576.78125  104457.28125  249690.1875   0.6118806266508343
7091.10128  227056.78125  104233.28125  249076.1875   0.6116500414367797
7091.23983  226463.78125  103953.28125  248548.1875   0.6117725049470201
7091.35707  225909.78125  103717.28125  247755.1875   0.6114835764787541
7091.47431  225050.78125  103335.28125  246840.1875   0.6112874974902817
7091.61288  224418.78125  103032.28125  246221.1875   0.6114910138073353
7091.75145  223356.78125  102542.28125  245075.1875   0.6115297822133756
7091.94333  222047.78125  101958.28125  243605.1875   0.6112574632353862
7092.10323  220612.78125  101337.28125  242144.1875   0.6106448156764624
7092.28447  218672.78125  100479.28906  240071.1875   0.6101047942892297
7092.46572  216461.78125  99461.28906   237710.1875   0.6101386072050133
7092.64697  214265.78125  98468.28125   235351.1875   0.6098721402561814
7092.8389   211726.78125  97304.28906   232628.1875   0.6098244515149087
7093.00951  208787.78125  95975.28125   229323.1875   0.6094545289310009
7093.1588   205741.78125  94574.28125   225969.1875   0.6094687052873304
7093.27611  202795.78125  93238.28125   222764.1875   0.6091490601019209
7093.39342  199790.78125  91848.28125   219488.1875   0.6092989293886033
7093.51073  196772.78125  90433.28125   216096.1875   0.6097977751800495
7093.62805  193204.78125  88799.28906   212240.1875   0.609690882919614
7093.7667   189078.78125  86910.28125   207684.1875   0.6095523697931833
7093.94803  183709.78125  84445.28125   201858.1875   0.609496781361928
7094.1507   177824.78125  81733.28125   195378.1875   0.6096342132208772
7094.34271  172443.78125  79241.28125   189450.1875   0.610021378472511
7094.52407  168580.78125  77449.28906   185200.1875   0.6103779280670532
7094.68409  166156.78125  76350.28906   182602.1875   0.6100641165418883
7094.83346  166051.78125  76325.28906   182532.1875   0.6095653456539335
7094.97216  167801.78125  77148.28125   184529.1875   0.6091703772336833
7095.11087  170971.78125  78624.28125   188094.1875   0.6087837244620833
7095.24959  175982.78125  80972.28125   193694.1875   0.6079017753220339
7095.38831  181428.78125  83517.28906   199664.1875   0.6071326894546155
7095.50569  187187.78125  86229.28906   205982.1875   0.6059749456558643
7095.62307  192694.78125  88796.28125   212146.1875   0.6054188257622546
7095.74047  198857.78125  91669.28125   218900.1875   0.6048291725848097
7095.86853  205523.78125  94790.28125   226264.1875   0.6039979370554892
7095.99661  212523.78125  98067.28906   234002.1875   0.6031877687127432
7096.16738  220577.78125  101797.28125  242808.1875   0.6029699459850056
7096.32748  227574.78125  105033.28125  250460.1875   0.6028629422029153
7096.47692  233052.78125  107585.28125  256376.1875   0.6025018994868244
7096.63704  236499.78125  109187.28125  260231.1875   0.6023407764774309
7096.80784  239378.78125  110523.28906  263280.1875   0.6022395920062242
