# XDI/1.0 
# Spectrum.license:CC BY 4.0
# Publication.authors:  Mehrnaz Mikhchian, Andrew Grosvenor
# Publication.affiliation:  University of Saskatchewan
# Facility.name:APS
# Sample.temperature:10-300 K (Displex stage)
# Sample.prep:N/A
# Sample.formula:Fe2O3
# Sample.smiles:O1[Fe]2O[Fe]1O2
# Sample.name:Iron (III) Oxide
# Scan.number:scan3
# Sample.id:vkgnjg
# Scan.start_time:2011-03-06
# Element.symbol:Fe
# Facility.energy:7.0 GeV
# Facility.xray_source:Bending Magnet
# Beamline.name:20-BM-B
# Beamline.website:https://www.aps.anl.gov/Beamlines/Directory/Details?beamline_id=32
# Beamline.scan_mode:Transmission
# Beamline.energy_resolution:1.4 x 10^-4
# Beamline.flux:1 x 10^11 ph/s at 10 keV (toroidal focus); 2 x 10^8 ph/s at 5 µm (KB mirror)
# Beamline.spot_size:30 mm x 1 mm
# Beamline.energy_range:3.9 - 35
# Beamline.detector:Ionization chamber
# Mono.name:Si(111)
# Element.edge:K
# Column.1:Energy
# Column.2:I0
# Column.3:Itrans
# Column.4:Irefer
# Column.5:Mutrans
# Energy    I0            Itrans        Irefer        Mutrans
6911.83443  251253.78125  97027.28906   210019.1875   0.8946378742444279
6916.80887  251142.78125  97445.28125   211551.1875   0.886880497669161
6921.82118  250299.78125  97653.28125   212767.1875   0.8778893937881613
6926.99333  249515.78125  97853.28906   213818.1875   0.8694077745436152
6931.97026  249250.78125  98220.28125   215297.1875   0.8615433405949078
6937.10737  248553.78125  98465.28125   216594.1875   0.852884376234159
6941.90578  247874.78125  98659.28906   217877.1875   0.8451870466514542
6947.12976  247874.78125  99140.28125   219619.1875   0.8372286842097089
6952.05515  247321.78125  99414.28125   220842.1875   0.8290576496205035
6957.03904  246998.78125  99797.28125   222320.1875   0.8206270848106473
6962.13298  246596.78125  100139.28906  223911.1875   0.8123633912861418
6967.01898  245959.78125  100374.28125  225037.1875   0.8042954399583508
6972.15905  245572.78125  100733.28125  226699.1875   0.7958765062575383
6977.13187  245014.78125  101023.28906  227955.1875   0.7874497908499931
6982.0502   244602.78125  101313.28125  229385.1875   0.7800053408790492
6987.05844  244168.78125  101660.28125  230989.1875   0.7715043444765045
6992.09488  243396.78125  101825.28906  232019.1875   0.7636684961706501
6997.09744  242908.78125  102123.28125  233363.1875   0.7556025255961175
7002.18015  242764.78125  102534.28125  235043.1875   0.7480597639395083
7007.03145  242481.78125  102913.28906  236570.1875   0.7401135698345956
7012.04593  241894.78125  103146.28906  237904.1875   0.7324468428647353
7017.12005  242052.78125  103738.28125  239921.1875   0.7241505134331978
