# XDI/1.0 
# Spectrum.license:CC BY 4.0
# Publication.authors:  Mehrnaz Mikhchian, Andrew Grosvenor
# Publication.affiliation:  University of Saskatchewan
# Facility.name:APS
# Sample.temperature:10-300 K (Displex stage)
# Sample.prep:N/A
# Sample.formula:Fe2O3
# Sample.smiles:O1[Fe]2O[Fe]1O2
# Sample.name:Iron (III) Oxide
# Scan.number:scan1
# Sample.id:zxbmxn
# Scan.start_time:2011-03-06
# Element.symbol:Fe
# Facility.energy:7.0 GeV
# Facility.xray_source:Bending Magnet
# Beamline.name:20-BM-B
# Beamline.website:https://www.aps.anl.gov/Beamlines/Directory/Details?beamline_id=32
# Beamline.scan_mode:Transmission
# Beamline.energy_resolution:1.4 x 10^-4
# Beamline.flux:1 x 10^11 ph/s at 10 keV (toroidal focus); 2 x 10^8 ph/s at 5 µm (KB mirror)
# Beamline.spot_size:30 mm x 1 mm
# Beamline.energy_range:3.9 - 35
# Beamline.detector:Ionization chamber
# Mono.name:Si(111)
# Element.edge:K
# Column.1:Energy
# Column.2:I0
# Column.3:Itrans
# Column.4:Irefer
# Column.5:Mutrans
# Energy    I0            Itrans        Irefer        Mutrans
6911.81423  255041.78125  98404.28125   212947.1875   0.8954869330806196
6916.76839  255121.78125  98954.28906   214747.1875   0.8868773847788924
6921.78065  254808.78125  99340.28125   216242.1875   0.8784959007219777
6926.94259  253892.78125  99524.28125   217413.1875   0.8695724923769228
6931.89911  253381.78125  99813.28125   218820.1875   0.8615289156671488
6937.04629  252832.78125  100128.28906  220249.1875   0.8528212222055646
6941.8548   252056.78125  100324.28125  221211.1875   0.8445891799413342
6947.08891  252191.78125  100900.28125  223308.1875   0.8360951345756042
6952.00402  251195.78125  101007.28906  224264.1875   0.8278831859968171
6956.99808  250458.78125  101202.28125  225500.1875   0.819917192838174
6962.11246  249978.78125  101504.28125  226849.1875   0.8119002859741093
6966.98816  249510.78125  101821.28125  228257.1875   0.8037294122195204
6972.12818  249023.78125  102149.28906  229669.1875   0.7952673760204506
6977.10096  248542.78125  102436.28125  231082.1875   0.7875107041588851
6982.02956  248377.78125  102865.28125  232846.1875   0.7795833064112633
6987.02744  247542.78125  103037.28125  233859.1875   0.771336971830488
6992.05348  247019.78125  103320.28906  235226.1875   0.7633857161063637
6997.06635  246534.78125  103626.28125  236703.1875   0.7553286320137964
7002.13862  246432.78125  104101.28125  238509.1875   0.7471658471400104
7007.00026  246232.78125  104519.28125  240186.1875   0.7392779346105673
7012.00429  245609.78125  104755.28906  241496.1875   0.7314397345156946
7017.07834  245483.78125  105187.28125  243194.1875   0.7238639661886556
7022.04519  244932.78125  105472.28125  244543.1875   0.7157572681404953
7027.08212  244540.78125  105799.28125  246027.1875   0.7080689184850801
7031.94856  244427.78125  106247.28906  247888.1875   0.7003961204931918
7036.92691  243619.78125  106393.28125  248927.1875   0.6927290061971678
7041.93362  243218.78125  106762.28125  250408.1875   0.684365714893272
7046.97933  242979.78125  107161.28125  252066.1875   0.6766508814136496
7051.90616  242279.78125  107329.28125  253093.1875   0.6693646978297734
7056.85073  242030.78125  107706.28125  254720.1875   0.6619424862002599
