# XDI/1.0 
# Spectrum.license:CC BY 4.0
# Publication.authors: Peter Blanchard, Miranda Vu, Joel Reid, Erika Bergen, Jeff Warner
# Publication.affiliation: Canadian Light Source
# Facility.name:CLS
# Sample.temperature:r.t
# Sample.prep:powder, 500 um
# Sample.formula:FeC2O4
# Publication.DOI: https://doi.org/10.20383/103.01329
# Sample.name:Iron (II) Oxalate
# Scan.number:4
# Sample.id:ng95ys
# Scan.start_time:2023-06-4
# Element.symbol:Fe
# Facility.energy:2.90 GeV
# Facility.xray_source:Bending magnet
# Beamline.name:IDEAS
# Beamline.scan_mode:Transmission
# Beamline.website:https://ideas.lightsource.ca/
# Beamline.detector:Ionization chamber
# Beamline.energy_range:1.8 - 13.0
# Beamline.flux:5E10-7E11 ph/s
# Mono.name:InSb(111), Ge(220)
# Element.edge:K
# Column.1:Energy
# Column.2:I0
# Column.3:Itrans
# Column.4:Irefer
# Column.5:Mutrans
# Energy  I0        Itrans    Irefer    Mutrans                
6912      630407    537071    750618    0.7436658680283141     
6922      631964    546105    767749    0.7326833211270884     
6932      640429    562778    801566    0.7197274632219195     
6942      646628    576910    830994    0.7080078397947239     
6952      650905    589239    855635    0.6967634511070013     
6962      654014    600540    875797    0.685766883998301      
6972      656721    611570    898894    0.6748959980157052     
6982      660369    624470    924132    0.6630479355216204     
6992      663876    635661    942442    0.6534165004357378     
7002      663327    642469    948743    0.6445461455720992     
7012      669476    658328    984755    0.6328347525547051     
7022      675266    673611    1022410   0.6217564283425703     
7032      680559    689659    1063050   0.6095975469545428     
7042      682582    702584    1087600   0.5975445956924393     
7052      681034    709069    1092710   0.5886913612762341     
7062      677325    712524    1086780   0.5807162726792208     
7072      678757    723334    1108810   0.570713951928952      
7082      685500    741433    1149930   0.5592568212557542     
7082.5    686086    742882    1153490   0.5584085075518719     
7083      686360    743748    1155400   0.5578168417821934     
7083.5    686395    744249    1156560   0.5573359489681938     
7084      686685    745203    1158050   0.5566725536720885     
7084.5    686677    745585    1158650   0.5562675852429371     
7085      686831    746280    1160130   0.5557209553458575     
7085.5    686990    746954    1161290   0.555202302210001      
7086      687118    747714    1162600   0.5545605059237649     
7086.5    687161    748259    1163930   0.5540458882769441     
7087      687518    749193    1165890   0.5534833556936245     
7087.5    687706    749799    1167660   0.5530698862276109     
7088      687855    750446    1168650   0.5525708432874874     
7088.5    688111    751269    1170430   0.5520114634697261     
7089      688468    752262    1172610   0.5513916350570454     
7089.5    688659    752968    1174110   0.5508811672514853     
7090      689069    754130    1176800   0.5501495829465838     
7090.5    689242    755024    1178720   0.5494281326149704     
7091      689464    755672    1180210   0.5490141158883091     
7091.5    689722    756381    1181920   0.5485786021923207     
7092      689996    757388    1183950   0.5478575122537622     
7092.5    690366    758366    1186040   0.5472746611515544     
7093      690549    759013    1187200   0.5468205416972315     
7093.5    690850    759841    1189370   0.5463148394930467     
7094      691271    760874    1191400   0.5457358460069739     
7094.5    691657    761998    1193970   0.5450266154066473     
7095      692036    762935    1195920   0.5445003673484392     
7095.5    694089    766317    1202060   0.5433716316042805     
7096      694647    767668    1204460   0.5426315764968036     
7096.5    695156    768944    1207040   0.5419143131089295     
7097      695518    769824    1209300   0.5414328290094996     
7097.5    695770    770519    1210510   0.5410154894788075     
7098      696043    771374    1212070   0.5404617079828979     
7098.5    696307    772332    1213040   0.5397957212756486     
7099      696370    772889    1213490   0.5393085985011997     
7099.5    696564    773543    1214330   0.5388702992943792     
7100      696689    774105    1215000   0.538447794638416      
7100.5    696722    774578    1215080   0.5380124264430484     
7101      696694    774951    1215030   0.5376093937057682     
7101.5    696899    775627    1215540   0.5371630125101158     
7102      697138    776207    1216280   0.5368503888014933     
7102.5    697451    777094    1217040   0.5363147847615218     
7103      697562    777641    1217430   0.5358940638124863     
7103.5    697710    777811    1216940   0.5358890872171725     
