*Spectrum*
- Title: Fe K edge XAS transmission of Fe metallic reference foil at ambient conditions
- Version: #1 (2018-01-31 23:51:01 UTC)
- Measurement type: laboratory measurement (spectrum)
- Spectrum type: transmission (AU)
- Spectral unit: Energy (eV)
- Valid spectral range(s): 7004.290158-7963.25018 eV (Resol. 0.36 eV)
- Observation geometry: 
- Spatial observation mode: single spot
- Data analysis: raw averaged spectra
- Quality flag: 4
- File name: XAS_trans_FeFoil_300K.data.txt
- Comments: 

*Sample*
- Name: Fe metallic foil
- Origin(s): commercial
- Type: compact
- Temperature: 293.0 +/- 2.0 K
- Pressure: 

*Experiment*
- Title: Fe K edge XAS transmission of Fe metallic foil reference at ambient conditions
- Version: #1 (2018-01-31 23:51:01 UTC)
- Experimentalist(s): Testemale Denis
- Database(s): FAME @ SSHADE
- DOI: https://doi.org/10.26302/SSHADE/EXPERIMENT_DT_20170706_006

*Data reference*
- Testemale, Denis (2016): Fe K edge XAS transmission of Fe metallic foil reference at ambient conditions. SSHADE/FAME (OSUG Data Center). Dataset/Spectral Data. https://doi.org/10.26302/SSHADE/EXPERIMENT_DT_20170706_006




energy(ev)	transmission(au)
7004.410158	0.12029
7007.800159	0.11688
7010.840159	0.11388
7013.860159	0.11066
7016.850159	0.10797
7019.890159	0.10615
7022.870159	0.10214
7026.000159	0.09935
7028.970159	0.09761
7032.000159	0.09422
7035.000159	0.09168
7038.040159	0.08967
7041.080159	0.08699
7044.100159	0.08418
7047.110159	0.08059
7050.090159	0.07936
7053.070160	0.07749
7056.050160	0.07404
7059.080160	0.07222
7062.070160	0.06997
7065.080160	0.06745
7068.050160	0.06527
7071.080160	0.06390
7074.100160	0.06110
7077.060160	0.06003
7080.040160	0.05750
7083.080160	0.05400
7086.070160	0.05306
7089.070160	0.05113
7092.080160	0.04984
7095.030160	0.04897
7098.070161	0.04969
7101.100161	0.05063
7104.040161	0.05382
7104.370161	0.05511
7104.640161	0.05586
7104.950161	0.05567
7105.250161	0.05692
7105.550161	0.05728
7105.850161	0.05773
7106.150161	0.05929
7106.440161	0.06010
7106.750161	0.06251
7107.050161	0.06432
7107.360161	0.06496
7107.660161	0.06651
7107.960161	0.06905
7108.260161	0.07182
7108.550161	0.07421
7108.850161	0.07705
7109.150161	0.08146
7109.450161	0.08571
7109.760161	0.09184
7110.060161	0.10008
7110.350161	0.10926
7110.650161	0.12314
7110.950161	0.14054
7111.250161	0.17126
7111.550161	0.21803
7111.860161	0.28757
7112.170161	0.36885
7112.470161	0.44027
7112.760161	0.50018
7113.050161	0.54775
7113.360161	0.58771
7113.650161	0.62241
7113.960161	0.65466
7114.250161	0.68566
7114.580161	0.71847
7114.870161	0.74384
7115.160161	0.76697
7115.450161	0.78511
7115.760161	0.80096
7116.060161	0.81172
7116.360161	0.81798
7116.650161	0.82268
7116.960161	0.82771
7117.270161	0.83447
7117.560161	0.84515
7117.860161	0.86307
7118.150161	0.88951
7118.450161	0.92556
7118.750161	0.96860
7119.050161	1.01582
7119.360161	1.06625
7119.670161	1.11653
