# XDI/1.0 
# Spectrum.license:CC0-4.0
# Contact.author.name:Industrial Science Group
# Contact.author.affiliation:Canadian Light Source
# Sample.reference:
# ScanParameters.E0:
# Sample.temperature:77 K
# Sample.prep:powder, 500 um
# Facility.name:CLS
# Facility.energy:2.90 GeV
# Facility.xray_source:Wiggler
# Beamline.name:BIOXAS-S
# Beamline.scan_mode:Transmission
# Beamline.energy_resolution:0.0001
# Beamline.flux:1E12 ph/s at 12keV
# Beamline.spot_size:0.5-3mm
# Beamline.energy_range:5000 - 32000
# Beamline.detector:Ionization chamber
# Mono.name:Si220
# Scan.start_time:2021-03-12
# Sample.name:Jarosite
# Sample.id:s1dc72
# Element.symbol:Fe
# Element.edge:"K:7112"
# PXRD::<h8>(click on the image below to enlarge)</h8>
# &nbsp:<div><img class="pxrdstyle" src="data/DB/Fe/BIOXAS-S/Jarosite/Jarosite_PXRD/Jarosite_PXRD.png"></div>
# Column 1:Energy
# Column 2:I0
# Column 3:Itrans
# Column 4:Irefer
# Column 5:Mutrans


# Energy    I0          Itrans      Irefer      Mutrans               
6912.0006   96791.9     64270       57577.1     1                     
6922.0007   100852.9    67541       60709.1     0.974475771710673     
6932.0019   104827.9    70800       63872.1     0.9491753872934093    
6941.9987   109009.9    74244       67203.1     0.9241380149968385    
6952.0004   112962.9    77599       70482.1     0.8985101716126613    
6961.9982   116894.9    80972       73781.1     0.8736106627816376    
6972.0015   120736.9    84298       77069.1     0.8499569079708653    
6982.0002   124653.9    87777       80506.1     0.8245166036115974    
6991.9977   128596.9    91333       84034.1     0.7989060300495273    
7001.9995   132450.9    94804       87521.1     0.7756886385815704    
7012.0011   136310.9    98366       91094.1     0.7513143155241553    
7022.0022   140253.9    102019      94779.1     0.7275660112894582    
7031.9976   144325.9    105895      98673.1     0.7016616267927718    
7042.0016   148372.9    109755      102600.1    0.6773157162353004    
7052.0006   152332.9    113578      106457.1    0.6537112879073685    
7062.0021   156173.9    117408      110372.1    0.6290201371859886    
7072.0013   160054.9    121308      114285.1    0.6047245535495218    
7081.9995   163791.9    125131      118126.1    0.5809739332952609    
7082.5015   163917.9    125314      118286.1    0.5789049429096964    
7082.9989   164112.9    125512      118497.1    0.5777399956697976    
7083.5008   164230.9    125655      118645.1    0.5764852438574304    
7083.9984   164379.9    125817      118780.1    0.5753451123992952    
7084.5015   164521.9    125936      118907.1    0.5751004181411984    
7084.9984   164502.9    125985      118958.1    0.5735929453165243    
7085.5012   163718.9    125438      118459.1    0.5723199639168175    
7085.9989   163009.9    124947      117999.1    0.5710708698014348    
7086.5008   162263.9    124416      117482.1    0.5700906311557592    
7086.9994   162397.9    124562      117632.1    0.5690528278026349    
7087.5012   164363.9    126126      119100.1    0.5677248036481123    
7087.9991   165279.9    126879      119822.1    0.5665447077832221    
7088.4977   165856.9    127397      120304.1    0.5647837098132946    
7089.0011   166220.9    127655      120565.1    0.5652891075219116    
7089.4989   166413.9    127896      120769.1    0.5631207253162275    
7090.0022   166669.9    128164      121035.1    0.5614590536820132    
7090.5007   166887.9    128359      121228.1    0.5608219700144594    
7090.999    167068.9    128583      121424.1    0.5588510287240396    
7091.5022   167128.9    128686      121520.1    0.5575313659221122    
7092.0004   167418.9    128947      121754.1    0.5566575020158034    
7092.4994   167579.9    129103      121904.1    0.5559168568250537    
7092.9988   167830.9    129350      122107.1    0.5546777176857193    
7093.4978   167935.9    129442      122187.1    0.554422056835558     
7094.0015   168092.9    129627      122354.1    0.552946724036501     
7094.5003   168321.9    129850      122535.1    0.5518787184950203    
7094.9993   168391.9    129982      122638.1    0.5500851291600276    
7095.4984   168555.9    130142      122784.1    0.5493179877648148    
7096.003    168778.9    130361      122990.1    0.5482445847827978    
7096.4976   168938.9    130521      123122.1    0.547410710022317     
7097.0015   169156.9    130746      123308.1    0.5461174873443557    
7097.5016   169286.9    130872      123410.1    0.5455347780816963    
7098.0006   169449.9    131062      123541.1    0.5440755783100075    
7098.5005   169544.9    131183      123620.1    0.542992952723327     
7099.0003   169779.9    131473      123851.1    0.5405334783534018    
7099.4997   169809.9    131545      123891.1    0.5394254944398835    
7100        169986.9    131709      123990.1    0.5388154999142962    
7100.4996   170250.9    131950      124154.1    0.5379900164626018    
7101.0004   170341.9    132059      124193.1    0.5371194026328203    
7101.5001   170541.9    132257      124294.1    0.5361489304845728    
7102.0001   170707.9    132453      124397.1    0.5346310950341681    
7102.5011   170920.9    132628      124468.1    0.5344118222290756    
7103.0011   171123.9    132850      124574.1    0.5329612040445137    
7103.5018   171318.9    133091      124694.1    0.5309485971385414    
7103.9982   171471.9    133273      124731.1    0.5295326333850233    
7104.498    171654.9    133482      124768.1    0.5280376612101876    
7104.9984   171748.9    133595      124683.1    0.5271450241616744    
7105.4991   171946.9    133788      124653.1    0.5262741906913717    
7106.0004   172098.9    133940      124525.1    0.5255215725992651    
7106.5008   172228.9    134086      124352.1    0.5245225176969593    
7107.0023   172387.9    134291      124114.1    0.5227149442956152    
7107.4988   172509.9    134381      123696.1    0.5228269777446881    
7107.9997   172701.9    134597      123140.1    0.5213517299644861    
7108.5005   172868.9    134771      122194.1    0.5203794359311839    
7108.9982   172962.9    134877      120526.1    0.5196545594225479    
7109.4987   173032.9    134962      117500.1    0.5189811284608024    
7110.0008   173208.9    135111      112730.1    0.5187218425488336    
7110.5026   173286.9    135189      106339.1    0.5183426176791348    
7110.999    173409.9    135328      99271.1     0.5173921003580878    
7111.501    173550.9    135422      92632.1     0.517745896589552     
7111.9978   173600.9    135398      87580.1     0.5191362214298838    
7112.4992   173823.9    135529      83829.1     0.5200824741621028    
7113.0017   173924.9    135632      80870.1     0.5195481626831214    
7113.4981   173978.9    135771      78479.1     0.5174150773012655    
7114.0012   174193.9    136033      76680.1     0.5153448457103648    
7114.4978   174328.9    136192      75446.1     0.5141691951603192    
7115.0004   174476.9    136394      74640.1     0.5122763024868959    
7115.498    174532.9    136498      73890.1     0.5109576888673427    
7116.0006   174636.9    136637      72886.1     0.509696401739038     
7116.4984   174730.9    136699      71228.1     0.5099487730927357    
7117.0007   174938.9    136869      68849.1     0.5097899842605667    
7117.4989   175059.9    136945      65809.1     0.5101972816253248    
7118.0014   175201.9    137045      62394.1     0.5104389190727828    
7118.4991   175215.9    137041      58892.1     0.5107648910059331    
7118.9976   175460.9    137191      55528.1     0.5116712622780023    
7119.5007   175504.9    137127      52143.1     0.5138147219915747    
7119.9989   175623.9    137006      48997.1     0.5184778356100986    
7120.4977   175686.9    136749      46143.1     0.5251598168930514    
7121        175795.9    136439      43672.1     0.5337944207961596    
7121.4993   175877.9    135978      41615.1     0.5453009165710784    
7122.0019   175965.9    135389      39801.1     0.5597666150424624    
7122.5004   176117.9    134707      38225.1     0.5774363329297174    
7122.9988   176185.9    133961      36863.1     0.5951833487640494    
7123.5021   176352.9    133278      35661.1     0.6132876942306265    
7124.002    176504.9    132533      34554.1     0.6326114080353495    
7124.5007   176574.9    131762      33525.1     0.6512295845421023    
7125.0005   176733.9    130935      32539.1     0.6727323871712484    
7125.4992   176774.9    129981      31542.1     0.6952761621249544    
7125.9981   176874.9    128871      30480.1     0.7225924864779384    
