# XDI/1.0 
# Spectrum.license:CC0-4.0
# Contact.author.name:Industrial Science Group
# Contact.author.affiliation:Canadian Light Source
# Sample.reference:
# ScanParameters.E0:
# Sample.temperature:77 K
# Sample.prep:powder, 500 um
# Facility.name:CLS
# Facility.energy:2.90 GeV
# Facility.xray_source:Wiggler
# Beamline.name:BIOXAS-S
# Beamline.scan_mode:Transmission
# Beamline.energy_resolution:0.0001
# Beamline.flux:1E12 ph/s at 12keV
# Beamline.spot_size:0.5-3mm
# Beamline.energy_range:5000 - 32000
# Beamline.detector:Ionization chamber
# Mono.name:Si220
# Scan.start_time:2021-03-11
# Sample.name:Lepidocrocite
# Sample.id:49zit3
# Element.symbol:Fe
# Element.edge:"K:7112"
# Column 1:Energy
# Column 2:I0
# Column 3:Itrans
# Column 4:Irefer
# Column 5:Mutrans


# Energy    I0          Itrans      Irefer      Mutrans                
6911.9981   35254.9     131681.8    58315.4     0.26422695709289523    
6921.9979   36300.9     136760.8    60796.4     0.2503281295292598     
6931.9991   37362.9     142081.8    63372.4     0.2352555896775611     
6942.0013   38481.9     147644.8    66091.4     0.22088898957259148    
6951.9988   39582.9     153258.8    68871.4     0.20617887200816734    
6962.001    40708.9     159034.8    71704.4     0.19173340060396551    
6971.9988   41873.9     165002.8    74650.4     0.1778080616672757     
6982.0016   42988.9     170803.8    77537.4     0.1644471918768404     
6991.9992   44135.9     176870.8    80550.4     0.15060419642723732    
7002.0019   45230.9     182833.8    83545.4     0.13663423703065364    
7011.9995   46311.9     188730.8    86540.4     0.12351270494514056    
7021.9995   47373.9     194640.8    89553.4     0.11033304038973522    
7032.0004   48445.9     200770.8    92657.4     0.09639403172952472    
7041.9993   49475.9     206731.8    95715.4     0.08311954396272049    
7052.0024   50473.9     212635.8    98765.4     0.06989756684818577    
7061.9991   51499.9     218795.8    101896.4    0.05627723849346127    
7071.9992   52521.9     225073.8    105091.4    0.04232655281941731    
7082.002    53548.9     231182.8    108154.4    0.03035201748881012    
7082.499    53583.9     231500.8    108306.4    0.029187411436443437   
7083.0014   53649.9     231929.8    108499.4    0.028185482992638577   
7083.4984   53666.9     232040.8    108567.4    0.027924430482524857   
7084        53707.9     232292.8    108700.4    0.027404865199244736   
7084.4977   53734.9     232525.8    108809.4    0.026597533902862576   
7085.0004   53739.9     232708.8    108911.4    0.025477400452733237   
7085.4979   53464.9     231603.8    108377.4    0.024878872125432803   
7086.0008   53247.9     230759.8    107990.4    0.0242068029572755     
7086.4988   53049.9     229924.8    107613.4    0.02404476559759519    
7087.0013   53077.9     230074.8    107677.4    0.023843705284328717   
7087.4986   53640.9     232638.8    108875.4    0.022985631298139356   
7088.0017   53937.9     234025.8    109533.4    0.022302911729860195   
7088.4998   54075.9     234780.8    109895.4    0.021227893496056263   
7089.0023   54196.9     235426.8    110206.4    0.020400086928143237   
7089.5012   54272.9     235848.8    110385.4    0.019770993931859843   
7089.9995   54342.9     236224.8    110554.4    0.01928004546170886    
7090.4983   54413.9     236648.8    110755.4    0.018492613420938914   
7091.0019   54443.9     236838.8    110838.4    0.01808668178265988    
7091.4997   54494.9     237171.8    110974.4    0.01732976896300307    
7091.9991   54550.9     237547.8    111139.4    0.016430306579793146   
7092.5022   54585.9     237747.8    111238.4    0.016107042653266113   
7093.0007   54632.9     238007.8    111364.4    0.015731852587741766   
7093.4995   54665.9     238219.8    111462.4    0.015269234380636614   
7093.9985   54706.9     238511.8    111590.4    0.014501740898198758   
7094.5024   54746.9     238771.8    111690.4    0.013922668201956536   
7095.0016   54795.9     239105.8    111831.4    0.013110054059938262   
7095.5009   54881.9     239567.8    112029.4    0.012525317343508337   
7095.9999   54901.9     239789.8    112117.4    0.011617966014257913   
7096.4995   54941.9     240005.8    112202.4    0.011340091987734675   
7096.9989   54993.9     240310.8    112330.4    0.010816905237292444   
7097.4988   55021.9     240514.8    112405.4    0.010268634296087476   
7098.0024   55041.9     240704.8    112459.4    0.009580338403174184   
7098.4976   55091.9     240863.8    112494.4    0.009980241658712615   
7099.0023   55152.9     241185.8    112599.4    0.009609906575273811   
7099.4977   55187.9     241417.8    112651.4    0.009081771354652468   
7100.0021   55246.9     241757.8    112770.4    0.008534583248987516   
7100.4976   55280.9     242074.8    112868.4    0.007412050066819943   
7100.9977   55327.9     242400.8    112975.4    0.006611186975423571   
7101.4978   55377.9     242604.8    113020.4    0.006711415572995647   
7102.0023   55432.9     243017.8    113136.4    0.005567751221298908   
7102.498    55478.9     243218.8    113148.4    0.0055721595954873315  
7102.9982   55508.9     243427.8    113166.4    0.0050580957982993445  
7103.4984   55561.9     243762.8    113188.4    0.00437843768012402    
7103.9999   55595.9     243895.8    113128.4    0.0044854675012757006  
7104.5002   55658.9     244204.8    113137.4    0.004269731167607281   
7105.0011   55691.9     244384.8    113050.4    0.004037045176503762   
7105.5017   55731.9     244719.8    113010.4    0.0029843856997221257  
7106.0019   55767.9     244891.8    112861.4    0.0028925719411684535  
7106.4985   55806.9     244996.8    112605.4    0.0033292436684019917  
7106.9993   55852.9     245216.8    112351.4    0.003210333094930128   
7107.5009   55912.9     245564.8    112015.4    0.002654069148386752   
7108.0019   55945.9     245740.8    111449.4    0.002449908362191903   
7108.4982   55959.9     245811.8    110521.4    0.002387462734384188   
7108.9992   55993.9     245923.8    108968.4    0.0026326971177897994  
7109.5011   56042.9     246039.8    106213.4    0.0032836877406782513  
7109.9979   56090.9     246057.8    101879.4    0.004548040029907805   
7110.4984   56128.9     245933.8    96024.4     0.006455662536584207   
7111.0004   56155.9     245397.8    89255.4     0.010755541173866222   
