# XDI/1.0 
# Spectrum.license:CC BY 4.0
# Publication.authors: Bruce Ravel
# Publication.affiliation: Brookhaven National Laboratory, NSLS-II
# Sample.reference:
# ScanParameters.E0:
# Facility.name:NSLS-II
# Sample.temperature:rt
# Sample.prep:powder on tape
# Sample.formula:
# Sample.smiles:O=[Fe]O
# Publication.DOI: https://doi.org/10.18434/mds2-4032
# Sample.name:Lepidocrocite
# Scan.number:scan1
# Sample.id:j58orc
# Scan.start_time:2023-05-05
# Element.symbol:Fe
# Facility.energy:3.0 GeV
# Beamline.flux:Si(111): 2x10^12 at 10 keV; 6x10^10 at 20 keV; Si(311): 4x10^11 at 10 keV; 1x10^10 at 20 keV
# Beamline.name:Beamline for Materials Measurement (BMM)
# Beamline.energy_range:4.0 - 23
# Beamline.scan_mode:Transmission
# Beamline.energy_resolution:Si(111): 1.3 x 10^-4; Si(311):1.9 x 10^-5 
# Beamline.spot_size:300 µm
# Beamline.detector:Ionization chamber
# Beamline.website:https://www.bnl.gov/nsls2/beamlines/beamline.php?r=6-BM
# Mono.name:Si(111) and Si(311)
# Element.edge:K
# Column.1:Energy
# Column.2:I0
# Column.3:Itrans
# Column.4:Irefer
# Column.5:Mutrans
# Energy   I0           Itrans     Irefer     Mutrans
6912       153.862      29.2614    5.49154    1.659787
6921.87    153.739      29.5214    5.58017    1.650141
6932.02    153.723      29.8114    5.67394    1.640259
6942.03    153.749      30.1112    5.77136    1.630425
6952       153.76       30.4133    5.87154    1.620511
6962       153.767      30.7163    5.97043    1.610645
6972.01    153.791      31.0171    6.07064    1.601054
6982.02    153.773      31.3135    6.16975    1.591424
6992.02    153.772      31.619     6.27223    1.581713
7002.01    153.812      31.9266    6.3762     1.572293
7012.01    153.811      32.2281    6.4787     1.562886
7022.01    153.736      32.5181    6.5809     1.55344
7032.01    153.94       32.8588    6.6917     1.544346
7042.01    153.849      33.1567    6.79441    1.534726
7052.01    153.79       33.4494    6.89577    1.525556
7062.01    153.01       33.5889    6.96215    1.516307
7072.01    153.586      34.0182    7.08645    1.507366
7082.58    152.703      34.1465    7.13959    1.497836
7083.98    153.437      34.3427    7.18175    1.496901
7085.98    153.569      34.4367    7.20386    1.495024
7087.98    153.574      34.4924    7.21659    1.493442
7089.98    153.552      34.5446    7.22724    1.49179
7091.98    153.553      34.6184    7.23878    1.489661
7093.98    153.545      34.6589    7.24315    1.488438
7095.97    153.526      34.7249    7.24887    1.486412
7097.99    153.447      34.7644    7.24411    1.484762
7099.99    153.464      34.8244    7.23747    1.483148
7102       153.423      34.8588    7.21395    1.48189
7102.29    153.378      34.8593    7.20879    1.481589
7102.59    153.414      34.882     7.20691    1.481168
7102.88    153.388      34.8877    7.20123    1.480837
7103.19    153.382      34.8837    7.19352    1.48091
7103.48    153.375      34.8961    7.18788    1.480514
7103.78    153.36       34.8975    7.17908    1.480374
7104.09    153.343      34.905     7.1725     1.480049
7104.38    153.328      34.912     7.16526    1.479747
7104.68    153.347      34.9251    7.15649    1.4795
7104.98    153.34       34.9312    7.14594    1.479274
7105.28    153.329      34.9264    7.13189    1.479344
7105.59    153.315      34.9325    7.11927    1.479075
7105.89    153.305      34.936     7.10515    1.47891
7106.19    153.292      34.9466    7.09019    1.478525
7106.49    153.289      34.9464    7.07277    1.478507
7106.79    153.295      34.9616    7.05417    1.478116
7107.09    153.276      34.9695    7.03371    1.477763
7107.39    153.266      34.9705    7.00855    1.477667
7107.69    153.243      34.9734    6.97844    1.47744
7107.99    153.248      34.9829    6.94514    1.477197
7108.28    153.243      34.9866    6.90454    1.47706
7108.59    153.252      34.9922    6.85736    1.476959
7108.88    153.225      34.9832    6.79906    1.477039
7109.19    153.22       34.9962    6.72977    1.476634
7109.49    153.21       35.0011    6.63942    1.476428
7109.79    153.2        34.9984    6.51676    1.476438
7110.1     153.179      35.0012    6.34564    1.476227
7110.4     153.138      34.9924    6.10397    1.476209
7110.7     153.129      34.991     5.76827    1.476189
7110.99    153.098      34.9849    5.33749    1.476161
7111.3     153.062      34.972     4.82753    1.476298
7111.6     153.03       34.9542    4.3056     1.476593
7111.89    152.982      34.9176    3.84849    1.477331
7112.19    152.969      34.886     3.49205    1.478149
7112.49    152.943      34.8256    3.22008    1.479713
7112.79    152.937      34.7662    3.01248    1.481376
7113.09    152.894      34.7109    2.84126    1.482693
7113.4     152.873      34.6982    2.69831    1.482916
7113.69    152.863      34.7173    2.5696     1.482307
7113.99    152.841      34.7242    2.45207    1.48196
7114.3     152.83       34.7192    2.34935    1.482033
7114.6     152.81       34.7185    2.26329    1.481923
7114.9     152.822      34.7379    2.20048    1.481445
7115.2     152.836      34.7729    2.15585    1.480524
7115.5     152.834      34.7975    2.12374    1.479804
7115.8     152.816      34.8007    2.09976    1.479596
7116.1     152.807      34.7932    2.07953    1.479751
7116.39    152.779      34.7631    2.0571     1.480438
7116.69    152.771      34.7463    2.02633    1.480865
7116.99    152.766      34.7349    1.9807     1.481165
7117.3     152.745      34.7125    1.91458    1.481669
7117.6     152.733      34.6913    1.82673    1.4822
7117.9     152.7        34.667     1.72449    1.482691
7118.2     152.707      34.6504    1.60892    1.483209
7118.5     152.69       34.6262    1.49089    1.483801
7118.8     152.686      34.5967    1.37738    1.484626
7119.1     152.664      34.5701    1.27005    1.485248
7119.4     152.648      34.5322    1.17181    1.486245
7119.7     152.647      34.4792    1.08023    1.487774
7120       152.641      34.4139    0.991335   1.489629
7120.3     152.632      34.3302    0.905514   1.492007
7120.6     152.621      34.2231    0.82627    1.495057
7120.89    152.6        34.086     0.754831   1.49893
7121.2     152.565      33.9258    0.692618   1.503418
7121.5     152.544      33.7346    0.63822    1.508931
7121.8     152.507      33.5044    0.592214   1.515533
7122.1     152.506      33.2416    0.551652   1.5234
7122.4     152.499      32.9352    0.516537   1.532613
7122.7     152.492      32.6043    0.484886   1.542669
7123.01    152.466      32.2494    0.456559   1.553441
7123.31    152.455      31.9024    0.43162    1.564192
7123.6     152.422      31.5722    0.410006   1.574376
7123.9     152.393      31.2688    0.390951   1.583839
7124.2     152.379      30.9767    0.373819   1.593136
7124.5     152.375      30.6765    0.357428   1.602848
7124.8     152.336      30.3574    0.342066   1.613046
7125.1     152.338      30.0181    0.327831   1.624302
7125.4     152.32       29.6448    0.313811   1.636697
7125.7     152.308      29.2555    0.300319   1.649835
7126       152.272      28.8311    0.287021   1.664212
7126.3     152.275      28.3799    0.273771   1.68001
7126.6     152.242      27.8823    0.260305   1.697481
7126.9     152.204      27.3546    0.246563   1.716336
7127.2     152.178      26.7941    0.232546   1.736866
7127.51    152.175      26.2058    0.218203   1.759047
7127.8     152.169      25.6423    0.204437   1.780753
7128.1     152.144      25.0934    0.191355   1.802226
7128.4     152.115      24.5861    0.178782   1.822459
7128.7     152.078      24.1332    0.16687    1.840805
7129       152.054      23.7413    0.155935   1.857023
7129.3     152.052      23.429     0.146164   1.870247
7129.6     152.024      23.1802    0.137867   1.880744
7129.9     152.005      22.9854    0.130903   1.889058
7130.2     151.974      22.825     0.125165   1.895852
7130.5     151.925      22.7017    0.121197   1.90095
7130.8     151.89       22.5969    0.118364   1.90534
7131.1     151.887      22.5152    0.1172     1.908945
7131.4     151.835      22.4628    0.117666   1.910933
7131.71    151.803      22.4458    0.119907   1.911481
