# XDI/1.0 
# Spectrum.license:CC BY 4.0
# Publication.authors: Peter Blanchard, Miranda Vu, Joel Reid, Erika Bergen, Jeff Warner
# Publication.affiliation: Canadian Light Source
# Facility.name:CLS
# Sample.temperature:77 K
# Sample.prep:powder, 500 um
# Sample.formula:FeHO2
# Publication.DOI: https://doi.org/10.20383/103.01329
# Sample.name:Lepidocrocite
# Scan.number:scan3
# Sample.id:zv0tk0
# Scan.start_time:2021-03-11
# Element.symbol:Fe
# Facility.energy:2.90 GeV
# Facility.xray_source:Wiggler
# Beamline.name:BIOXAS-S
# Beamline.scan_mode:Transmission
# Beamline.energy_resolution:0.0001
# Beamline.flux:1E12 ph/s at 12keV
# Beamline.spot_size:0.5-3mm
# Beamline.energy_range:5.0 - 32.0
# Beamline.website:https://bioxas.lightsource.ca/
# Beamline.detector:Ionization chamber
# Mono.name:Si220
# Element.edge:K
# Column.1:Energy
# Column.2:I0
# Column.3:Itrans
# Column.4:Irefer
# Column.5:Mutrans
# Energy   I0         Itrans     Irefer     Mutrans
6911.9981  71711.3    134385.3   59518.6    0.2712641644535257
6922.0023  73704.3    139350.3   61921.6    0.2563932001485431
6931.9985  75869.3    144782.3   64574.6    0.24081400618994656
6942.0007  78144.3    150481.3   67346.6    0.22561509999040305
6952.003   80300.3    155991.3   70097.6    0.21094854226871154
6962.0008  82544.3    161780.3   72919.6    0.1960604888380235
6971.9989  84801.3    167660.3   75837.6    0.18142790999915012
6982.0018  86991.3    173391.3   78697.6    0.1678203294863866
6991.9995  89251.3    179354.3   81667.6    0.15412776075253884
7001.9978  91393.3    185219.3   84637.6    0.13993751550830832
7011.9984  93450.3    190969.3   87563.6    0.1259931049264928
7022.0003  95516.3    196889.3   90555.6    0.1114663886975174
7032.0004  97515.3    202611.3   93500.6    0.09815799105910301
7042       99508.3    208492.3   96512.6    0.08410222959585453
7051.9982  101437.3   214384.3   99528.6    0.06956464134464074
7061.9999  103401.3   220336.3   102586.6   0.055798717175647786
7071.9989  105404.3   226488.3   105714.6   0.0417909228856114
7082.0019  107292.3   232335.3   108646.6   0.028818788736375073
7082.4986  107400.3   232719.3   108846.6   0.027736504323264646
7083.0015  107458.3   232833.3   108901.6   0.02782061000789452
7083.4989  107505.3   233047.3   109020.6   0.027013240711432268
7084.0004  107647.3   233452.3   109213.6   0.026314990881952213
7084.4985  107666.3   233647.3   109306.6   0.025210697275917654
7084.9999  107658.3   233752.3   109363.6   0.02433256473957953
7085.4976  107078.3   232559.3   108798.6   0.023854223733800105
7086.0006  106672.3   231554.3   108332.6   0.02474647399119423
7086.4985  106273.3   230896.3   108018.6   0.023234181285606403
7087.001   106424.3   231200.3   108162.6   0.02340879123058484
7087.499   107510.3   233747.3   109367.6   0.02206130542315574
7088.0022  108044.3   235164.3   110033.6   0.020234721663307486
7088.4994  108332.3   235927.3   110389.6   0.01926659542572296
7088.9986  108575.3   236512.3   110670.6   0.018870929909749527
7089.5012  108782.3   236989.3   110915.6   0.018686311840155484
7089.9996  108930.3   237379.3   111091.6   0.018208839655462914
7090.4974  109004.3   237528.3   111145.6   0.018295398866357428
7091.0013  109107.3   237829.3   111297.6   0.017755464749847412
7091.4997  109148.3   238026.3   111385.6   0.016996951174105206
7091.9984  109246.3   238366.3   111527.6   0.016108193442543387
7092.5018  109422.3   238895.3   111772.6   0.015090070578065658
7093.0007  109464.3   239140.3   111867.6   0.014014597987392142
7093.4995  109503.3   239317.3   111935.6   0.01337115987423474
7093.9989  109648.3   239602.3   112060.6   0.013594392445865699
7094.498   109683.3   239834.3   112156.6   0.01250653738126717
7095.0009  109822.3   240252.3   112353.6   0.011710130930055861
7095.5004  109870.3   240436.3   112411.6   0.011159044519777457
7095.9995  109930.3   240604.3   112461.6   0.01090322526680757
7096.4997  110032.3   240894.3   112584.6   0.010438429120972995
7096.9984  110105.3   241144.3   112690.6   0.009811125692150998
7097.4983  110274.3   241644.3   112900.6   0.0089095433476794
7097.9987  110344.3   241949.3   112997.6   0.007858317356140175
7098.498   110433.3   242181.3   113103.6   0.00760309933428592
7098.9979  110514.3   242385.3   113165.6   0.007420657308962234
7099.4979  110593.3   242661.3   113246.6   0.006710486510361438
7099.9979  110711.3   243055.3   113367.6   0.005778114464343613
7100.5023  110760.3   243203.3   113400.6   0.005499321304357463
7100.9976  110887.3   243538.3   113507.6   0.005112686553709999
7101.4978  110928.3   243624.3   113462.6   0.005140545861664966
7101.9978  111036.3   243904.3   113509.6   0.00484617657817325
7102.4982  111141.3   244194.3   113553.6   0.0044384815572769175
7102.9986  111220.3   244613.3   113671.6   0.002754968454966454
7103.4992  111335.3   244923.3   113706.6   0.002364112291256451
7103.9998  111462.3   245273.3   113757.6   0.001881189735055247
7104.5     111544.3   245489.3   113720.6   0.0016382471544217504
7105.001   111603.3   245657.3   113625.6   0.0013777670416998391
7105.5014  111737.3   245916.3   113547.6   0.001622963246423921
7105.998   111793.3   246067.3   113366.6   0.0014338000264048167
7106.4991  111887.3   246441.3   113252.6   0.00029626907498108123
7107.0001  111940.3   246569.3   112937.6   0.0002196592646651859
7107.5012  112042.3   246826.3   112573.6   0
7107.9978  112109.3   246911.3   111952.6   0.0004251410750316307
7108.4986  112200.3   247072.3   111023.6   0.0006926978634273996
7108.9995  112316.3   247361.3   109533.6   0.00046514300300364513
7109.5007  112407.3   247518.3   106743.6   0.0007592834979934773
7109.9981  112473.3   247524.3   102351.6   0.001703052917902074
7110.4993  112567.3   247388.3   96391.6    0.0040258355774756395
7111.0007  112591.3   246716.3   89628.6    0.00894520952506064
7111.503   112720.3   246056.3   83350.6    0.015358121661809533
7112.0003  112772.3   245078.3   78487.6    0.02281088766309312
7112.5016  112859.3   244274.3   74841.6    0.02961513972789589
7112.9987  112928.3   243867.3   72035.6    0.033436827245202076
