# XDI/1.0 
# Spectrum.license:CC BY 4.0
# Publication.authors: Matthew Newville
# Publication.affiliation: Center for Advanced Radiation Sources, University of Chicago
# Sample.reference:none
# Facility.name:APS
# Sample.temperature:r.t.
# Sample.prep:powder on tape, 4 layers
# Sample.formula:FeS2
# Publication.DOI: https://doi.org/10.71622/XASLIB_535X-8J62
# Sample.name:Pyrite
# Scan.number:Scan2
# Sample.id:621h02
# Scan.start_time:2002-03-16
# Element.symbol:Fe
# Facility.energy:7.0 GeV
# Facility.xray_source:Bending Magnet
# Beamline.name:13-BM-D (GSECARS)
# Beamline.website:https://gsecars.uchicago.edu/gsecars-facility/sector-13-beamlines/13-bmd/
# Beamline.scan_mode:Transmission
# Beamline.energy_resolution:1 x 10^-4
# Beamline.flux:1 x 10^9 ph/s at 10 keV
# Beamline.spot_size:50 mm x 4 mm
# Beamline.energy_range:4.5 - 100.0
# Beamline.detector:Ionization chamber
# Mono.name:Si(111)
# Element.edge:K
# Column.1:Energy
# Column.2:I0
# Column.3:Itrans
# Column.5:Mutrans
# Energy    I0       Itrans          Mutrans               
6911.8277   272002   121091.203452   0.45243996632572675   
6916.9236   270032   120826.202549   0.44766247836540474   
6921.7638   268827   120841.202789   0.44333803284666834   
6926.875    267514   120853.203083   0.43863831145445253   
6931.7907   255214   115822.202582   0.43435845987234983   
6962        305150   138780.400175   0.43234938060721273   
6972        306445   141215.399951   0.41996965147283083   
6982        306446   143072.400186   0.40768171623514854   
6992        306744   144906.39953    0.3966129642389181    
7002        306246   146611.40022    0.3840792825280979    
7012        306358   148490.400455   0.3724424188033853    
7022        306309   150299.400245   0.36089978564720154   
7032        306019   151960.400143   0.34966864209759796   
7042        306529   154154.399998   0.337749114892648     
7052        306124   155959.400259   0.325553387500523     
7062        306188   157881.400653   0.3142267527081245    
7072        306119   159772.400435   0.30281337612255305   
7082        306143   161519.400608   0.29265596807932154   
7092        306098   163311.400721   0.28213730208229476   
7092.5      305825   163281.400039   0.2814706979570227    
7093        305756   163253.400548   0.28141975361547966   
7093.5      305745   163187.399598   0.2817663350761593    
7094        305717   163415.400359   0.28036663104440096   
7094.5      305670   163489.400363   0.2797960544177344    
7095        305666   163527.400354   0.2795650973248071    
7095.5      305631   163566.399646   0.2792330230037033    
7096        305585   163579.400482   0.27901663891129397   
7096.5      305536   163758.40006    0.2778368469755615    
7097        305539   163817.399534   0.27750719051207484   
7097.5      305510   163921.399452   0.2768208107571057    
7098        305466   163909.400542   0.27675417386657775   
7098.5      305494   163944.400415   0.27663953733770386   
7099        305432   164022.400664   0.27600108195637824   
7099.5      305503   164181.400726   0.2753082012716508    
7100        305402   164094.39993    0.2754957874637312    
7100.5      305414   164221.39932    0.27480491068734897   
7101        305391   164216.400423   0.2747626969709346    
7101.5      305400   164284.400085   0.2744009309894242    
7102        305952   164696.399651   0.27374343381234223   
7102.5      305420   164373.399915   0.27395300650815707   
7103        304860   164105.400084   0.27376159126222877   
7103.5      305180   164322.400779   0.27350537367817657   
7104        305180   164427.400175   0.27290440919037784   
7104.5      305435   164504.400403   0.27324972057237124   
7105        305144   164389.40044    0.2730108701681623    
7105.5      305045   164363.399443   0.27285440564802016   
7106        304943   164227.400185   0.2733185401250541    
7106.5      305015   164347.399283   0.2728534648504516    
7107        305023   164341.400363   0.2729124812603692    
7107.5      304990   164218.399997   0.2735150921422377    
7108        305117   164094.39961    0.2746174279843859    
7108.5      305305   164100.400215   0.27516252773695304   
7109        304852   163536.399576   0.2770045961192523    
7109.5      304938   163246.40023    0.27893976610869037   
7110        305214   162506.4007     0.2840652655437852    
7110.5      304831   161012.400648   0.29157319148148253   
7111        304668   158488.400733   0.3059346131847103    
7111.5      304489   155543.399898   0.3230279405209609    
7112        304804   153701.399682   0.3352085022060897    
7112.5      304821   152925.399739   0.34002286953654076   
7113        304700   152857.399289   0.3400677739434153    
7113.5      304652   152989.400556   0.33910747074544684   
7114        304907   153498.399779   0.33676974166456475   
7114.5      304536   153304.399909   0.33681410040513393   
7115        305540   152722.399788   0.34348906988525185   
7115.5      306249   150012.39988    0.36251368170698844   
7116        306100   143913.399449   0.4011049192730663    
7116.5      305917   134285.399671   0.4656874050816422    
7117        306536   122285.399588   0.5556571923092801    
7117.5      306925   112360.395039   0.636485447780585     
7118        306741   106129.404138   0.6895961709277882    
7118.5      306475   100282.397993   0.74209415077035      
7119        306428   96077.400085    0.7822500523038405    
7119.5      306460   93744.40107     0.8054752156432677    
7120        306450   93797.397454    0.8049128051546749    
7120.5      306582   95097.402545    0.7923682666095745    
7121        306359   96690.399563    0.7760546934688787    
7121.5      306364   97438.39552     0.7688200324180843    
7122        306349   97250.397989    0.7705909010253512    
7122.5      306255   96751.398662    0.7751419289077033    
7123        306266   96290.398077    0.7796691545524767    
7123.5      306230   95912.397959    0.7832590607423691    
7124        306227   95675.404293    0.7855773811117589    
7124.5      306371   95785.401278    0.7849386717094489    
7125        306051   95854.398201    0.7832780649145445    
7125.5      306141   95675.39694     0.7853132043512103    
7126        306113   95062.399691    0.7912743038955572    
7126.5      306099   94135.400721    0.8004504947422861    
7127        306090   92928.397416    0.8125637703895353    
7127.5      306010   91705.401463    0.8247815689548795    
7128        306003   90557.400184    0.8366116636760021    
7128.5      305954   89363.396557    0.8489480030986424    
7129        305942   88118.397955    0.8621103652737928    
7129.5      306047   86891.401901    0.8756253394473108    
7130        305942   85486.403637    0.8906391968175709    
7130.5      305940   84080.401712    0.9062351274145369    
7131        305777   82753.398104    0.9207004040678478    
7131.5      305771   81563.401944    0.934308893804005     
7132        305988   80791.396872    0.9439234976405622    
7132.883    305946   79254.398738    0.9618648436447214    
7133.785    305893   77934.401591    0.9775030161764617    
7134.707    305719   76936.397913    0.9890931127208751    
7135.647    305734   76311.40042     0.9968131327031234    
7136.606    305686   76041.40019     1                     
7137.584    305808   76078.397453    0.9999177740400489    
7138.582    305655   76281.398545    0.9969399525888292    
7139.599    305680   76492.401044    0.9944181370987606    
7140.634    305655   76654.400572    0.9923508222906241    
7141.689    305647   77084.401219    0.9870634299154436    
7142.763    305546   77848.399563    0.9774739454437817    
7143.856    305620   79211.397808    0.9613724287115781    
7144.968    305565   80522.401236    0.9457596578007845    
7146.099    305942   81764.400037    0.9325193032655215    
