  9809     SPring-8 14b2 
 Fe-K_FePO4_Si1  20.05.26 16:04 - 20.05.26 16:08
 FePO4                                                                           
 Ring :   8.0 GeV    99.5 mA -   99.6 mA
 Mono :   SI(111)       D=  3.13551 A    Initial angle= 17.07739 deg
 14b2      Transmission( 2)   Repetition=  1     Points= 4415
 Param file :                 angle axis (1)     Block =    1

 Block      Init-ang  final-ang     Step/deg     Time/s       Num
     1       16.95500  13.23500    -0.000850       0.05      4415
 Ortec( 0)     NDCH = 3
  Angle(c)  Angle(o)    time/s         2         3
      Mode         0         0         1         2
    Offset         0         0    47.200   101.900
  16.95415  16.95364     0.050     27510     13825
  16.95330  16.95290     0.050     27492     13821
  16.95245  16.95210     0.050     27494     13832
  16.95160  16.95120     0.050     27508     13844
  16.95075  16.95029     0.050     27503     13846
  16.94990  16.94938     0.050     27494     13848
  16.94905  16.94846     0.050     27508     13860
  16.94820  16.94757     0.050     27512     13867
  16.94735  16.94674     0.050     27507     13870
  16.94650  16.94592     0.050     27501     13870
  16.94565  16.94517     0.050     27516     13883
  16.94480  16.94447     0.050     27498     13882
  16.94395  16.94375     0.050     27500     13889
  16.94310  16.94302     0.050     27510     13896
  16.94225  16.94224     0.050     27526     13906
  16.94140  16.94135     0.050     27497     13901
  16.94055  16.94043     0.050     27515     13917
  16.93970  16.93953     0.050     27516     13922
  16.93885  16.93860     0.050     27506     13921
  16.93800  16.93771     0.050     27505     13925
  16.93715  16.93686     0.050     27506     13933
  16.93630  16.93604     0.050     27510     13939
  16.93545  16.93528     0.050     27507     13939
  16.93460  16.93458     0.050     27513     13952
  16.93375  16.93386     0.050     27520     13963
  16.93290  16.93312     0.050     27502     13958
  16.93205  16.93235     0.050     27503     13963
  16.93120  16.93148     0.050     27518     13973
  16.93035  16.93056     0.050     27512     13977
  16.92950  16.92966     0.050     27491     13978
  16.92865  16.92873     0.050     27508     13986
  16.92780  16.92782     0.050     27508     13993
  16.92695  16.92697     0.050     27489     13985
  16.92610  16.92614     0.050     27492     13993
  16.92525  16.92536     0.050     27492     14000
  16.92440  16.92465     0.050     27479     14003
  16.92355  16.92394     0.050     27468     13996
  16.92270  16.92320     0.050     27473     14003
  16.92185  16.92244     0.050     27455     14006
  16.92100  16.92158     0.050     27433     13997
  16.92015  16.92065     0.050     27433     14004
  16.91930  16.91974     0.050     27409     13998
  16.91845  16.91882     0.050     27374     13983
  16.91760  16.91792     0.050     27352     13975
  16.91675  16.91706     0.050     27317     13964
  16.91590  16.91624     0.050     27255     13937
  16.91505  16.91545     0.050     27164     13896
  16.91420  16.91473     0.050     27054     13849
  16.91335  16.91403     0.050     26836     13742
  16.91250  16.91329     0.050     26436     13539
  16.91165  16.91253     0.050     25804     13211
  16.91080  16.91168     0.050     24978     12797
  16.90995  16.91075     0.050     24364     12490
  16.90910  16.90984     0.050     24395     12514
  16.90825  16.90892     0.050     25212     12950
  16.90740  16.90801     0.050     26397     13557
  16.90655  16.90715     0.050     27380     14069
  16.90570  16.90632     0.050     27900     14340
  16.90485  16.90552     0.050     28029     14410
  16.90400  16.90480     0.050     28008     14401
  16.90315  16.90409     0.050     27987     14391
