# XDI/1.0 
# Spectrum.license:CC BY 4.0
# Publication.authors: Bruce Ravel
# Publication.affiliation: Brookhaven National Laboratory, NSLS-II
# Sample.reference:
# ScanParameters.E0:
# Facility.name:NSLS-II
# Sample.temperature:rt
# Sample.prep:powder on tape
# Sample.formula:
# Sample.smiles:[Fe+3].[O-]P(=O)([O-])[O-]
# Publication.DOI: https://doi.org/10.18434/mds2-4032
# Sample.name:Iron Phosphate
# Scan.number:scan1
# Sample.id:ux4tlj
# Scan.start_time:2023-05-05
# Element.symbol:Fe
# Facility.energy:3.0 GeV
# Beamline.flux:Si(111): 2x10^12 at 10 keV; 6x10^10 at 20 keV; Si(311): 4x10^11 at 10 keV; 1x10^10 at 20 keV
# Beamline.name:Beamline for Materials Measurement (BMM)
# Beamline.energy_range:4.0 - 23
# Beamline.scan_mode:Transmission
# Beamline.energy_resolution:Si(111): 1.3 x 10^-4; Si(311):1.9 x 10^-5 
# Beamline.spot_size:300 µm
# Beamline.detector:Ionization chamber
# Beamline.website:https://www.bnl.gov/nsls2/beamlines/beamline.php?r=6-BM
# Mono.name:Si(111) and Si(311)
# Element.edge:K
# Column.1:Energy
# Column.2:I0
# Column.3:Itrans
# Column.4:Irefer
# Column.5:Mutrans
# Energy   I0           Itrans     Irefer     Mutrans
6912       154.087      49.9203    9.37651    1.127091
6922.01    153.959      50.236     9.50351    1.119952
6932.02    153.909      50.6126    9.6424     1.112164
6942       153.926      51         9.78369    1.104649
6951.99    153.909      51.3781    9.92573    1.097148
6962.01    153.933      51.7725    10.0715    1.089657
6972.02    153.927      52.1578    10.217     1.082206
6982.02    153.885      52.5299    10.3592    1.074824
6992.01    153.87       52.9026    10.5032    1.067658
7002.01    153.83       53.2418    10.6407    1.061002
7012.01    153.777      53.6022    10.7842    1.053913
7022.02    153.724      53.9642    10.9289    1.046839
7032.01    153.664      54.3475    11.0756    1.039368
7042.02    153.589      54.7023    11.2174    1.032376
7052.01    153.509      55.0514    11.3565    1.02549
7062.01    152.734      55.1519    11.4403    1.018606
7072.01    153.336      55.7449    11.6198    1.011849
7081.98    153.377      56.1151    11.7379    1.005496
7083.98    153.139      56.0928    11.7385    1.00434
7085.98    153.254      56.2088    11.7653    1.003022
7087.99    153.269      56.2775    11.7817    1.001898
7089.98    153.26       56.3274    11.7913    1.000955
7091.99    153.226      56.3922    11.8017    0.999584
7093.98    153.235      56.4599    11.808     0.998445
7095.97    153.206      56.506     11.804     0.997438
7098       153.08       56.5292    11.7869    0.996207
7099.99    153.142      56.5915    11.7688    0.995509
7101.99    153.103      56.6234    11.7251    0.994687
7102.29    153.087      56.6252    11.7178    0.994553
7102.59    153.1        56.6328    11.7088    0.994504
7102.88    153.101      56.638     11.7002    0.994416
7103.18    153.088      56.637     11.6888    0.994352
7103.48    153.086      56.6407    11.6755    0.994271
7103.78    153.077      56.6336    11.6608    0.994337
7104.08    153.062      56.6427    11.6463    0.99408
7104.38    153.047      56.6354    11.6305    0.994112
7104.69    153.051      56.6313    11.6128    0.994208
7104.99    153.039      56.6273    11.5934    0.994199
7105.28    153.037      56.6291    11.5722    0.994156
7105.59    153.037      56.6379    11.5511    0.994001
7105.89    153.031      56.6381    11.527     0.993955
7106.19    153.011      56.6374    11.5002    0.993842
7106.49    153.015      56.6375    11.4702    0.993862
7106.79    153.016      56.6372    11.4373    0.993878
7107.09    152.995      56.6357    11.4008    0.993769
7107.39    152.983      56.6254    11.3557    0.993872
7107.69    152.988      56.6308    11.3065    0.993806
7107.99    152.967      56.5926    11.2435    0.994344
7108.29    152.968      56.5886    11.1759    0.994419
7108.59    152.946      56.5616    11.0942    0.994757
7108.89    152.943      56.5413    10.9972    0.995092
7109.19    152.928      56.5268    10.8778    0.995251
7109.49    152.909      56.5077    10.7276    0.995463
7109.79    152.88       56.4931    10.5309    0.995537
7110.09    152.868      56.4639    10.2543    0.995972
7110.4     152.854      56.429     9.85515    0.996501
7110.7     152.831      56.3748    9.31028    0.997309
7110.99    152.781      56.2985    8.60705    0.998338
7111.3     152.781      56.2099    7.7811     0.999914
7111.59    152.734      56.0752    6.93495    1.002002
7111.89    152.701      55.883     6.17933    1.005219
7112.19    152.681      55.616     5.57712    1.00988
7112.49    152.664      55.2037    5.11512    1.017207
7112.79    152.632      54.5783    4.743      1.028391
7113.09    152.622      53.6882    4.4083     1.044767
7113.4     152.595      52.6519    4.10692    1.064084
7113.7     152.588      51.7084    3.83633    1.082123
7114       152.577      51.2735    3.62717    1.090495
7114.3     152.554      51.6097    3.4966     1.083808
7114.6     152.544      52.5417    3.4293     1.065844
7114.9     152.539      53.6007    3.39761    1.045857
7115.2     152.533      54.4309    3.37755    1.030451
7115.5     152.535      54.9632    3.35902    1.020731
7115.8     152.512      55.2968    3.34075    1.014526
7116.1     152.482      55.4622    3.31931    1.011348
7116.4     152.503      55.5543    3.29109    1.009826
7116.7     152.498      55.5741    3.24524    1.009436
7116.99    152.474      55.5321    3.17076    1.010034
7117.3     152.466      55.5058    3.06765    1.010454
7117.6     152.453      55.4494    2.92687    1.011387
7117.9     152.434      55.3845    2.75753    1.012431
7118.2     152.421      55.3153    2.57256    1.013595
7118.5     152.405      55.239     2.38438    1.014872
7118.8     152.388      55.1387    2.20059    1.016578
7119.1     152.36       55.0062    2.02858    1.0188
7119.4     152.365      54.8499    1.86642    1.021679
7119.7     152.343      54.65      1.71654    1.025188
7119.99    152.342      54.3674    1.57237    1.030362
7120.3     152.311      53.9718    1.43028    1.037466
7120.6     152.301      53.4656    1.29629    1.046819
7120.9     152.293      52.8312    1.17442    1.058704
7121.2     152.264      52.0609    1.06647    1.073201
7121.5     152.248      51.1899    0.9732     1.089969
7121.8     152.22       50.1771    0.891012   1.109767
7122.1     152.206      48.9969    0.816598   1.133478
7122.4     152.172      47.6927    0.751176   1.160231
7122.7     152.203      46.2613    0.690835   1.190909
7123       152.181      44.7461    0.636325   1.224067
7123.3     152.152      43.2563    0.587933   1.25774
7123.61    152.138      41.8878    0.545832   1.289793
7123.9     152.114      40.7891    0.512202   1.316218
7124.2     152.493      40.0526    0.485217   1.336923
7124.5     152.475      39.4674    0.461852   1.351524
7124.8     152.473      39.0383    0.44175    1.362444
7125.1     152.456      38.6917    0.42366    1.371251
7125.4     152.429      38.3737    0.407504   1.379326
7125.7     152.412      38.0845    0.392156   1.386784
7126       152.388      37.8498    0.378278   1.392801
7126.3     152.348      37.6789    0.364579   1.397064
7126.61    152.344      37.5983    0.351717   1.399185
7126.9     152.305      37.5958    0.339571   1.398991
7127.2     152.288      37.6242    0.327418   1.398128
7127.5     152.265      37.6498    0.314274   1.397294
7127.8     152.241      37.6238    0.300641   1.397827
7128.11    152.214      37.5142    0.286581   1.40057
7128.4     152.18       37.3217    0.272239   1.405492
7128.7     152.166      37.0256    0.256868   1.413359
7129       152.142      36.6619    0.241659   1.423075
7129.3     152.114      36.2708    0.227371   1.433619
7129.6     152.079      35.8733    0.213959   1.444406
7129.9     152.068      35.5384    0.203194   1.453718
7130.2     152.033      35.2263    0.193968   1.462304
7130.5     151.996      34.9304    0.186828   1.470499
7130.8     151.976      34.66      0.182007   1.478135
7131.1     151.928      34.3885    0.179543   1.485685
7131.4     151.907      34.1482    0.179372   1.492556
7131.7     151.881      33.9461    0.18155    1.498327
7132       151.873      33.7743    0.18612    1.503344
7132.3     151.884      33.631     0.191805   1.507666
7132.6     151.873      33.5046    0.198744   1.511365
7132.9     151.858      33.3927    0.206366   1.514606
7133.2     151.855      33.2848    0.214923   1.517826
7133.5     151.854      33.1779    0.224      1.521036
7133.8     151.858      33.1057    0.232782   1.523237
7134.1     151.839      33.0391    0.241533   1.525128
7134.4     151.845      33.0015    0.249616   1.526311
7134.7     151.823      32.9717    0.257151   1.527064
7135.01    151.839      32.9617    0.26381    1.527477
7135.3     151.841      32.9507    0.269203   1.52782
7135.6     151.826      32.9442    0.274074   1.527921
7135.9     151.825      32.9429    0.278012   1.527957
7136.2     151.819      32.9471    0.281103   1.527782
7136.5     151.793      32.9577    0.283054   1.527293
7136.8     151.79       32.9815    0.283781   1.526552
7136.99    151.775      32.9972    0.284048   1.525975
7138       151.777      33.1272    0.27956    1.522058
7139.01    151.77       33.2737    0.268517   1.517595
7140.03    151.766      33.4229    0.256789   1.513097
7141.07    151.753      33.5553    0.249556   1.509059
7142.14    151.775      33.6125    0.248872   1.507503
7143.22    151.773      33.664     0.253301   1.50596
7144.31    151.771      33.7236    0.25773    1.504171
7145.44    151.746      33.788     0.256667   1.502102
7146.58    151.779      33.8935    0.247589   1.499205
7147.74    151.756      34.0188    0.233093   1.495362
7148.88    151.723      34.1939    0.218967   1.49001
7150.07    151.703      34.4139    0.210101   1.483462
7151.3     151.704      34.7239    0.206024   1.474504
7152.52    151.698      35.1079    0.203978   1.463467
7153.78    151.688      35.5343    0.204503   1.451326
7155.05    151.666      35.9385    0.208674   1.43987
7156.34    151.659      36.3486    0.215111   1.428478
7157.66    151.625      36.7743    0.220943   1.416608
7158.99    151.596      37.1881    0.224386   1.405229
7160.33    151.581      37.5461    0.227182   1.39555
7161.71    151.548      37.8464    0.231063   1.387366
7163.1     151.505      38.06      0.236161   1.381456
7164.5     151.454      38.198     0.241983   1.377495
7165.92    151.414      38.3049    0.246792   1.374442
7167.36    151.374      38.3773    0.250157   1.372288
7168.81    151.335      38.3751    0.253409   1.372088
7170.29    151.318      38.2772    0.257308   1.374529
7171.79    151.293      38.0973    0.26383    1.379074
7173.31    151.264      37.8519    0.273785   1.385344
7174.86    151.24       37.5625    0.286474   1.392859
7176.41    151.191      37.395     0.301998   1.397009
7177.99    151.19       37.3432    0.317863   1.398389
7179.59    151.185      37.2806    0.327593   1.400031
7181.2     151.148      37.1966    0.329357   1.402041
7182.84    151.112      37.0964    0.325311   1.404499
7184.49    151.074      36.9891    0.317493   1.407148
7186.16    151.032      36.8838    0.304327   1.409719
7187.85    150.981      36.7993    0.288378   1.411676
7189.56    150.986      36.7761    0.272525   1.412335
7191.29    149.298      36.3712    0.253598   1.412169
7193.03    150.628      36.7228    0.242708   1.411413
7194.8     150.795      36.7901    0.238371   1.41069
7196.59    150.784      36.8212    0.244153   1.409778
7198.39    150.734      36.8494    0.256841   1.408679
7200.22    150.681      36.874     0.274531   1.407661
7202.06    150.643      36.895     0.296293   1.406839
7203.91    150.608      36.8812    0.320688   1.40698
7205.81    150.561      36.8563    0.343867   1.407341
7207.7     150.52       36.8247    0.353796   1.407926
7209.62    150.461      36.7878    0.341807   1.408541
7211.56    150.407      36.7771    0.306858   1.408473
7213.52    150.357      36.7826    0.259754   1.407989
7215.49    150.306      36.8272    0.21735    1.406434
7217.5     150.246      36.8913    0.186878   1.404299
7219.5     150.172      36.9688    0.170648   1.401706
7221.53    150.128      37.0694    0.168521   1.398698
7223.59    150.084      37.1865    0.180286   1.395248
7225.66    149.968      37.3026    0.203943   1.39136
7227.75    147.358      36.7967    0.23278    1.387455
7229.86    150.136      37.6355    0.276196   1.38359
7231.99    150.091      37.7805    0.31961    1.379448
7234.13    150.03       37.9216    0.359984   1.375316
7236.3     149.959      38.0429    0.389384   1.371648
7238.49    149.928      38.1732    0.402903   1.368025
7240.7     149.866      38.2933    0.401869   1.364465
7242.9     149.862      38.4218    0.388851   1.361089
7245.16    147.07       37.8332    0.363483   1.357724
7247.42    149.615      38.5995    0.354576   1.354826
7249.7     149.646      38.7006    0.348409   1.352416
7252       149.566      38.7538    0.352775   1.350506
7254.32    147.109      38.1622    0.358185   1.349327
7256.66    149.665      38.855     0.371881   1.348565
7259.01    149.477      38.8263    0.36852    1.348045
7261.39    148.993      38.7067    0.357177   1.347889
7263.79    135.844      35.2719    0.316369   1.348423
7266.19    149.298      38.7739    0.34043    1.348194
7268.63    149.826      38.8953    0.331606   1.348602
7271.08    149.757      38.8719    0.315735   1.348744
7273.56    148.292      38.4905    0.29645    1.348772
7276.05    149.783      38.8886    0.290406   1.348488
7278.57    149.745      38.9255    0.284943   1.347281
7281.08    149.718      38.9846    0.277285   1.345589
7283.63    148.453      38.7359    0.265248   1.343502
7286.2     149.36       39.052     0.257856   1.341468
7288.78    149.429      39.1539    0.255225   1.339322
7291.4     149.395      39.2027    0.265214   1.33785
7294.02    149.364      39.2596    0.288931   1.336192
7296.66    149.323      39.3085    0.31967    1.334673
7299.32    149.208      39.3293    0.350399   1.33337
7302       147.813      39.0141    0.373753   1.332024
7304.7     149.318      39.4573    0.39896    1.330858
7307.42    149.247      39.4931    0.413077   1.329477
7310.17    149.182      39.5407    0.419198   1.327837
7312.92    149.087      39.608     0.419227   1.325499
7315.69    149.024      39.6787    0.419641   1.323296
7318.49    148.971      39.7719    0.422327   1.320591
7321.3     149.401      39.9978    0.427042   1.317807
7324.13    149.333      40.1047    0.429289   1.314687
7326.98    149.261      40.2136    0.431165   1.311492
7329.86    149.183      40.3131    0.434834   1.308496
7332.75    149.116      40.4052    0.444161   1.305765
7335.66    149.051      40.4878    0.455026   1.303284
7338.58    147.623      40.1922    0.4574     1.300991
7341.53    148.831      40.6101    0.457759   1.298794
7344.5     148.804      40.7019    0.442179   1.296358
7347.48    148.78       40.7953    0.419324   1.293903
7350.5     148.717      40.8895    0.3978     1.291168
7353.51    148.677      40.9918    0.379543   1.288406
7356.56    148.585      41.0648    0.364839   1.286004
7359.62    148.485      41.1476    0.351941   1.283319
7362.7     148.45       41.2483    0.34341    1.280638
7365.8     148.359      41.3461    0.34068    1.277655
7368.92    148.29       41.431     0.345623   1.275141
7372.06    148.245      41.5077    0.360825   1.272986
7375.22    148.177      41.5711    0.388632   1.270999
7378.4     148.086      41.6221    0.429593   1.269163
7381.58    148.015      41.6758    0.476541   1.267392
7384.8     147.932      41.7269    0.512687   1.265608
7388.03    147.878      41.789     0.527213   1.263751
7391.28    147.796      41.8442    0.524993   1.261878
7394.55    147.728      41.901     0.516962   1.260065
7397.85    147.65       41.9551    0.510641   1.258247
7401.16    147.556      41.9978    0.510777   1.256587
7404.49    147.478      42.0531    0.513343   1.254744
7407.82    147.373      42.0953    0.513716   1.253033
7411.2     147.302      42.1469    0.513247   1.251325
7414.57    147.221      42.2115    0.513422   1.249242
7417.98    147.12       42.2677    0.515702   1.247223
7421.41    146.991      42.3223    0.522898   1.245057
7424.86    146.914      42.3908    0.534893   1.242918
7428.32    146.844      42.4684    0.544012   1.240608
7431.8     146.697      42.5262    0.545772   1.238251
7435.3     146.664      42.6311    0.543815   1.235562
7438.81    146.557      42.7175    0.536638   1.232806
7442.35    146.398      42.7853    0.52289    1.230132
7445.91    142.467      41.749     0.495125   1.227432
7449.49    146.297      42.9805    0.498781   1.224891
7453.09    144.939      42.6855    0.491733   1.222456
7456.7     146.108      43.1444    0.497787   1.219796
7460.33    145.519      43.09      0.500795   1.217014
7463.98    145.872      43.312     0.510791   1.214298
7467.66    141.895      42.2466    0.511612   1.211567
7471.35    145.817      43.53      0.545308   1.2089
7475.06    145.689      43.5877    0.563153   1.206697
7478.79    145.555      43.6818    0.578032   1.20362
7482.54    145.433      43.7542    0.591491   1.201127
7486.31    145.279      43.8206    0.608346   1.198549
7490.1     145.182      43.9049    0.626229   1.19596
7493.9     145.066      43.9789    0.640259   1.19348
7497.72    144.975      44.0472    0.645332   1.191297
7501.56    144.861      44.123     0.643842   1.188793
7505.42    144.736      44.2033    0.6416     1.18611
7509.3     144.614      44.2741    0.641568   1.183671
7513.21    144.511      44.3504    0.645522   1.181237
7517.13    144.336      44.4187    0.651872   1.178485
7521.07    144.182      44.4858    0.657047   1.175909
7525.02    144.032      44.5468    0.659637   1.173498
7529       143.93       44.6341    0.660131   1.170827
7533       143.81       44.7058    0.660552   1.168393
7537.02    143.69       44.78      0.664126   1.165894
7541.05    143.559      44.8413    0.670073   1.163615
7545.1     143.414      44.8939    0.675784   1.161435
7549.16    143.283      44.9593    0.680453   1.159065
7553.24    143.153      45.0293    0.681289   1.156598
7557.34    142.98       45.0859    0.676482   1.154133
7561.5     142.828      45.1425    0.672592   1.151819
7565.63    142.683      45.2031    0.67203    1.149462
7569.81    142.539      45.2646    0.678107   1.147091
7574.01    142.413      45.3388    0.690709   1.144568
7578.17    142.29       45.413     0.707999   1.142067
7582.43    142.136      45.4772    0.725777   1.139574
7586.67    141.944      45.5287    0.739905   1.137086
7590.93    141.719      45.5838    0.749484   1.134295
7595.21    141.478      45.6204    0.754684   1.131791
7599.51    141.235      45.6669    0.757483   1.129051
7603.83    140.681      45.6235    0.760873   1.12607
7608.17    140.443      45.6763    0.769317   1.123226
7612.54    140.256      45.7327    0.780097   1.120653
7616.9     140.199      45.8444    0.789579   1.117809
7621.3     140.302      46.0163    0.794007   1.114802
7625.72    140.327      46.1502    0.797183   1.112072
7630.15    140.215      46.2457    0.80144    1.109211
7634.6     140.069      46.3204    0.810833   1.106555
7639.07    139.909      46.3959    0.822922   1.103777
7643.55    139.738      46.4746    0.835427   1.100861
7648.07    139.591      46.5419    0.845882   1.098363
7652.57    139.4        46.6084    0.853688   1.095567
7657.15    139.196      46.6705    0.859323   1.092772
7661.72    139.025      46.744     0.863677   1.08997
7666.3     138.844      46.8088    0.865087   1.087281
7670.9     138.66       46.8691    0.865986   1.084669
7675.53    138.511      46.9281    0.866916   1.082334
7680.18    138.292      46.9863    0.868385   1.079512
7684.84    137.991      47.0076    0.871878   1.076879
7689.52    138.116      47.1797    0.881891   1.074129
7694.21    137.826      47.2053    0.891424   1.071485
7698.92    137.633      47.2686    0.902087   1.068742
7703.67    137.39       47.3092    0.911626   1.066118
7708.43    137.301      47.406     0.922406   1.063428
7713.2     137.021      47.4345    0.933284   1.060785
7718       136.774      47.4775    0.944858   1.058072
7722.82    136.67       47.5616    0.955956   1.055542
7727.65    136.433      47.6047    0.964136   1.052904
7732.51    136.227      47.6715    0.971011   1.049987
7737.38    135.866      47.6748    0.977027   1.047265
7742.23    136.006      47.8535    0.98783    1.044554
7747.17    135.712      47.8851    0.995447   1.041735
7752.11    135.518      47.9473    1.0026     1.039005
7757.05    135.336      48.0155    1.00978    1.036238
7762.03    135.102      48.0565    1.01966    1.033651
7767.01    134.939      48.1276    1.03156    1.030963
7772       134.752      48.1937    1.04275    1.028206
7777.02    134.561      48.2622    1.0539     1.025372
7782.06    134.333      48.305     1.06285    1.022786
7787.12    134.104      48.3502    1.0717     1.020143
7792.2     133.903      48.4226    1.08053    1.017148
7797.3     133.709      48.4969    1.08816    1.014167
7802.43    133.526      48.571     1.09542    1.01127
