# XDI/1.0 
# Spectrum.license:CC BY 4.0
# Publication.authors: Peter Blanchard, Miranda Vu, Joel Reid, Erika Bergen, Jeff Warner
# Publication.affiliation: Canadian Light Source
# Facility.name:CLS
# Sample.temperature:r.t
# Sample.prep:powder, 500 um
# Sample.formula:FeAsO4(H2O)2
# Publication.DOI: https://doi.org/10.20383/103.01329
# Sample.name:Scorodite
# Scan.number:scan7
# Sample.id:5bjue8
# Scan.start_time:2019-12-11
# Element.symbol:Fe
# Facility.energy:2.90 GeV
# Facility.xray_source:Bending magnet
# Beamline.name:IDEAS
# Beamline.scan_mode:Transmission
# Beamline.website:https://ideas.lightsource.ca/
# Beamline.detector:Ionization chamber
# Beamline.energy_range:1.8 - 13.0
# Beamline.flux:5E10-7E11 ph/s
# Mono.name:InSb(111), Ge(220)
# Element.edge:K
# Column.1:Energy
# Column.2:I0
# Column.3:Itrans
# Column.4:Irefer
# Column.5:Mutrans
# Energy  I0        Itrans    Irefer    Mutrans                  
6912      1168580   854287    1342160   0.18393908035602427      
6922      1178110   870732    1374080   0.17338273738221366      
6932      1177910   880753    1395010   0.1621822519034974       
6942      1176120   888881    1413570   0.15185543036069665      
6952      1176430   898071    1435930   0.14218902338856587      
6962      1176000   907209    1456960   0.1320721134193649       
6972      1174470   916005    1477260   0.12151005504916146      
6982      1170990   923670    1494060   0.11061076786061703      
6992      1163400   926900    1503150   0.10097195073389617      
7002      1165300   938186    1528960   0.09087295786762878      
7012      1162670   945792    1547250   0.08090590658728673      
7022      1161850   953532    1564930   0.0723644728024783       
7032      1163910   966881    1597040   0.060664171676583646     
7042      1158710   972083    1609960   0.05117016230420206      
7052      1149640   973454    1615560   0.042231343982092155     
7062      1147420   981876    1637590   0.03205843635305359      
7072      1144500   987908    1649900   0.023693701919911526     
7082      1135840   988820    1652300   0.015477982143656324     
7082.5    1134340   987719    1650360   0.015277933134287588     
7083      1133600   987321    1649290   0.015037247732411066     
7083.5    1132940   986899    1648660   0.014887871245801902     
7084      1132470   986529    1647730   0.014849335779184845     
7084.5    1132840   986965    1648700   0.014738235456754846     
7085      1133100   988229    1650890   0.01372513745300069      
7085.5    1132390   987724    1650100   0.013613593071746602     
7086      1132470   988255    1651200   0.013163355295851225     
7086.5    1132690   989159    1652610   0.012468840893784073     
7087      1133300   989723    1653690   0.012438340762765464     
7087.5    1133940   990830    1655760   0.011904677735112654     
7088      1134110   991116    1656510   0.011770905043459099     
7088.5    1134720   992129    1658430   0.01130424619202296      
7089      1134890   993012    1659910   0.010590706915197366     
7089.5    1135100   993843    1661230   0.00996236061948574      
7090      1135630   994560    1662420   0.009717019804948296     
7090.5    1136480   994811    1662860   0.010195277789880615     
7091      1135360   994677    1662590   0.009374223005520124     
7091.5    1135040   994993    1662720   0.00879597833625568      
7092      1134840   994956    1662360   0.008661880456787261     
7092.5    1134160   995177    1662640   0.007869566035327919     
7093      1134060   995106    1662310   0.007853335243612727     
7093.5    1133750   994763    1661170   0.007922156795974192     
7094      1133580   994342    1660080   0.008185802126745452     
7094.5    1133360   995557    1661620   0.006820785125300471     
7095      1133480   997089    1663820   0.0054398364532339686    
7095.5    1133420   996588    1661580   0.005873525996857662     
7096      1132520   995227    1659710   0.006425431548574064     
7096.5    1132390   995966    1660410   0.005598795717467174     
7097      1131890   996274    1660310   0.00487461102787722      
7097.5    1131160   995674    1658560   0.004833406065269435     
7098      1131100   996133    1658190   0.004337719452691622     
7098.5    1130420   994474    1654860   0.005365356348477943     
7099      1130250   995422    1655640   0.004301311199515219     
7099.5    1130070   996212    1656060   0.0033825421832879834    
7100      1129620   995639    1653850   0.0035533157121831788    
7100.5    1129220   995684    1652840   0.0031681337023126894    
7101      1128890   995990    1652210   0.002589860327213255     
7101.5    1128720   995345    1650020   0.0030694133655854894    
7102      1129280   996181    1650060   0.0027380668262978075    
7102.5    1129140   996653    1648950   0.002161607947941115     
7103      1128750   997242    1647680   0.0012585884659661768    
7103.5    1128850   997220    1645580   0.0013653108621469363    
7104      1128570   997130    1642410   0.0012130978328102212    
7104.5    1128720   997036    1639630   0.0014322102545108262    
7105      1127980   996404    1634590   0.0014112371555195368    
7105.5    1128220   996660    1631140   0.001368660555853329     
7106      1127520   996223    1625520   0.0011930464361127764    
7106.5    1127250   995435    1618840   0.001725264311174435     
7107      1126570   995892    1612620   0.0007005717992587185    
7107.5    1125830   995961    1602730   0                        
7108      1124560   994821    1590060   0.000015996529534049863  
7108.5    1122300   992578    1570860   0.00025280541524587457   
7109      1120660   989897    1546480   0.0014510473411370908    
7109.5    1117340   987199    1513370   0.0012218056831091622    
7110      1112280   982950    1465440   0.0010043000496828614    
7110.5    1104910   975806    1388500   0.001627731164229002     
7111      1101200   971078    1290750   0.0030683167991127133    
7111.5    1106380   973216    1171370   0.005473459437990149     
7112      1113910   976763    1062200   0.008506739292626915     
7112.5    1119420   977003    956486    0.013028947724919948     
7113      1122770   975338    887916    0.017556104910023775     
7113.5    1124410   972131    829014    0.022140474835991977     
7114      1125480   970126    785629    0.025049175264042333     
7114.5    1125590   968692    745823    0.026570172261229145     
7115      1125620   970007    719210    0.025287459884862733     
7115.5    1126550   974997    700916    0.02113506929794411      
7116      1127070   979277    689721    0.017355520230296417     
7116.5    1126330   980314    677471    0.015701242961355912     
7117      1126720   979749    663725    0.016591194230605014     
7117.5    1126250   976817    638800    0.01907946639609574      
7118      1125920   971956    605465    0.02360849710593137      
7118.5    1125350   966602    565501    0.028447697592548525     
7119      1124450   959024    524642    0.035267330501673404     
7119.5    1124360   948412    480746    0.0459221872761975       
7120      1124630   937308    443566    0.05751272903780929      
7120.5    1124340   922537    407257    0.07258450952103683      
7121      1124940   908195    377853    0.08821118180167363      
7121.5    1125740   892070    351406    0.10617534382576556      
7122      1125730   870141    326171    0.13017248744373452      
7122.5    1126000   846031    306548    0.1575054690900533       
7123      1126370   814571    287945    0.19437142108393046      
7123.5    1127020   784552    273187    0.2311435256425769       
7124      1127260   753256    259834    0.2706113923481937       
7124.5    1126450   723733    248356    0.3084812306371966       
7125      1127100   692810    238090    0.351154101443424        
7125.5    1127880   664026    229768    0.3927493118632349       
7126      1128380   637234    222854    0.43289902310962536      
7126.5    1129000   604564    215088    0.48418976983063877      
7127      1128690   572640    207615    0.5362491882271408       
7127.5    1128670   534545    198973    0.6026294087155061       
7128      1128450   500167    191710    0.666555297637297        
7128.5    1129060   464802    184935    0.7378036695725256       
7129      1128220   432353    177947    0.8068856955159777       
7129.5    1128110   409322    172970    0.8595885065776199       
7130      1127650   387996    168073    0.9108026238345519       
7130.5    1126750   373723    164549    0.9461820530775485       
7131      1125780   364316    161953    0.9699395674882512       
7131.5    1124800   357735    160125    0.9866815590546909       
7132      1124590   354053    159674    0.9964800389979548       
7132.5    1123550   352437    159751    1                        
7133      1122670   353085    160257    0.9974725557916198       
7133.5    1122150   355753    161590    0.9897651211866779       
7134      1120700   358983    162747    0.9798005454559969       
7134.5    1119700   362756    164102    0.9688553316080128       
7135      1119050   365713    165384    0.9604650474619078       
7135.5    1118230   368031    166436    0.9536640513048098       
7136      1117240   368562    166532    0.9514191891892185       
7136.5    1116080   368287    166615    0.9511371790541197       
7137      1116010   368488    166801    0.9505504339323589       
7137.5    1115120   368196    166397    0.9505455531074152       
7138      1114350   368962    165580    0.9478748588833863       
7138.5    1113510   370863    164989    0.9421909272902234       
7139      1112980   373646    164589    0.9345210587860067       
7139.5    1112220   377231    163899    0.9246523254274084       
7140      1112380   381484    163672    0.9139779078239778       
7140.5    1111180   385830    162959    0.9020110959499433       
7141      1110970   390729    162484    0.8896593770131067       
7141.5    1109750   394736    160625    0.8787589074740925       
7142      1108860   399681    159623    0.8659775309501472       
7142.5    1107570   405754    161175    0.8503098717965382       
7143      1106880   411607    161968    0.8358953309309736       
7143.5    1105650   416808    162163    0.8227120705093763       
7144      1105410   423256    162829    0.8076961867787101       
7144.5    1103580   427096    162371    0.7973871697278732       
7145      1102980   431878    162671    0.7861236084718681       
7145.5    1102300   435685    162413    0.7770640169248549       
7146      1101400   439731    162082    0.7673607067014655       
7146.5    1100510   443148    161486    0.7591152025550914       
7147      1099690   445901    160622    0.752422994894855        
7147.5    1099160   448833    159690    0.7456367913877376       
7148      1098100   451456    158477    0.7390860453838548       
7148.5    1097870   454777    157470    0.7318149390986655       
7149      1096500   457389    155179    0.7250868979801949       
7149.5    1096580   461142    154789    0.7172755917681488       
7150      1095460   464014    154150    0.7103017114293185       
7150.5    1095580   467711    153778    0.7027532404359773       
7151      1095440   471605    153456    0.6946331513568033       
7151.5    1095030   474992    152415    0.687369962161338        
7152      1094580   477953    150798    0.6809797093062401       
7152.5    1095160   481052    149281    0.6752571240920827       
7153      1094800   484362    148727    0.6683262796854423       
7153.5    1094910   488614    150549    0.659993230090655        
7154      1096670   493990    154340    0.6509883748769884       
7154.5    1096700   498197    157135    0.6428355212958122       
7155      1098020   502939    159473    0.6348587172332235       
7155.5    1098520   506737    160717    0.6280416665109374       
7156      1098980   510152    160700    0.6219673252556168       
7156.5    1100380   514420    161931    0.6151596739468222       
7157      1102090   519324    165324    0.6075062767454553       
7157.5    1102360   522508    166514    0.601847211409602        
7158      1102570   525229    167516    0.5970212685006003       
7158.5    1103640   528195    168787    0.5925255644241723       
7159      1104390   530602    169744    0.5887955247373956       
7159.5    1104560   532187    170260    0.5860671523330463       
7160      1104390   533212    170581    0.5840628471618748       
7160.5    1105220   534484    171077    0.5824893287976394       
7161      1105330   535065    171340    0.5815374498987407       
7161.5    1104740   535032    171309    0.5810819724627195       
7162      1104030   534468    171203    0.58147915920696         
7162.5    1103210   533573    170814    0.5823789938146652       
7163      1102810   532651    170695    0.5836972926816181       
7163.5    1103170   531901    171130    0.5853711103578849       
7164      1103380   530985    171498    0.5872171128038871       
7164.5    1102630   529325    171260    0.5895812914083324       
7165      1101210   527035    170673    0.5925201065584551       
7165.5    1101230   525454    170381    0.5954352730872507       
7166      1100350   523361    170072    0.5985137093310705       
7166.5    1099820   521032    169735    0.6023507066727397       
7167      1099450   518514    169515    0.6066986209875357       
7167.5    1098980   516186    169351    0.6106263307089891       
7168      1098490   513557    169160    0.6151210564878694       
7168.5    1098840   511516    169127    0.6192691003055321       
7169      1098380   508984    168841    0.6236513661745433       
7169.5    1097460   506165    168590    0.628199870916361        
7170      1097410   503465    168419    0.6333145506811512       
7170.5    1096790   500831    168218    0.6378287392056079       
7171      1096950   498697    168216    0.6420878569246746       
7171.5    1096280   495880    167831    0.6469622011027988       
7172      1094430   492421    167137    0.6520846197939545       
7172.5    1094030   489673    166634    0.6571295860735152       
7173      1093810   487222    166823    0.6617754161753792       
7173.5    1093210   484788    166776    0.6660765917943656       
7174      1091590   481701    165857    0.6708075681438215       
7174.5    1090670   478937    166023    0.6755445662413971       
7175      1090550   476250    166381    0.6808648404586926       
7175.5    1089450   473194    166063    0.6861004235727322       
7176      1088670   470635    166218    0.690639728066979        
7176.5    1088520   468564    166499    0.6947604059095503       
7177      1088450   466742    167064    0.698456117004148        
7177.5    1087560   464901    166933    0.7014789995388822       
7178      1087800   463571    166212    0.7044550320300703       
7178.5    1088430   462210    164465    0.7078492977887507       
7179      1089090   461729    165235    0.7094382004766498       
7179.5    1089630   462137    169029    0.7090644179152291       
7180      1090180   462157    170994    0.7095093936808369       
7180.5    1090650   462012    171918    0.7102277747802983       
7181      1090260   461396    172158    0.7111696449499871       
7181.5    1091300   461536    173047    0.711796631472076        
7182      1091900   461528    173940    0.7123434877220841       
7182.5    1092860   461800    174245    0.7126228468210452       
7183      1092870   461738    174515    0.7127611717485327       
7183.5    1094030   462294    175306    0.7126236737469872       
7184      1094590   462519    175575    0.7126479338917132       
7184.5    1095150   462823    176021    0.7125075241053912       
7185      1095410   462881    175915    0.7126156174856332       
7185.5    1095520   462789    175718    0.7129041845448338       
7186      1095560   462861    175704    0.7127893565625624       
7186.5    1095810   463051    175253    0.712613588015409        
7187      1095700   462981    174848    0.7126625799483701       
7187.5    1095340   462890    174327    0.7125352282246317       
7188      1095520   462939    173877    0.712591620438436        
7188.5    1096160   463261    173794    0.7124842840494705       
7189      1096030   463062    173212    0.7127842938846174       
7189.5    1095700   462710    172631    0.713227301682891        
7190      1096110   462866    172357    0.71326301957205         
7190.5    1096400   462889    171999    0.7134702398243383       
7191      1095740   462598    171071    0.7134959984589532       
7191.5    1095750   462524    170457    0.7136590999682646       
7192      1095820   462394    170097    0.7139918393156944       
7192      1094470   461605    168899    0.7144500537435173       
7193.76   1121900   474112    173326    0.7125397839098524       
7195.53   1148770   486962    177593    0.7095745488309257       
7197.32   1174420   499984    182702    0.7054200683873252       
7199.14   1198970   512629    188077    0.7012844536246202       
7200.97   1224270   526418    194021    0.6958241477937549       
7202.82   1248130   541070    200335    0.6879621371264163       
7204.69   1272210   556184    206969    0.6798204255006218       
7206.58   1296420   572597    213928    0.6699517757798829       
7208.49   1320150   589523    218620    0.6593492105722165       
7210.41   1343140   604567    218913    0.651696909890792        
7212.36   1363990   618995    213147    0.6438067158599426       
7214.32   1384630   632757    204190    0.6370836461167751       
7216.31   1408950   647858    198925    0.6311295270741032       
7218.31   1436680   664639    197152    0.6252631142564959       
7220.33   1465690   680627    198640    0.6216181122598882       
7222.38   1496310   695363    203977    0.6209008892892289       
7224.44   1527530   710459    211485    0.6201030044341749       
7226.52   1558190   725522    222949    0.6190350002696848       
7228.61   1589110   740484    236285    0.6182986922078538       
7230.73   1623240   756075    252891    0.6186975020827761       
7232.87   1653970   770991    268125    0.6179434422130591       
7235.02   1684750   786102    282460    0.61700679099583         
7237.2    1712010   800577    292117    0.6148894977155522       
7239.39   1735910   813541    295793    0.6127676464668496       
7241.61   1763120   826960    298320    0.6119894838066443       
7243.84   1786680   839540    295953    0.610230611758233        
