# XDI/1.0 
# Spectrum.license:CC BY 4.0
# Publication.authors: Peter Blanchard, Miranda Vu, Joel Reid, Erika Bergen, Jeff Warner
# Publication.affiliation: Canadian Light Source
# Facility.name:CLS
# Sample.temperature:r.t
# Sample.prep:powder, 500 um
# Sample.formula:FeCO3
# Publication.DOI: https://doi.org/10.20383/103.01329
# Sample.name:Siderite
# Scan.number:scan1
# Sample.id:dujsej
# Scan.start_time:2022-03-20
# Element.symbol:Fe
# Facility.energy:2.90 GeV
# Facility.xray_source:Bending magnet
# Beamline.name:IDEAS
# Beamline.scan_mode:Transmission
# Beamline.website:https://ideas.lightsource.ca/
# Beamline.detector:Ionization chamber
# Beamline.energy_range:1.8 - 13.0
# Beamline.flux:5E10-7E11 ph/s
# Mono.name:InSb(111), Ge(220)
# Element.edge:K
# Column.1:Energy
# Column.2:I0
# Column.3:Itrans
# Column.4:Irefer
# Column.5:Mutrans
# Energy  I0        Itrans    Irefer   Mutrans               
6912      1018020   1025640   710012   0.6648382937250101    
6922      1074000   1097060   757290   0.6515203664345587    
6932      1076620   1111940   769559   0.6408596996871085    
6942      1075770   1123100   779236   0.6304497628746668    
6952      1078700   1138520   791998   0.6199043683034664    
6962      1082950   1155680   806090   0.6092517191423985    
6972      1072440   1154200   807204   0.6010687862858873    
6982      1065300   1157150   811500   0.5921500703346797    
6992      1064720   1168440   821592   0.5822446429472471    
7002      1062890   1178410   830953   0.5723751984573778    
7012      1059430   1186300   838940   0.5627791847262267    
7022      1056240   1194700   847235   0.5530501036384842    
7032      1055560   1207070   858311   0.5424773694273587    
7042      1055530   1217210   866513   0.5343688962758575    
7052      1055480   1232560   881190   0.5222172350015474    
7062      1056140   1246260   893123   0.5121431335247527    
7072      1044630   1243680   893838   0.5035595645338731    
7082      1053750   1268400   912124   0.49294409961498475   
7082.5    1052440   1267340   911136   0.4925500626387681    
7083      1052770   1268340   911881   0.4920909841361824    
7083.5    1052830   1269230   912531   0.49146842661976936   
7084      1054300   1272090   914670   0.4906419757276644    
7084.5    1054630   1273250   915356   0.4900638088322145    
7085      1055860   1275640   917226   0.489378216911477     
7085.5    1056190   1277330   918349   0.48840114782916205   
7086      1056680   1279220   919634   0.48742091462146125   
7086.5    1057090   1281180   920992   0.4863166975135833    
7087      1057780   1282410   921893   0.48602006752955584   
7087.5    1058320   1283270   922605   0.48586549285111874   
7088      1058820   1284100   923232   0.48569717579241406   
7088.5    1059180   1285140   923867   0.4852435074400173    
7089      1059950   1287120   925262   0.4844583508402292    
7089.5    1060280   1288520   926216   0.4837089050544653    
7090      1060380   1289260   926471   0.4832453906588604    
7090.5    1060420   1290050   927017   0.48269008847507255   
7091      1060140   1290000   926941   0.4824724265580466    
7091.5    1059550   1289700   926649   0.4821593450550728    
7092      1058800   1289070   926101   0.4819473139465434    
7092.5    1058390   1289330   926284   0.48137835639835885   
7093      1057490   1288550   925445   0.4811411433217204    
7093.5    1056260   1287250   924395   0.48099197964230334   
7094      1055270   1286450   923450   0.4806866883314638    
7094.5    1054620   1286030   923034   0.48040692163033527   
7095      1053260   1285030   922052   0.4799118385419345    
7095.5    1052350   1284280   921346   0.4796408329336686    
7096      1051460   1283880   920872   0.47912443008302175   
7096.5    1050550   1283100   919892   0.4788750854932346    
7097      1049800   1282510   919187   0.4786294917485208    
7097.5    1049160   1282420   918645   0.4781081898173539    
7098      1047790   1280580   916828   0.4782329566004082    
7098.5    1047120   1279570   915581   0.47837724908216395   
7099      1046050   1277720   913367   0.47878728974597473   
7099.5    1044830   1276100   911494   0.4788855466901595    
7100      1043600   1275250   910501   0.47839133528637856   
7100.5    1042740   1275320   910073   0.4775419290978539    
7101      1041960   1274450   909029   0.47747827470707127   
7101.5    1040870   1273770   907654   0.47698276641232984   
7102      1040300   1273820   907261   0.4764157019185938    
7102.5    1039700   1274080   906807   0.4756612414504228    
7103      1039020   1274030   905993   0.4750671458639085    
7103.5    1038330   1273810   904712   0.47459224671634803   
7104      1037940   1273750   903297   0.4742748473854763    
7104.5    1037580   1274280   902233   0.47353787547806314   
