# XDI/1.0 
# Spectrum.license:CC BY 4.0
# Publication.authors: Peter Blanchard, Miranda Vu, Joel Reid, Erika Bergen, Jeff Warner
# Publication.affiliation: Canadian Light Source
# Facility.name:CLS
# Sample.temperature:r.t
# Sample.prep:powder, 500 um
# Publication.DOI: https://doi.org/10.20383/103.01329
# Sample.name:Lithium Iron (II) Phosphate
# Scan.number:2
# Sample.id:498e7h
# Scan.start_time:2023-06-2
# Element.symbol:Fe
# Facility.energy:2.90 GeV
# Facility.xray_source:Bending magnet
# Beamline.name:IDEAS
# Beamline.scan_mode:Transmission
# Beamline.website:https://ideas.lightsource.ca/
# Beamline.detector:Ionization chamber
# Beamline.energy_range:1.8 - 13.0
# Beamline.flux:5E10-7E11 ph/s
# Mono.name:InSb(111), Ge(220)
# Element.edge:K
# Column.1:Energy
# Column.2:I0
# Column.3:Itrans
# Column.4:Irefer
# Column.5:Mutrans
# Energy  I0        Itrans    Irefer    Mutrans               
6912      1126540   491874    568907    0.3147200620705392    
6922      1128180   497762    578008    0.30433517176438224   
6932      1131750   506213    590351    0.29073745007841617   
6942      1133780   513211    600256    0.2788683900459845    
6952      1137210   518923    609877    0.2708667716096844    
6962      1139200   525851    619678    0.2594187216522337    
6972      1140710   531418    628493    0.25026508525933655   
6982      1143770   538799    638482    0.23921403791435333   
6992      1145800   547042    649737    0.22588114153459754   
7002      1146840   555322    660599    0.21184672950116612   
7012      1149200   560656    669244    0.20438603864614235   
7022      1151540   565265    676724    0.1982683031245373    
7032      1154090   570904    686659    0.19059806287648068   
7042      1155760   578657    698239    0.17862421809410522   
7052      1156710   587317    710388    0.16467145373140724   
7062      1158000   594064    720379    0.1544227781359029    
7072      1159560   598765    728492    0.1479243295731261    
7082      1162390   605536    738404    0.1391675867933871    
7082.5    1162220   605444    738387    0.1391732361969039    
7083      1162420   605849    738752    0.1386794446475016    
7083.5    1162400   605669    738625    0.13895778282292282   
7084      1162290   605807    738782    0.13863717296050262   
7084.5    1162300   606042    739016    0.13826011253275095   
7085      1162530   606541    739384    0.13763852221233697   
7085.5    1162680   606610    739804    0.1376537019776577    
7086      1162570   606822    740054    0.13721221068116227   
7086.5    1162400   607012    740392    0.13675554636526038   
7087      1162670   607401    740696    0.13634949874977323   
7087.5    1162740   607110    740537    0.13688581758925758   
7088      1162910   607552    741157    0.13630757121618345   
7088.5    1162880   608195    741949    0.13523019649523305   
7089      1163010   608816    742682    0.13432665560675994   
7089.5    1162850   608765    742615    0.13427315308605967   
7090      1163160   608866    742490    0.1343732313011757    
7090.5    1163210   608870    742490    0.13440943849350134   
7091      1163190   608902    742525    0.13434008921337426   
7091.5    1163110   609014    742571    0.13408883770350316   
7092      1163300   609620    743324    0.13326238608301255   
7092.5    1163320   609557    743174    0.1333822361128893    
7093      1163400   609965    743646    0.13278532779594143   
7093.5    1163390   610361    744130    0.1321314933981588    
7094      1163680   610941    744682    0.13143494200418193   
7094.5    1163520   610569    744248    0.13190381778545526   
7095      1163720   610904    744446    0.1315293352806528    
7095.5    1163720   611009    744519    0.13135845838487556   
7096      1163670   611338    744735    0.13078051381483788   
7096.5    1163680   611304    744663    0.13084435661364546   
7097      1163570   611509    744580    0.13041699485560593   
7097.5    1163810   611743    744319    0.13024165906526186   
7098      1163910   612214    744506    0.1295618628147844    
7098.5    1163640   612190    744424    0.12937016670070617   
7099      1163880   613152    745318    0.12801403600140257   
7099.5    1163980   613329    745379    0.12781248273196089   
7100      1164030   613911    745705    0.12691215666558314   
7100.5    1163790   613997    745568    0.12656786368170417   
7101      1164160   614082    745110    0.1267462841094664    
7101.5    1164340   614501    745235    0.12622182591845482   
7102      1164190   614630    745075    0.12588502586007358   
7102.5    1164120   614428    744373    0.12615206448919347   
7103      1163950   613803    743188    0.12701874999438856   
7103.5    1164080   613949    742960    0.12689332219851876   
7104      1164230   613888    742179    0.12712022509695017   
7104.5    1164340   613929    741448    0.1271477598026091    
7105      1164320   613791    740366    0.1273541997837147    
7105.5    1164330   613200    738661    0.12832055166680892   
7106      1164610   612774    737014    0.1292506021735604    
7106.5    1164370   611864    734850    0.1305233223826678    
7107      1164540   611613    732821    0.13107643188659107   
7107.5    1164560   610762    729756    0.13247790083770547   
7108      1164690   609708    725748    0.13430619215017808   
7108.5    1164830   608319    720557    0.1366933698337389    
7109      1164780   606310    713080    0.1399397442639366    
7109.5    1164690   604073    702984    0.14353809098170178   
7110      1164830   601092    686435    0.14857630262400237   
7110.5    1164740   597160    662873    0.15502478920706314   
7111      1164910   592235    628812    0.16340401282893258   
7111.5    1164830   587013    588552    0.1721415306077204    
7112      1165060   582014    536863    0.18084129156589931   
7112.5    1164870   578890    494983    0.18603031769030326   
7113      1165180   578068    463655    0.18770770755004934   
7113.5    1165230   576903    442720    0.18975618041211476   
7114      1165200   575004    424741    0.1930088331408725    
7114.5    1165150   573525    410285    0.19552687927090634   
7115      1164940   570443    397621    0.20070506237970467   
7115.5    1165000   566079    389307    0.20839187409777757   
7116      1165090   558622    381901    0.22165330592223306   
7116.5    1165310   549551    375633    0.23811868010874424   
7117      1165280   536333    367722    0.2622999228627295    
7117.5    1165140   519856    357284    0.293205052548152     
7118      1166990   499294    342912    0.3349079998609309    
7118.5    1166960   475132    325569    0.3842006580956972    
7119      1167210   448249    306963    0.4423236812687118    
7119.5    1166930   421935    289810    0.5022360954434324    
7120      1166970   392071    270923    0.5752578745451796    
7120.5    1166990   369015    256462    0.6355332963806339    
7121      1167300   347747    243068    0.6948193247716329    
7121.5    1167020   331490    233197    0.7421840229932752    
7122      1167320   317435    225113    0.7855159026398938    
7122.5    1167280   304707    218351    0.8261697602353107    
7123      1167270   294161    213092    0.8611828347697548    
7123.5    1167190   284259    208612    0.8951599277692829    
7124      1167250   276953    205494    0.9210998174797381    
7124.5    1167620   270429    202861    0.9451165722695937    
7125      1167640   265370    200753    0.9639099029433917    
7125.5    1167480   260924    198655    0.9805727381208162    
7126      1167580   258427    197331    0.9902187205730083    
7126.5    1167480   256749    195924    0.9966105351472776    
7127      1167520   255884    194494    1                     
7127.5    1167540   256290    193609    0.9984407173183922    
7128      1167740   258129    192545    0.9915021460028538    
7128.5    1167680   260765    191595    0.9813491168922114    
7129      1167840   265066    190733    0.9652198516843241    
7129.5    1167610   268220    190184    0.9532631067936487    
7130      1167810   271821    189742    0.9401735952086592    
7130.5    1167880   275106    189164    0.9282893075737801    
7131      1167630   277705    188770    0.9187274057808312    
7131.5    1168060   279850    188788    0.911443238012436     
7132      1167830   282097    189052    0.903296025416023     
7132.5    1167990   284582    189664    0.8947120384185963    
7133      1167700   287444    190609    0.8845158569574071    
7133.5    1168010   290370    191719    0.8747098996546631    
7134      1168040   292442    192487    0.8676657947917708    
7134.5    1168120   293847    192073    0.8629684866413152    
7135      1168240   295447    192503    0.8576714971865894    
7135.5    1168160   297732    195279    0.8499432644745364    
7136      1168310   299246    196585    0.845027766833074     
7136.5    1168170   300171    197197    0.8418399651483234    
7137      1168100   300956    197601    0.8391835869423944    
7137.5    1168250   301571    197465    0.8372815508359932    
7138      1168320   302456    197848    0.8344275805376016    
7138.5    1168460   303232    197837    0.8319990226265603    
7139      1168350   304143    197637    0.8289228090324402    
7139.5    1168370   304848    197426    0.8266377894774644    
