# XDI/1.0 
# Spectrum.license:CC BY 4.0
# Publication.authors: Mehrnaz Mikhchian
# Publication.affiliation: Canadian Light Source
# Facility.name:CLS
# Sample.temperature:r.t
# Sample.prep:powder, 500 um
# Sample.formula:FeS
# Sample.smiles:[Fe+2].[S-2]
# Publication.DOI: https://doi.org/10.20383/103.01329
# Sample.name:Iron (II) Sulfide
# Scan.number:scan1
# Sample.id:ozq8kn
# Scan.start_time:2024-05-11
# Element.symbol:Fe
# Facility.energy:2.90 GeV
# Facility.xray_source:Bending magnet
# Beamline.name:SXRMB
# Beamline.scan_type:XAFS
# Beamline.scan_mode:TEY
# Beamline.website:https://sxrmb.lightsource.ca/
# Beamline.detector:Sample Current
# Beamline.energy_range:1.7 - 10.0
# Beamline.flux:1E11 ph/s
# Mono.name:InSb(111), Si(111)
# Element.edge:K
# Beamline_scan_mode:TEY
# Column.1:Energy
# Column.2:I0
# Column.6:TEY
# Column.7:Ifluor
# Column.5:Mufluor
# Energy  I0       TEY      Ifluor    Mufluor                 
7032      42629    0.0015367036596237666    27286    139.725  
7034      42642    0.0010721973626487652    27262    34.0339  
7036      42601    0.0017369818477826432    27282    37.0396  
7038      42590    0.0010757195772241606    27229    43.0455  
7040      42582    0.00024263998178615835   27166    42.0443  
7042      42541    0                        27123    37.041   
7044      42459    0.0006968675055225533    27119    39.0396  
7046      42425    0.000981670124880796     27117    28.0331  
7048      42403    0.0018497223342187558    27163    30.0318  
7050      42386    0.0029903490726810645    27231    48.0522  
7052      42366    0.0027856519504167333    27204    41.0466  
7054      42315    0.0028399338534520783    27175    45.0507  
7056      42285    0.002829299168034204     27155    37.0394  
7058      42271    0.002611697191103631     27131    27.03    
7060      42258    0.00287772396041008      27141    46.0533  
7062      42211    0.0033159849818128143    27141    36.0363  
7064      42183    0.0034322607230658792    27131    51.059   
7066      42172    0.0035931991668384827    27135    31.0321  
7068      42068    0.0034754538344936806    27060    48.0518  
7070      41996    0.003348695581722133     27005    39.0409  
7072      42124    0.0032714613602950527    27082    35.0386  
7074      42061    0.004415268223814759     27120    40.0447  
7076      42023    0.003212166301164118     27013    46.0525  
7078      41802    0.004034059789395495     26927    45.0508  
7080      41986    0.004391306210180209     27070    37.0414  
7082      41922    0.005754672045044737     27122    34.0384  
7084      41923    0.0056428878555568876    27115    47.0511  
7086      41880    0.006152290065348494     27122    46.0519  
7088      41876    0.00572189535240287      27090    42.0498  
7090      41856    0.005750273513648037     27079    37.0433  
7092      41764    0.005845946085681003     27026    46.053   
7094      41765    0.005469615330684349     27001    41.0508  
7096      41738    0.00666561828530836      27065    34.0412  
7098      41641    0.008283023452114556     27112    50.0619  
7100      41676    0.008212615373715714     27130    47.0611  
7102      41636    0.00949373136685638      27191    27.0368  
7104      41637    0.010264201048624147     27244    38.0533  
7106      41584    0.011364767578246721     27284    32.0473  
7106.35   41591    0.012136977037884319     27341    46.0712  
7106.7    41597    0.01199047135188871      27335    52.082   
7107.05   41579    0.012636462048463706     27367    47.0755  
7107.4    41563    0.012437866533970896     27343    50.0802  
7107.75   41549    0.012249220290630625     27321    35.0581  
7108.1    41527    0.012462707500768168     27321    37.063   
7108.45   41533    0.012684813520955514     27340    47.0814  
7108.8    41522    0.013751039211821293     27405    49.0869  
7109.15   41531    0.014681556796694738     27474    44.0797  
7109.5    41494    0.016933521827028963     27602    57.1085  
7109.85   41507    0.01747025044363466      27647    49.0979  
7110.2    41524    0.018749474367063954     27745    50.1044  
7110.55   41486    0.020852878868932386     27862    46.1043  
7110.9    41507    0.02316939513294215      28033    49.1194  
7111.25   41526    0.02603489759832559      28240    54.1451  
7111.6    41533    0.029358393792761936     28470    57.1666  
7111.95   41509    0.03351371896111308      28735    68.2256  
7112.3    41508    0.038543790732193266     29075    58.2106  
7112.65   41566    0.04258905306783861      29390    56.2242  
7113      41555    0.04761469646332463      29723    68.3019  
7113.35   41574    0.05313380867785248      30111    62.2908  
7113.7    41571    0.05741150537594233      30399    84.4195  
7114.05   41715    0.06080070949030424      30735    65.3441  
7114.4    41690    0.06487872639168568      30994    71.3903  
7114.75   41716    0.06763572936228328      31201    74.4229  
7115.1    41700    0.0703099691092205       31371    72.4443  
7115.45   41701    0.07351732332165718      31590    79.5192  
7115.8    41688    0.07754303049569206      31854    79.5715  
7116.15   41690    0.0825920017970028       32199    101.806  
7116.5    41711    0.08884774887105501      32641    99.8549  
7116.85   41706    0.0967519326294017       33175    100.981  
7117.2    41728    0.10630545521171321      33843    120.279  
7117.55   41715    0.11888893909048863      34689    108.289  
7117.9    41694    0.13274164039805114      35614    128.639  
7118.25   41674    0.1477130240798699       36615    123.779  
7118.6    41704    0.1638280430995393       37738    143.183  
7118.95   41657    0.18134248111800924      38886    167.77   
7119.3    41683    0.20012802089902523      40188    173.081  
7119.65   41695    0.22072631603246826      41601    161.033  
7120      41691    0.24242258794721203      43073    172.488  
7120.35   41683    0.2656560927329145       44645    199.239  
7120.7    41706    0.29008318270433636      46332    207.584  
7121.05   41708    0.315102901834486        48037    195.506  
7121.4    41705    0.3403400933966801       49751    194.628  
7121.75   41728    0.3660496047134201       51529    235.767  
7122.1    41749    0.39352975874866825      53427    209.267  
7122.45   41753    0.42053485946858754      55272    207.273  
7122.8    41749    0.4479449590184869       57134    225.853  
7123.15   41718    0.4773751504260814       59095    232.136  
7123.5    41721    0.5054272661970484       61009    228.198  
7123.85   41744    0.5333261685318865       62943    212.881  
7124.2    41762    0.5607213354888084       64837    230.49   
7124.55   41765    0.5898384173933712       66826    255.31   
7124.9    41751    0.6184964115274937       68756    277.106  
7125.25   41753    0.6472162305241249       70716    241.222  
7125.6    41788    0.6748856411997589       72662    236.205  
7125.95   41812    0.7033679721145965       74647    259.068  
7126.3    41778    0.7325839247084777       76578    276.763  
7126.65   41831    0.7582197252942051       78425    277.937  
7127      41832    0.7843277072829755       80209    274.956  
7127.35   41821    0.8109109829503951       82002    292.656  
7127.7    41826    0.8346940781187265       83635    262.859  
7128.05   41819    0.85839031242959         85238    302.298  
7128.4    41821    0.8801207289947538       86725    291.019  
7128.75   41796    0.9028600152850516       88224    278.741  
7129.1    41797    0.9228576068896761       89590    309.001  
7129.45   41769    0.941946138988007        90831    307.994  
7129.8    41785    0.9586835197470738       92007    311.216  
7130.15   41765    0.9736656395994167       92984    315.511  
7130.5    41744    0.9849515558370273       93706    310.451  
7130.85   41749    0.9929777041003233       94264    262.687  
7131.2    41738    0.9979674940358326       94579    303.202  
7131.55   41733    0.9994554926128943       94669    303.217  
7131.9    41703    1                        94638    358.348  
7132.25   41689    0.9999231278912959       94601    332.366  
7132.6    41668    0.9979619222265985       94420    288.733  
7132.95   41635    0.9956035810539053       94185    324.963  
7133.3    41612    0.9923492696176325       93912    289.719  
7133.65   41515    0.990414212327152        93562    343.769  
7134      41487    0.9866046298931027       93241    316.608  
7134.35   41435    0.983615051564385        92922    342.599  
7134.7    41420    0.9800439614410068       92647    303.184  
7135.05   41407    0.9764338474187542       92374    321.772  
7135.4    41402    0.9725135846864226       92098    308.28   
7135.75   41444    0.9666367864330075       91794    306.149  
7136.1    41511    0.9615376094967107       91597    317.514  
7136.45   41512    0.9577552715409295       91343    294.724  
7136.8    41503    0.9527466816966887       90984    296.809  
7137.15   41524    0.9482152553295508       90723    304.018  
7137.5    41501    0.9445715748281689       90426    316.408  
7137.85   41463    0.9395285055803471       90002    299.835  
7138.2    41468    0.9344025309456482       89666    312.264  
7138.55   41452    0.929488209513304        89299    295.618  
7138.9    41472    0.9228372583036677       88892    300.784  
7139.25   41477    0.9166801368632036       88486    309.041  
7139.6    41434    0.9107155927931807       87991    326.56   
7139.95   41462    0.9032149757520088       87543    296.396  
7140.3    41432    0.8967118416454102       87040    301.615  
7140.65   41437    0.8889250768179137       86524    298.51   
7141      41430    0.8825884019424564       86081    305.601  
7141.35   41359    0.8774099959245623       85584    309.846  
7141.7    41369    0.871563063468108        85210    327.313  
7142.05   41336    0.8650096866246912       84700    291.095  
7142.4    41364    0.8584556251479333       84315    308.627  
7142.75   41319    0.8535867375916394       83895    275.406  
7143.1    41341    0.848003026385389        83563    278.465  
7143.45   41328    0.8429950770685283       83199    265.02   
7143.8    41352    0.8380257152997498       82912    252.564  
7144.15   41327    0.8339496240201331       82587    269.116  
7144.5    41347    0.8292367855496283       82309    284.616  
7144.85   41304    0.8255363849499161       81974    265.965  
7145.2    41279    0.8217300672530391       81668    259.654  
7145.55   41280    0.8176774799327617       81397    289.677  
7145.9    41194    0.8152760221914549       81066    282.425  
7146.25   41165    0.8121656110455988       80800    267.896  
7146.6    41124    0.8089240419084709       80502    281.285  
7146.95   41080    0.8058976367855988       80213    286.464  
7147.3    41106    0.8024572001194806       80033    254.408  
7147.65   41087    0.799429236294937        79793    260.587  
7148      41116    0.7950722060964607       79557    234.734  
7148.35   41172    0.7908247416109644       79380    266.661  
7148.7    41194    0.7869952101451003       79165    300.79   
7149.05   41171    0.7833513403413446       78876    249.095  
7149.4    41158    0.7800295046191486       78628    289.339  
7149.75   41171    0.7743160731786097       78269    267.638  
7150.1    41121    0.7699502284622672       77881    293.425  
7150.45   41145    0.7639856454726539       77526    290.303  
7150.8    41166    0.7580224115012542       77165    276.824  
7151.15   41156    0.7523155336411683       76763    278.806  
7151.5    41164    0.7467040601266313       76401    283.908  
7152      41144    0.7390051954063545       75847    271.53   
7153.24   41409    0.7217412818589455       75169    269.317  
7154.51   41715    0.708350781396457        74813    286.752  
7155.79   42036    0.6982958932228774       74699    278.352  
7157.09   42358    0.6918547158060651       74826    289.666  
7158.41   42659    0.6885833011926713       75130    244.253  
7159.75   43052    0.6884674002364949       75814    292.686  
7161.11   43340    0.6944180929064225       76742    256.654  
7162.49   43721    0.7007728822639907       77870    279.372  
7163.88   44090    0.7105135644075506       79228    279.51   
7165.3    44375    0.723231068375019        80661    316.671  
7166.73   44708    0.735741933162377        82179    304.425  
7168.19   45051    0.7487264372360206       83764    283.847  
7169.66   45366    0.7630769317063383       85412    290.196  
7171.15   45737    0.7769785997167192       87148    297.586  
7172.66   46062    0.7912376409408562       88839    272.874  
7174.19   46487    0.8039105268091533       90620    321.618  
7175.74   46829    0.817119130646872        92296    357.95   
7177.31   47173    0.826342969021138        93684    321.848  
7178.9    47545    0.8307927166285208       94768    352.973  
7180.5    47886    0.8338169564006571       95684    344.707  
7182.13   48312    0.8330150502295175       96472    380.88   
7183.77   48663    0.8319711073588517       97090    310.372  
7185.44   48997    0.8304904542337994       97638    321.708  
7187.12   49437    0.8281128083778986       98323    344.37   
7188.82   49815    0.8257657041733302       98884    317.501  
7190.54   50233    0.8236460982611077       99540    362.914  
7192.28   50636    0.8206982167977269       100095   318.415  
7194.04   51050    0.8175244764367302       100649   332.826  
7195.82   51467    0.81408149720615         101182   349.218  
7197.61   51834    0.811178860749221        101658   366.755  
7199.43   52289    0.8073070348843833       102220   338.782  
7201.27   52720    0.8035574431248853       102740   382.107  
7203.12   53123    0.7998617111740853       103205   381.041  
7204.99   53541    0.7959119875397455       103672   383.015  
7206.88   53951    0.792107966554236        104131   379.834  
7208.8    54393    0.7889971387101975       104708   375.688  
7210.73   54942    0.7857418920055144       105473   366.42   
7212.67   55365    0.7838375856762496       106113   349.947  
7214.64   55807    0.7819143071670602       106785   365.342  
7216.63   56216    0.781820455802435        107559   353.037  
7218.64   56698    0.7792672255430445       108245   381.958  
7220.66   57050    0.7810716693816929       109085   350.001  
7222.71   57512    0.78154704792339         110013   387.179  
7224.77   57820    0.7854987427122648       110975   366.534  
7226.85   58292    0.7867611844695497       112001   409.93   
7228.95   58748    0.7891380372307257       113105   379.016  
7231.07   59173    0.7925533123834172       114253   387.227  
7233.21   59507    0.7942536302032435       115063   381.047  
7235.37   59478    0.7974588057374911       115318   418.078  
7237.55   60504    0.79840844282011         117401   438.784  
7239.75   60994    0.7993952225596337       118450   432.689  
7241.96   61505    0.7999894840691519       119502   408.945  
7244.2    62025    0.800707385360584        120585   429.562  
7246.45   62575    0.8006557290937594       121649   411.951  
7248.73   62701    0.8011351360607669       121943   408.854  
7251.02   63289    0.8011393767998741       123087   418.098  
7253.33   64137    0.8025513849756826       124884   431.565  
7255.66   64600    0.8048136780418672       126024   438.789  
7258.01   65201    0.8049880102234332       127215   415.038  
7260.38   65697    0.805064914675742        128191   448.976  
7262.77   66096    0.8064135387947072       129115   427.251  
7265.17   62966    0.8125674645125467       123633   404.061  
7267.6    67404    0.808540077907904        131904   429.084  
7270.04   68014    0.8088669846305262       133134   420.065  
7272.51   68529    0.8097873086560408       134245   466.51   
7274.99   69073    0.8102338531938753       135361   456.182  
7277.49   69584    0.8100013744805349       136336   434.466  
7280.01   69502    0.811400385740406        136334   480.764  
7282.55   70698    0.8110358444616501       138638   465.418  
7285.11   71248    0.8096205299568277       139552   428.224  
7287.69   71798    0.8096096578201459       140628   481.862  
7290.29   72244    0.8081712784374757       141332   494.231  
7292.9    72784    0.8062144060282004       142156   447.762  
7295.54   72628    0.8052329563666699       141735   474.485  
7298.19   73724    0.8028816155369015       143591   451.778  
7300.86   74344    0.8029429154173477       144806   497.209  
7303.56   74877    0.8020739731637115       145738   466.125  
7306.27   75414    0.8014953966614495       146712   493.025  
7309      75919    0.8000872959925684       147520   508.423  
7311.75   76470    0.8001941947535827       148604   436.181  
7314.52   77056    0.8004107370560624       149770   498.054  
7317.3    77566    0.801072334592992        150845   525.85   
7320.11   78099    0.8020646413893346       152008   504.288  
7322.94   78589    0.8027297186118182       153047   529.901  
7325.78   79108    0.8042192846507046       154250   551.649  
7328.64   79649    0.8054051337136715       155459   515.535  
7331.53   80225    0.8069463893630006       156785   559.789  
7334.43   80828    0.8071552532979954       157991   515.469  
7337.35   81329    0.8074696013389063       159012   527.799  
7340.29   81783    0.8080942007811229       159983   529.852  
7343.25   82356    0.8079387055463304       161083   525.714  
7346.23   82885    0.8081480260967362       162146   550.401  
7349.23   83441    0.8078418333453177       163192   575.103  
7352.24   83988    0.8078942959362445       164269   570.969  
7355.28   84562    0.8072734655261681       165306   598.764  
7358.33   85177    0.8061781759790935       166356   529.616  
7361.4    85757    0.806258383174394        167500   537.862  
7364.5    86382    0.8068135557017944       168799   548.195  
7367.61   87140    0.8067558362503453       170272   575.899  
7370.74   87816    0.8066727388375858       171581   568.64   
7373.89   88537    0.8060584993374348       172901   652.127  
7377.06   89202    0.8062257428333836       174224   580.942  
7380.25   89826    0.8068755190113096       175538   613.906  
7383.45   90474    0.8059995439401106       176675   595.375  
7386.68   91077    0.8074359935311232       178066   579.926  
7389.92   91748    0.8068756989648614       179294   578.798  
7393.19   92328    0.8079414542022012       180588   597.256  
7396.47   92954    0.8081694477897309       181847   626.158  
7399.77   93501    0.8085882521990091       182981   644.613  
7403.09   93947    0.8104420168299877       184138   645.614  
7406.43   94398    0.8114484835252812       185177   634.287  
7409.79   94865    0.8122812113544645       186222   668.293  
7413.17   95370    0.8123626549310352       187226   596.122  
7416.57   96002    0.8119304022157231       188399   628.99   
7419.98   96571    0.8119644589912374       189521   606.363  
7423.42   97270    0.8111845353687551       190769   648.43   
7426.87   98276    0.8096193410406222       192491   654.615  
7430.35   98919    0.8094308192100746       193720   641.289  
7433.84   99607    0.8090840714674066       195011   659.824  
7437.35   100224   0.8084728188749568       196119   670.005  
7440.88   100860   0.8090589855348758       197460   622.666  
7444.43   101552   0.8093862339507235       198869   622.587  
7448      102377   0.8091791448108245       200450   704.986  
7451.59   102604   0.809887182236422        201013   650.316  
7455.2    104025   0.8096638932747696       203759   665.806  
7458.82   104696   0.8091410525522764       204984   659.606  
7462.47   104696   0.8091410525522764       204984   707.703  
7466.13   106246   0.8102038752710166       208203   687.22   
7469.82   106899   0.8109569454924183       209614   660.466  
7473.52   107624   0.810959088330683        211036   688.217  
7477.24   108335   0.8109863876003439       212435   716.944  
7480.98   108980   0.8108301373945638       213672   678.908  
7484.74   109554   0.8117564049355036       214963   685.95   
7488.52   110269   0.8122457671369157       216454   771.347  
7492.31   110856   0.813438426131964        217822   741.528  
7496.13   111529   0.8138374399647254       219217   718.805  
7499.97   112194   0.8138150568980443       220520   765.099  
7503.82   112732   0.8135516619469642       221529   755.864  
7507.7    113422   0.8143031580121949       223024   728.046  
7511.59   113966   0.8150899810275716       224240   754.773  
7515.5    114514   0.8146765835091762       225241   721.817  
7519.43   115095   0.8160514694920818       226642   698.123  
7523.38   114772   0.8184865512208866       226462   733.887  
7527.35   116485   0.817823654843254        229716   747.342  
7531.34   117100   0.8183427068156671       231028   807.96   
7535.35   116761   0.818887604739647        230463   740.974  
7539.37   118575   0.8180788878494953       233887   794.433  
7543.42   119302   0.817971044587698        235300   785.295  
7547.48   120078   0.8180092753227504       236838   788.28   
7551.56   120850   0.8180515268977153       238369   781.034  
7555.67   121412   0.8188363754406156       239633   821.978  
7559.79   122320   0.818294605593075        241317   801.585  
7563.93   123043   0.8193038930257681       242946   788.127  
7568.09   123770   0.8201137084666694       244545   777.753  
7572.27   124463   0.8195512553400081       245800   817.853  
7576.46   125061   0.8195268484971611       246976   831.061  
7580.68   125755   0.8205670824985349       248560   853.588  
7584.92   126368   0.8218443719162846       250035   806.301  
7589.17   127035   0.8229262177970355       251579   830.955  
7593.45   127632   0.8228959987437571       252755   813.46   
7597.74   128250   0.8231690804783938       254036   888.361  
7602.05   128239   0.8248884573274714       254374   925.241  
7606.38   129185   0.8245683460679418       256183   813.298  
7610.73   129649   0.8257919232447861       257362   844.103  
7615.1    130056   0.8279739852354154       258633   837.837  
7619.49   130548   0.8288827839785882       259805   813.075  
7623.9    130966   0.8298099198208437       260835   869.612  
7628.32   131440   0.830285353550902        261881   875.634  
7632.77   132080   0.8312451787631631       263363   832.412  
7637.23   132997   0.8310679289070607       265153   825.228  
7641.72   134166   0.8296582887254805       267175   892.982  
7646.22   134637   0.8324078324114494       268717   826.24   
7650.74   135301   0.8341776901965859       270433   877.424  
7655.28   136022   0.8342042747314579       271880   848.835  
7659.84   136838   0.8346610140182104       273613   831.318  
7664.42   137583   0.8343641040813576       275036   917.472  
7669.02   138195   0.8355994785703877       276538   927.635  
7673.63   138836   0.8366161042248631       278051   950.173  
7678.27   139374   0.8377396897666279       279384   900.818  
7682.92   139974   0.8386602606403453       280797   879.267  
