*Spectrum*
- Title: Fe K edge XAS HERFD of synthetic wuestite FeO at ambient conditions
- Measurement type: laboratory measurement (spectrum)
- Spectrum type: HERFD fluorescence (AU)
- Spectral unit: Energy (eV)
- Valid spectral range(s): 7078.96-7351.54 eV
- Data analysis: raw averaged spectra
- File name: XAS_HERFD_FeO.data.txt

*Sample*
- Name: Pellet of synthetic wuestite FeO mixed with cellulose
- Origin(s): synthetic
- Type: pellet
- Temperature: 293.0 +/- 2.0 K

*Experiment*
- Title: Fe K edge XAS HERFD and XES of synthetic FeO at ambient conditions
- Experimentalist(s): Ould-Chikh Samy; Aguilar-Tapia Antonio; Vollmer Ina
- Database(s): FAME-UHD @ SSHADE
- Beamline: ESRF BM16 (FAME-UHD)
- DOI: https://doi.org/10.26302/SSHADE/EXPERIMENT_SOC_20181115_004

*Data reference*
- Ould-Chikh, Samy; Aguilar-Tapia, Antonio; Vollmer, Ina (2018): Fe K edge XAS and XES of synthetic FeO at ambient conditions. SSHADE/FAME-UHD. https://doi.org/10.26302/SSHADE/EXPERIMENT_SOC_20181115_004



energy(ev)	herfd_intensity(au)
7078.960160	17.368855
7081.800160	16.781977
7083.930160	17.107771
7085.930160	17.470299
7087.980160	18.528906
7089.990160	17.440570
7092.020160	18.974287
7093.990160	18.104362
7096.030161	18.467391
7098.010161	18.115695
7100.030161	18.905432
7102.070161	19.283707
7104.040161	19.028703
7106.080161	19.060048
7108.070161	19.833418
7108.290161	19.370005
7108.440161	19.787383
7108.650161	19.656049
7108.850161	19.990245
7109.060161	19.391716
7109.260161	19.944970
7109.450161	19.955167
7109.660161	19.511171
7109.870161	19.713456
7110.050161	19.834373
7110.260161	20.025924
7110.460161	20.011267
7110.660161	20.622863
7110.840161	20.889822
7111.060161	21.634149
7111.270161	22.292077
7111.450161	23.182622
7111.660161	23.828160
7111.850161	25.015610
7112.050161	26.866447
7112.260161	28.236533
7112.450161	29.577791
7112.660161	30.309210
7112.860161	31.707657
7113.060161	32.609826
7113.250161	32.645101
7113.440161	32.724894
7113.670161	33.997863
7113.870161	34.793785
7114.050161	35.206957
7114.260161	35.088893
7114.460161	35.487923
7114.660161	36.304914
7114.870161	36.007257
7115.060161	35.183200
7115.250161	34.640182
7115.460161	34.995842
7115.660161	34.666220
7115.860161	35.019899
7116.050161	36.741514
7116.270161	37.910295
7116.450161	38.779311
7116.660161	40.157365
7116.850161	42.202550
7117.050161	44.710024
7117.250161	48.244618
7117.480161	52.366986
7117.640161	54.540871
7117.860161	58.218558
7118.050161	63.130904
7118.260161	68.560374
7118.460161	73.387398
7118.660161	78.882474
7118.870161	84.910163
7119.060161	90.402519
7119.250161	98.504717
7119.460161	104.543170
7119.660161	109.643770
7119.860161	118.370640
7120.080161	123.482970
7120.250161	128.303420
7120.450161	133.855400
7120.640161	139.851740
7120.870161	145.214750
7121.070161	148.930870
7121.250161	155.308840
7121.470161	157.036670
7121.660161	162.893770
7121.850161	165.493320
7122.050161	169.086220
7122.260161	174.057660
7122.460161	178.257820
7122.670161	183.319940
7122.850161	187.167050
7123.050161	195.221580
7123.240161	200.531960
7123.470161	206.956140
7123.670161	213.401400
7123.850161	219.115440
7124.060161	226.806620
7124.250161	236.162010
7124.470161	242.167070
7124.670161	250.746300
7124.860161	255.659720
7125.060161	260.389460
7125.270161	261.915560
7125.440161	269.026280
7125.650161	273.123320
7125.850161	275.721500
7126.070161	278.307840
7126.260161	280.769000
7126.450161	283.764060
7126.650161	286.367050
7126.850161	290.194740
7127.050161	291.459230
7127.250161	294.914020
7127.470161	298.386490
7127.660161	304.046960
7127.860161	306.969670
7128.040161	311.160460
7128.250161	314.913370
7128.470161	320.007760
7128.660161	324.999980
7128.860161	329.472680
7129.060161	329.450550
7129.260161	334.066260
7129.460161	333.611150
7129.670161	332.399610
7129.860161	332.300740
7130.070161	330.776570
7130.270161	326.838650
7130.430161	321.619220
7130.660161	322.404360
7130.870161	315.352840
7131.050161	311.756030
7131.270161	302.801960
7131.460161	296.154260
7131.650161	291.718910
7131.840161	287.130710
7132.070161	281.594620
7132.270161	274.989160
7132.450161	272.377240
7132.660161	265.481740
7132.870161	262.518510
7133.040161	257.912320
7133.270161	253.681110
7133.460161	251.506850
7133.660161	249.705820
7133.860161	247.792110
7134.050161	245.023530
7134.260161	245.066330
7134.450161	243.891200
7134.680161	241.232530
7134.860161	240.352450
7135.050161	241.131180
7135.260161	238.465150
7135.470161	237.901270
7135.640161	237.255260
7135.870161	235.238330
7136.050161	235.122990
7136.260161	233.557690
7136.450161	231.859430
7136.660161	231.253200
7136.860161	229.291080
7137.050161	228.741500
7137.270161	230.370370
7137.460161	227.667820
7137.640161	227.423270
7137.850161	224.842700
7138.080161	225.140690
7138.240161	223.359680
7138.470161	222.748210
7138.660161	222.757100
7138.860161	222.202380
7139.050161	223.243190
7139.270161	222.411450
7139.470162	223.898420
7139.660162	223.420220
7139.860162	223.428620
7140.060162	224.040350
7140.250162	224.863770
7140.460162	227.090930
7140.680162	228.093470
7140.840162	229.611530
7141.050162	233.022360
7141.270162	232.906090
7141.460162	233.607560
7141.640162	236.043250
7141.870162	237.282250
7142.070162	237.902150
7142.250162	240.151640
7142.460162	240.519200
7142.640162	242.190750
7142.860162	244.032400
7143.060162	244.214700
7143.270162	246.711820
7143.450162	245.431710
7143.650162	246.746970
7143.860162	247.224350
7144.060162	245.126480
7144.250162	245.454280
7144.470162	245.583710
7144.670162	247.380210
7144.850162	244.819690
7145.060162	245.753740
7145.260162	243.446960
7145.460162	240.758110
7145.650162	241.348820
7145.880162	238.873930
7146.030162	238.255970
7146.260162	238.387920
7146.450162	236.458440
7146.650162	235.795320
7146.850162	233.909240
7147.070162	232.097680
7147.260162	230.101770
7147.440162	229.680260
7147.650162	229.923160
7147.860162	227.287530
7148.060162	225.829620
7148.250162	224.481940
7148.480162	223.630080
7148.650162	223.263450
7148.840162	221.470610
7149.060162	223.186870
7149.260162	221.007140
7149.460162	219.416650
7149.670162	220.805240
7149.860162	217.907800
7150.050162	218.672330
7150.240162	217.234120
7150.470162	218.678940
7150.670162	219.061860
7150.840162	218.657380
7151.080162	217.717740
7151.240162	219.079830
7151.430162	217.103080
7151.670162	216.896780
7151.870162	217.702750
7152.050162	214.123960
7152.260162	217.398600
7152.450162	215.311300
7152.650162	215.687820
7152.850162	214.873050
7153.070162	215.236270
7153.270162	215.908280
7153.440162	216.282970
7153.670162	215.002710
7153.850162	213.993140
7154.040162	212.754850
7154.270162	212.630000
7154.470162	212.517890
7154.660162	212.169510
7154.840162	212.136540
7155.060162	212.549510
7155.260162	212.052310
7155.460162	214.854710
7155.670162	211.687690
7155.860162	212.523470
7156.040162	214.151330
7156.280162	210.705070
7156.430162	213.348490
7156.660162	212.517390
7156.860162	214.920790
7157.060162	213.150800
7157.260162	212.621240
7157.430162	213.207660
7157.660162	214.754140
7157.870162	216.330210
7158.050162	214.047830
7158.260162	214.720890
7158.460162	214.896160
7158.640162	215.333330
7158.860162	215.979360
7159.080162	215.126870
7159.240162	216.254730
7159.470162	217.232730
7159.660162	213.990840
7159.850162	216.372680
7160.040162	218.748320
7161.360162	220.024200
7164.180162	223.192100
7165.630162	228.616740
7167.030162	231.081590
7168.430162	243.721560
7169.970162	245.186190
7171.390162	251.351200
7172.940162	254.031640
7174.460162	256.986980
7176.010162	257.975510
7177.560162	252.665890
7179.160162	253.632590
7180.750162	252.358010
7182.350162	246.219520
7184.010163	240.749140
7185.680163	237.488480
7187.410163	234.387140
7188.960163	231.141200
7190.760163	229.809900
7192.490163	225.446540
7194.250163	224.584430
7196.000163	221.264810
7197.810163	225.994280
7199.620163	224.986640
7201.400163	226.585440
7203.280163	229.624460
7205.170163	230.641280
7207.010163	230.110390
7208.920163	230.200330
7210.870163	228.642890
7212.770163	225.687040
7214.760163	226.975060
7216.710163	231.264120
7218.730163	229.716680
7220.760163	233.545900
7222.740163	233.097100
7224.850163	233.043030
7226.880163	233.037580
7228.970164	230.304220
7231.110164	227.296180
7233.220164	228.249990
7235.370164	221.033090
7237.530164	219.318720
7239.740164	218.095080
7241.930164	222.057160
7244.160164	223.065110
7246.410164	228.556500
7248.650164	226.799330
7250.960164	227.259010
7253.220164	229.892520
7255.570164	227.547960
7257.900164	226.278820
7260.280164	224.602180
7262.610164	226.541520
7265.020164	226.147580
7267.430164	224.870450
7269.880164	229.491500
7272.300165	229.200160
7274.800165	230.860880
7277.260165	227.209930
7279.780165	228.098440
7282.320165	223.021430
7284.840165	222.745670
7287.430165	221.255110
7289.990165	218.692620
7292.620165	215.475620
7295.200165	213.894560
7297.870165	217.041530
7300.500165	216.421580
7303.200165	214.954980
7305.870165	214.065020
7308.610165	222.504480
7311.330165	221.058690
7314.080165	218.518260
7316.850166	221.489850
7319.650166	221.858270
7322.440166	221.550610
7325.270166	220.426020
7328.130166	220.911190
7330.960166	223.292830
7333.880166	220.277930
7336.750166	223.707600
7339.700166	221.886010
7342.620166	220.424710
7345.590166	219.379420
7348.540166	219.101740
7351.540166	218.260510
