# XDI/1.0
# Spectrum.license: CC BY-NC-SA 4.0
# Facility.name: ESRF
# Beamline.name: BM30B (FAME) / FAME-UHD
# Beamline.scan_mode: Fluorescence HERFD
# Beamline.detector: Crystal Analyzer Spectrometer Ge(620)
# Sample.name: Iron (II) Oxide (FeO)
# Sample.formula: FeO
# Sample.temperature: 295 K
# Sample.prep: Synthetic FeO in cellulose pellet
# Element.symbol: Fe
# Element.edge: K
# Publication.DOI: https://doi.org/10.26302/SSHADE/EXPERIMENT_SOC_20181115_004
# Database.name: SSHADE / FAME
# Database.spectrum_uid: SPECTRUM_SOC_20181115_004H
# Column.1: Energy
# Column.2: Ifluor_HERFD
# Column.3: Mufluor
# Energy       Ifluor_HERFD    Mufluor
   7078.9602       17.368855     -0.007388
   7081.8002       16.781977     -0.010243
   7083.9302       17.107771     -0.008658
   7085.9302       17.470299     -0.006895
   7087.9802       18.528906     -0.001746
   7089.9902       17.440570     -0.007039
   7092.0202       18.974287      0.000420
   7093.9902       18.104362     -0.003811
   7096.0302       18.467391     -0.002045
   7098.0102       18.115695     -0.003756
   7100.0302       18.905432      0.000085
   7102.0702       19.283707      0.001925
   7104.0402       19.028703      0.000685
   7106.0802       19.060048      0.000837
   7108.0702       19.833418      0.004598
   7108.2902       19.370005      0.002345
   7108.4402       19.787383      0.004374
   7108.6502       19.656049      0.003736
   7108.8502       19.990245      0.005361
   7109.0602       19.391716      0.002450
   7109.2602       19.944970      0.005141
   7109.4502       19.955167      0.005191
   7109.6602       19.511171      0.003031
   7109.8702       19.713456      0.004015
   7110.0502       19.834373      0.004603
   7110.2602       20.025924      0.005535
   7110.4602       20.011267      0.005463
   7110.6602       20.622863      0.008438
   7110.8402       20.889822      0.009736
   7111.0602       21.634149      0.013356
   7111.2702       22.292077      0.016556
   7111.4502       23.182622      0.020887
   7111.6602       23.828160      0.024027
   7111.8502       25.015610      0.029802
   7112.0502       26.866447      0.038804
   7112.2602       28.236533      0.045467
   7112.4502       29.577791      0.051991
   7112.6602       30.309210      0.055548
   7112.8602       31.707657      0.062350
   7113.0602       32.609826      0.066737
   7113.2502       32.645101      0.066909
   7113.4402       32.724894      0.067297
   7113.6702       33.997863      0.073488
   7113.8702       34.793785      0.077359
   7114.0502       35.206957      0.079369
   7114.2602       35.088893      0.078794
   7114.4602       35.487923      0.080735
   7114.6602       36.304914      0.084709
   7114.8702       36.007257      0.083261
   7115.0602       35.183200      0.079253
   7115.2502       34.640182      0.076612
   7115.4602       34.995842      0.078342
   7115.6602       34.666220      0.076739
   7115.8602       35.019899      0.078459
   7116.0502       36.741514      0.086832
   7116.2702       37.910295      0.092516
   7116.4502       38.779311      0.096743
   7116.6602       40.157365      0.103445
   7116.8502       42.202550      0.113392
   7117.0502       44.710024      0.125587
   7117.2502       48.244618      0.142778
   7117.4802       52.366986      0.162827
   7117.6402       54.540871      0.173400
   7117.8602       58.218558      0.191287
   7118.0502       63.130904      0.215179
   7118.2602       68.560374      0.241585
   7118.4602       73.387398      0.265062
   7118.6602       78.882474      0.291787
   7118.8702       84.910163      0.321103
   7119.0602       90.402519      0.347816
   7119.2502       98.504717      0.387221
   7119.4602      104.543170      0.416590
   7119.6602      109.643770      0.441397
   7119.8602      118.370640      0.483841
   7120.0802      123.482970      0.508705
   7120.2502      128.303420      0.532149
   7120.4502      133.855400      0.559152
   7120.6402      139.851740      0.588315
   7120.8702      145.214750      0.614399
   7121.0702      148.930870      0.632472
   7121.2502      155.308840      0.663492
   7121.4702      157.036670      0.671895
   7121.6602      162.893770      0.700382
   7121.8502      165.493320      0.713025
   7122.0502      169.086220      0.730499
   7122.2602      174.057660      0.754678
   7122.4602      178.257820      0.775106
   7122.6702      183.319940      0.799726
   7122.8502      187.167050      0.818436
   7123.0502      195.221580      0.857610
   7123.2402      200.531960      0.883437
   7123.4702      206.956140      0.914682
