# XDI/1.0 
# Spectrum.license:CC BY 4.0
# Publication.authors: Matthew Newville
# Publication.affiliation: Center for Advanced Radiation Sources, University of Chicago
# Sample.reference:none
# Facility.name:APS
# Sample.temperature:r.t.
# Sample.prep:powder on tape, 4 layers
# Sample.formula:FeO
# Sample.smiles:[Fe]=O
# Publication.DOI: https://doi.org/10.71622/XASLIB_535X-8J62
# Sample.name:Iron (II) Oxide
# Scan.number:Scan1
# Sample.id:wdf05o
# Scan.start_time:2001-08-10
# Element.symbol:Fe
# Facility.energy:7.0 GeV
# Facility.xray_source:Bending Magnet
# Beamline.name:20-BM-B
# Beamline.website:https://www.aps.anl.gov/Beamlines/Directory/Details?beamline_id=32
# Beamline.scan_mode:Transmission
# Beamline.energy_resolution:1.4 x 10^-4
# Beamline.flux:1 x 10^11 ph/s at 10 keV (toroidal focus); 2 x 10^8 ph/s at 5 µm (KB mirror)
# Beamline.spot_size:30 mm x 1 mm
# Beamline.energy_range:3.9 - 35
# Beamline.detector:Ionization chamber
# Mono.name:Si(111)
# Element.edge:K
# Column.1:Energy
# Column.2:I0
# Column.3:Itrans
# Column.4:Mutrans
# Energy   I0         Itrans         Mutrans
6911.7671  280101     290366.187637  0.05155464506464639
6916.873   278863     289977.187414  0.050000852837440324
6921.703   278149     290136.18736   0.04843558967208952
6926.8344  277292     290103.187479  0.04694062391509226
6931.7399  265707     278595.187387  0.0458340151717819
6936.9887  286669     301917.187466  0.043591165392084665
6941.7869  285989     301961.187391  0.04232329301846626
6946.8779  284661     301519.187598  0.04071896428048341
6951.9154  284411     302120.187512  0.03927541226832288
6956.9401  283577     302167.187512  0.03772001295281564
6961.9621  283824     303265.18742   0.0363334771092945
6966.8684  283568     303950.187573  0.034744709713307356
6971.9156  283397     304638.187353  0.03330402329642907
6976.8572  283310     305481.187545  0.03175959242082805
6981.9918  283214     306229.18758   0.03035898009440639
6986.8759  283061     306938.187639  0.028923939865104994
6991.9328  282971     307721.187587  0.027482461222774136
6996.9144  283022     308670.187388  0.026024261317525048
7001.8515  282885     309435.187431  0.02453563689363711
7006.9934  282810     310281.187585  0.02302892555955116
7011.8412  282732     311023.187567  0.02168874679201851
7016.9463  282596     311819.187592  0.020161051262218378
7021.8712  282484     312561.188064  0.018766147495010918
7026.8765  282375     313268.18814   0.017435538824315207
7031.973   282225     314010.186086  0.01597828456178957
7036.8361  282119     314744.188138  0.014614930524700148
7041.8952  282087     315530.185965  0.013303315171953854
7046.8567  282034     316357.186115  0.011892165981440004
7051.8254  282011     317160.186765  0.010576008528278415
7056.8965  281905     317924.188924  0.009176694951481002
7061.8378  281847     318600.188941  0.008004803216870558
7066.7546  281772     319289.186628  0.006784331645564179
7071.8057  281634     319901.186408  0.005574714835166853
7076.7476  281516     320463.188833  0.004481024667331299
7081.686   281309     320876.187273  0.0034632021395047626
7086.7913  281051     321085.186853  0.0026741494970889588
7091.5312  280416     320763.186745  0.002041082496592686
7096.5552  277908     317955.1877    0.0019447930140206945
7101.5653  240033     275002.18797   0.0012494896990216824
7101.9395  247919     284665.187768  0.00013836551511446348
7102.2817  257073     295257.188296  0
