# XDI/1.0 
# Spectrum.license:CC BY 4.0
# Publication.authors: Bruce Ravel
# Publication.affiliation: Brookhaven National Laboratory, NSLS-II
# Facility.name:NSLS-II
# Sample.temperature:rt
# Sample.prep:powder on tape
# Sample.formula:FeO
# Sample.smiles:[Fe+2].[O-2]
# Publication.DOI: https://doi.org/10.18434/mds2-4032
# Sample.name:Wustite
# Scan.number:scan1
# Sample.id:6cn8xf
# Scan.start_time:2023-05-05
# Element.symbol:Fe
# Facility.energy:3.0 GeV
# Beamline.flux:Si(111): 2x10^12 at 10 keV; 6x10^10 at 20 keV; Si(311): 4x10^11 at 10 keV; 1x10^10 at 20 keV
# Beamline.name:Beamline for Materials Measurement (BMM)
# Beamline.energy_range:4.0 - 23
# Beamline.scan_mode:Transmission
# Beamline.energy_resolution:Si(111): 1.3 x 10^-4; Si(311):1.9 x 10^-5 
# Beamline.spot_size:300 µm
# Beamline.detector:Ionization chamber
# Beamline.website:https://www.bnl.gov/nsls2/beamlines/beamline.php?r=6-BM
# Mono.name:Si(111) and Si(311)
# Element.edge:K
# Column.1:Energy
# Column.2:I0
# Column.3:Itrans
# Column.4:Irefer
# Column.5:Mutrans
# Energy  I0          Itrans     Irefer    Mutrans
6912.034  153.942949  14.173407  2.661995  0.05122634659890191
6922.003  153.795135  14.333767  2.712119  0.048077716402579226
6932.011  153.740978  14.515694  2.765716  0.04473519741591625
6942.019  153.821208  14.701177  2.820404  0.04159584912976935
6952.018  153.835941  14.890179  2.876838  0.038327069762836945
6962.022  153.821941  15.077064  2.932579  0.0350876831114613
6972.003  153.851684  15.265644  2.990062  0.031932607144183174
6982.006  153.815109  15.450108  3.046435  0.028774437206846335
6992.012  153.831502  15.637829  3.104665  0.025688202073372513
7002.011  153.794147  15.822162  3.162531  0.022604029586604384
7012.014  153.780528  16.008688  3.220418  0.019559563048921938
7022.012  153.735293  16.19124   3.278733  0.0165602169079276
7032.008  153.682964  16.37139   3.336973  0.013619398367208884
7041.88   153.647662  16.54465   3.392925  0.010845912040493922
7052.007  153.518547  16.714911  3.448182  0.007989404183872603
7061.998  152.77342   16.804846  3.485644  0.005351536878060451
7072.007  153.358002  17.026053  3.548883  0.002964281146996661
7082.001  153.259524  17.140484  3.586091  0.0010718027944738055
7083.995  153.097529  17.145735  3.588898  0.0007201215311439143
7085.995  153.212176  17.178193  3.595957  0.0004254208830603467
7087.985  153.199022  17.190647  3.598998  0.0002163200732652198
7089.99   153.204276  17.19941   3.601212  9.38504251115513e-05
7091.991  153.188868  17.203951  3.599864  0
7093.993  153.167458  17.196386  3.597208  7.734925146555923e-05
7095.99   153.129526  17.182726  3.589032  0.00021838271997102606
7097.993  153.136778  17.161498  3.578678  0.0005491796854051727
7099.99   153.125626  17.124107  3.5599    0.0010926870923694356
7101.993  153.098475  17.059048  3.532125  0.0020286130351021754
7102.286  153.100211  17.054479  3.528916  0.002100547838965079
7102.583  153.086567  17.040941  3.523233  0.0022823185799090173
7102.88   153.09538   17.030307  3.517512  0.00245815921157402
7103.182  153.079343  17.006721  3.508917  0.002788440515331658
7103.479  153.055956  16.987801  3.501708  0.0030359581200213102
7103.785  153.046135  16.973817  3.493687  0.00323165172622904
7104.082  153.048144  16.964445  3.488423  0.0033775839806606534
7104.384  153.045672  16.946399  3.479237  0.0036477906991134873
7104.686  153.033232  16.926461  3.470555  0.003930373297800815
7104.985  153.031394  16.90821   3.460751  0.004205478802179796
7105.287  153.03037   16.885528  3.450174  0.00454968297120134
7105.593  153.03217   16.864469  3.439277  0.004874549827356551
7105.89   153.032823  16.842027  3.426089  0.005219011827216236
7106.188  153.009787  16.81146   3.412942  0.00564855800368808
7106.49   153.001944  16.784274  3.397523  0.006052578927176287
7106.792  152.996099  16.752692  3.381497  0.006528276823689145
7107.089  152.991121  16.713404  3.363492  0.007125413045002882
7107.389  152.988396  16.676299  3.34312   0.007693930043274387
7107.685  152.969552  16.637795  3.320856  0.00825806391729614
7107.993  152.967064  16.594691  3.295281  0.008922751818223143
7108.293  152.950526  16.546995  3.265629  0.009636943240088007
7108.591  152.945941  16.494958  3.232907  0.01044137545532932
7108.893  152.928982  16.433031  3.193157  0.011382458014826347
7109.197  152.916982  16.357331  3.144234  0.01255275218949948
7109.499  152.896814  16.27175   3.083512  0.013871299096148289
7109.797  152.899051  16.161535  3.005305  0.01562738493525357
7110.097  152.888774  16.013605  2.898819  0.01798086482651084
7110.397  152.874095  15.819249  2.751918  0.0211044854315264
7110.697  152.835136  15.544116  2.551357  0.025562638455160134
7110.997  152.819212  15.195627  2.304391  0.0313818804737487
7111.295  152.792123  14.792922  2.03103   0.03826106506825298
7111.591  152.748104  14.40072   1.765159  0.04511498224061187
7111.896  152.707854  14.073589  1.541084  0.05097160973074217
7112.194  152.693926  13.829523  1.375241  0.05545863980825639
7112.494  152.675867  13.628342  1.252743  0.05920646887259862
7112.792  152.642252  13.450565  1.160345  0.06253506499399769
7113.092  152.635579  13.274993  1.083175  0.0659113598204673
7113.403  152.619091  13.092782  1.014274  0.0694469941049558
7113.701  152.587816  12.931319  0.954089  0.07259356165457269
7113.998  152.582827  12.799535  0.900695  0.07522627234362043
7114.3    152.561085  12.662705  0.855654  0.07796056838292623
7114.603  152.55811   12.475546  0.812782  0.08179477077807167
7114.905  152.544419  12.216008  0.773938  0.08719220154533498
7115.199  152.558539  11.893865  0.73764   0.09410645113383694
7115.498  152.55915   11.516406  0.703722  0.10242252698973218
7115.798  152.549563  11.062688  0.668367  0.1127697941891117
7116.092  152.527687  10.535611  0.630833  0.12531919457771445
7116.404  152.505386  9.926609   0.588346  0.14063331504453264
7116.7    152.479381  9.272675   0.541565  0.15815988193410266
7116.998  152.484426  8.585819   0.490478  0.17801105166104947
7117.297  152.486793  7.882262   0.435821  0.20005868229877857
7117.602  152.474959  7.168025   0.378892  0.22452863366156928
7117.903  152.451383  6.463355   0.322689  0.25116952068215853
7118.203  152.451388  5.771571   0.269239  0.28035700289183074
7118.498  152.439051  5.123395   0.222111  0.3110509906892128
7118.798  152.406856  4.525147   0.181473  0.34301067007140884
7119.104  152.406508  3.998879   0.148172  0.37488707009286043
7119.4    152.370511  3.556561   0.121743  0.4050491528709981
7119.699  152.362838  3.193226   0.100914  0.43282062811717487
7120.002  152.356004  2.881122   0.083627  0.45932744310189066
7120.296  152.329282  2.616483   0.069565  0.4841238083058657
7120.597  152.312557  2.388717   0.058106  0.5075773905043998
7120.896  152.308836  2.19039    0.048851  0.529919206128536
7121.201  152.31826   2.009735   0.041447  0.5521282388709898
7121.502  152.274304  1.842006   0.03518   0.574523167647799
7121.799  152.280531  1.684024   0.03021   0.5976531721443689
7122.102  152.256368  1.528221   0.025793  0.6226431683078459
7122.403  152.241057  1.374201   0.021775  0.6500070129987997
7122.7    152.217982  1.226955   0.018649  0.6791895964225456
7122.997  152.210342  1.087129   0.015725  0.7103729471508661
7123.301  152.183876  0.961046   0.013331  0.7421119233355472
7123.597  152.197619  0.856213   0.011451  0.7719153634177233
7123.899  152.176745  0.770024   0.009924  0.7992351190353414
7124.198  152.165199  0.701646   0.008816  0.8231919870300776
7124.501  152.147655  0.649233   0.007846  0.8431792914396037
7124.8    152.12685   0.609221   0.007114  0.8595451038955146
7125.104  152.30257   0.578726   0.00673   0.8730830277178466
7125.405  152.372215  0.553859   0.006126  0.8845242711637866
7125.709  152.33295   0.531953   0.005693  0.8948627721146668
7126.008  152.31855   0.510777   0.005451  0.9053121403259806
7126.303  152.3049    0.489505   0.005016  0.9162568015775123
7126.6    152.293833  0.466788   0.004739  0.928489843527621
7126.897  152.274317  0.44346    0.004253  0.9416750547632701
7127.195  152.279377  0.420155   0.004004  0.95560256098215
7127.496  152.242845  0.397801   0.003558  0.9696362935063757
7127.796  152.214942  0.378663   0.003304  0.9823019756030148
7128.102  152.184671  0.364632   0.003146  0.9919858440556585
7128.405  152.16697   0.355748   0.002874  0.9983153333030813
7128.705  152.141135  0.353371   0.002864  1
7129.004  152.147582  0.35823    0.002755  0.9964901487993335
7129.302  152.121877  0.369662   0.002645  0.9883468196050444
7129.606  152.121108  0.388737   0.0027    0.9753730296567343
