# XDI/1.0 
# Spectrum.license:CC BY 4.0
# Publication.authors: Bruce Ravel
# Publication.affiliation: Brookhaven National Laboratory, NSLS-II
# Facility.name:NSLS-II
# Sample.temperature:rt
# Sample.prep:PEG pellet
# Sample.smiles:[Ca+2].[Fe+2].[Al+3].[B+3].[Si+4].[O-2]
# Publication.DOI: https://doi.org/10.18434/mds2-4032
# Sample.name:Axinite
# Scan.number:scan1
# Sample.id:nslp4y
# Scan.start_time:2023-05-05
# Element.symbol:Fe
# Facility.energy:3.0 GeV
# Beamline.flux:Si(111): 2x10^12 at 10 keV; 6x10^10 at 20 keV; Si(311): 4x10^11 at 10 keV; 1x10^10 at 20 keV
# Beamline.name:Beamline for Materials Measurement (BMM)
# Beamline.energy_range:4.0 - 23
# Beamline.scan_mode:Transmission
# Beamline.energy_resolution:Si(111): 1.3 x 10^-4; Si(311):1.9 x 10^-5 
# Beamline.spot_size:300 µm
# Beamline.detector:Ionization chamber
# Beamline.website:https://www.bnl.gov/nsls2/beamlines/beamline.php?r=6-BM
# Mono.name:Si(111) and Si(311)
# Element.edge:K
# Column.1:Energy
# Column.2:I0
# Column.3:Itrans
# Column.4:Irefer
# Column.5:Mutrans
# Energy   I0           Itrans      Irefer     Mutrans               
6912.005   154.362584   30.892615   5.799903   1                     
6922.009   154.194709   31.133336   5.886199   0.9858142806266224    
6932.017   154.148135   31.392052   5.977111   0.972065223189231     
6942.033   154.180974   31.678393   6.074116   0.9578522950794273    
6951.997   154.151318   31.948271   6.168275   0.9439463185572257    
6962.002   154.143369   32.223321   6.264158   0.9301231130432929    
6972.003   154.118461   32.495769   6.361653   0.9163686632992828    
6982.019   154.075416   32.762231   6.456866   0.9028310121097972    
6992.012   154.055917   33.039003   6.556591   0.8891440061982022    
7002.013   153.98924    33.301471   6.653356   0.8757667995756526    
7012.008   153.942099   33.555816   6.747684   0.8630802628885996    
7022.014   153.877255   33.830275   6.846931   0.8493479842240543    
7032.008   153.820303   34.10515    6.945773   0.8357836122717074    
7042.011   153.726142   34.356767   7.041981   0.8230199316044353    
7052.007   153.623314   34.614758   7.136183   0.8099560118884442    
7062.006   152.895241   34.728844   7.199916   0.7970671054211564    
7072.009   153.384931   35.120187   7.318528   0.7842314374612221    
7081.984   153.331883   35.38954    7.399215   0.7714306126228037    
7083.989   153.083904   35.384962   7.400994   0.7690435787142036    
7085.982   153.224018   35.477003   7.423645   0.7663460839807754    
7087.99    153.23027    35.537673   7.437346   0.7636726962378556    
7089.992   153.202474   35.590193   7.448038   0.7610148006773014    
7091.995   153.180252   35.637714   7.454467   0.758643495986963     
7093.991   153.164423   35.686805   7.459853   0.7562713939355395    
7095.988   153.153292   35.732422   7.461889   0.7541073066083013    
7097.982   153.134875   35.782562   7.459428   0.751666939977696     
7099.996   153.085539   35.82662    7.44746    0.749178078018847     
7102.003   153.059082   35.877724   7.426945   0.746616267574071     
7102.292   153.048977   35.883306   7.421956   0.7462610771518569    
7102.585   153.038031   35.892364   7.417413   0.7457418709383296    
7102.887   153.040543   35.897002   7.412012   0.745561069824665     
7103.195   153.033629   35.901571   7.405512   0.7452846500580121    
7103.485   153.034085   35.909175   7.398935   0.7449499688534726    
7103.785   153.041857   35.913797   7.391743   0.7448250710976881    
7104.091   153.023995   35.930679   7.386306   0.7438846907407859    
7104.386   153.013468   35.928562   7.376339   0.7438688626373268    
7104.69    152.993828   35.92643    7.36526    0.743758229509739     
7104.992   152.971537   35.940588   7.354897   0.7428931283136241    
