# XDI/1.0 
# Spectrum.license:CC BY 4.0
# Publication.authors: Bruce Ravel
# Publication.affiliation: Brookhaven National Laboratory, NSLS-II
# Facility.name:NSLS-II
# Sample.temperature:rt
# Sample.prep:Powder in polyethylene glycol pellet
# Sample.smiles:[Mn+2].[Ca+2].[Si+4].[O-2]
# Publication.DOI: https://doi.org/10.18434/mds2-4032
# Sample.name:Bustamite
# Scan.number:scan1
# Sample.id:fx2qly
# Scan.start_time:2020-01-14
# Element.symbol:Fe
# Facility.energy:3.0 GeV
# Beamline.flux:Si(111): 2x10^12 at 10 keV; 6x10^10 at 20 keV; Si(311): 4x10^11 at 10 keV; 1x10^10 at 20 keV
# Beamline.name:Beamline for Materials Measurement (BMM)
# Beamline.energy_range:4.0 - 23
# Beamline.scan_mode:Transmission
# Beamline.energy_resolution:Si(111): 1.3 x 10^-4; Si(311):1.9 x 10^-5 
# Beamline.spot_size:300 µm
# Beamline.detector:Ionization chamber
# Beamline.website:https://www.bnl.gov/nsls2/beamlines/beamline.php?r=6-BM
# Mono.name:Si(111) and Si(311)
# Element.edge:K
# Column.1:Energy
# Column.2:I0
# Column.3:Itrans
# Column.4:Irefer
# Column.5:Mutrans
# Energy   I0           Itrans      Irefer     Mutrans               
6911.995   71.578881    4.605112    1.269977   0.9968529763524989    
6922.01    71.374944    4.646736    1.289583   0.9827491093259847    
6932.014   71.236228    4.696998    1.308548   0.9676304863004043    
6942.01    71.053523    4.743879    1.327622   0.952754962877477     
6952.022   70.871212    4.790384    1.345966   0.9380878239518146    
6962.019   70.732196    4.840635    1.365333   0.9233323243053525    
6972.019   70.567557    4.886978    1.384427   0.9092197433488954    
6982.01    70.407218    4.935747    1.403554   0.8946953073433669    
6992.014   70.248791    4.984718    1.424048   0.8802650557691475    
7002.013   70.10762     5.035411    1.444194   0.8658295246155782    
7012.017   69.955162    5.085599    1.463865   0.851435958921137     
7022.013   69.789094    5.13641     1.484589   0.8367762327240271    
7032.014   69.648128    5.187655    1.504515   0.8225556603640376    
7042.011   69.476526    5.237785    1.524964   0.8081750042361925    
7052.012   69.306965    5.286862    1.544433   0.7941681590469867    
7062.011   68.550627    5.289757    1.549202   0.7804581454787206    
7072.006   69.038852    5.391559    1.583405   0.7662184057175461    
7082.014   68.85378     5.440036    1.598727   0.752371412689724     
7084.01    68.865892    5.454696    1.60253    0.7493779951881251    
7086.01    68.853141    5.465469    1.605391   0.746809547923097     
7088.003   68.834102    5.475949    1.608577   0.7442006503864861    
7090.007   68.818891    5.487179    1.610072   0.7414995463076599    
7092       68.782924    5.49726     1.612013   0.7386930201355636    
7094.002   68.757377    5.507801    1.613253   0.7359711404108038    
7096.006   68.735853    5.518546    1.613648   0.7332791171633225    
7098.004   68.704511    5.527424    1.612001   0.7308233414824471    
7100.001   68.660337    5.535212    1.608416   0.728382322555528     
7101.998   68.62996     5.544131    1.604075   0.7259396378141395    
7102.083   68.631836    5.546336    1.603923   0.7254989478316629    
7102.182   68.635706    5.546341    1.603868   0.7255649788693301    
7102.278   68.607492    5.54507     1.60232    0.725348424374939     
7102.381   68.615503    5.546063    1.602363   0.7252742789704643    
7102.479   68.606536    5.54611     1.601939   0.7251086588379448    
7102.58    68.606909    5.546273    1.601003   0.7250801532513783    
7102.678   68.584296    5.545761    1.600529   0.7247977028435483    
7102.783   68.58613     5.546314    1.601038   0.7247108625817674    
7102.883   68.57413     5.546139    1.599956   0.724540176207314     
7102.984   68.5363      5.543294    1.598524   0.7244941001638191    
7103.084   68.553652    5.545116    1.5982     0.724404268765006     
7103.185   68.572973    5.546918    1.598329   0.7243529527883112    
7103.283   68.555515    5.546246    1.596894   0.7241941171807151    
7103.388   68.566089    5.547861    1.596908   0.7240311750058246    
7103.489   68.540653    5.54669     1.596018   0.7238408286410963    
7103.587   68.53891     5.546606    1.595395   0.7238285872791859    
7103.685   68.534505    5.547427    1.595055   0.7235759584752133    
7103.792   68.527783    5.546989    1.59379    0.7235531945287393    
7103.895   68.517027    5.54679     1.592603   0.7234090828029385    
7103.993   68.515325    5.546737    1.592171   0.7233908916308877    
7104.092   68.520218    5.548052    1.591896   0.7231937721521845    
7104.192   68.502188    5.547896    1.590737   0.7229140445553439    
7104.297   68.506768    5.548147    1.59082    0.7229397687425818    
7104.396   68.493064    5.547602    1.589682   0.7228185918847966    
7104.494   68.483529    5.546869    1.588309   0.7228101626079183    
7104.597   68.500233    5.549438    1.588325   0.7225493527444933    
7104.695   68.467493    5.54747     1.586027   0.7224025266459292    
7104.794   68.471551    5.54786     1.586155   0.7223893970163202    
7104.896   68.47795     5.549692    1.585569   0.7221076913527257    
7104.999   68.46622     5.548523    1.583797   0.7221545253751641    
7105.1     68.463951    5.549492    1.583977   0.7219072671647175    
7105.198   68.428112    5.546641    1.581411   0.721895679520961     
7105.299   68.463387    5.550482    1.582251   0.7216851791256562    
7105.399   68.418938    5.547853    1.580296   0.7214761023475916    
7105.496   68.430013    5.54974     1.579547   0.7212640112808861    
7105.594   68.434221    5.550012    1.577935   0.7212788651988483    
7105.695   68.422867    5.549772    1.576481   0.7211328657370363    
7105.797   68.421281    5.550325    1.57631    0.7209867025238739    
7105.898   68.419596    5.550428    1.574443   0.7209353097693464    
7105.996   68.420362    5.550892    1.573595   0.7208491505512916    
7106.097   68.421015    5.551947    1.572224   0.7206343447694593    
7106.196   68.399652    5.54983     1.570773   0.7207165825711553    
7106.294   68.393878    5.55025     1.569075   0.7205260582119286    
7106.392   68.397662    5.551097    1.567081   0.7204103007011455    
7106.497   68.393336    5.550948    1.565849   0.7203669725766526    
7106.594   68.395506    5.551829    1.565386   0.7202158671237454    
7106.694   68.353512    5.548455    1.561995   0.7202084126288538    
7106.793   68.394676    5.552458    1.561661   0.7200666019426547    
7106.898   68.407471    5.553979    1.559625   0.7199632596384512    
7106.996   68.470732    5.559601    1.55982    0.719859252740608     
7107.097   68.445309    5.558158    1.556985   0.719726224194764     
7107.195   68.442685    5.559336    1.555704   0.7194284004172634    
7107.296   68.443002    5.559919    1.552959   0.7193091173047048    
7107.397   68.456297    5.56141     1.551338   0.7192211670689111    
7107.495   68.43105     5.55969     1.548525   0.7191502971797868    
7107.6     68.421432    5.559221    1.545771   0.7190834157248676    
7107.699   68.416855    5.559138    1.543257   0.7190215719910381    
7107.797   68.409316    5.559844    1.541358   0.7187393000216948    
7107.9     68.422435    5.561988    1.53835    0.7185086701979314    
7108.003   68.398816    5.560472    1.534516   0.7184222090349124    
7108.101   68.465541    5.566135    1.533006   0.7183711935839535    
7108.198   68.46235     5.565939    1.529255   0.7183576327795396    
7108.303   68.464069    5.566616    1.526042   0.7182427703758153    
7108.403   68.453826    5.566256    1.521545   0.7181416744283613    
7108.5     68.532216    5.572747    1.51922    0.7181167325437025    
7108.603   68.514282    5.571953    1.514587   0.7179748372825704    
7108.703   68.522672    5.573186    1.509892   0.7178572415534689    
7108.802   68.554547    5.575743    1.505518   0.717864819441179     
7108.903   68.557669    5.577275    1.499767   0.7175920725432915    
7109.003   68.552495    5.577242    1.493981   0.7175092965075847    
7109.102   68.57779     5.578865    1.488103   0.717602071859639     
7109.2     68.561422    5.57873     1.481001   0.7173467916114408    
7109.301   68.552203    5.578118    1.472895   0.7173173205688914    
7109.402   68.537109    5.576724    1.464746   0.7173527009186436    
7109.5     68.548239    5.57879     1.456393   0.7171051423390423    
7109.599   68.536744    5.576845    1.445749   0.7173205418770039    
7109.704   68.522946    5.576072    1.433547   0.7172458949899274    
7109.8     68.520938    5.576973    1.421593   0.717018739649909     
7109.897   68.501467    5.576029    1.407364   0.7168819762514538    
7109.995   68.504589    5.576303    1.391827   0.71687773591999      
7110.098   68.482432    5.574732    1.372625   0.7168280824718384    
7110.197   68.493708    5.575373    1.352324   0.7168871879560481    
7110.293   68.489408    5.574357    1.329275   0.7170293604686241    
7110.4     68.483715    5.574082    1.301135   0.7169891459850115    
7110.497   68.470571    5.572274    1.272971   0.7171467878041746    
7110.593   68.452298    5.571436    1.241845   0.7170081313176738    
7110.696   68.45667     5.570859    1.206434   0.7172073935159015    
7110.797   68.446534    5.569234    1.169168   0.717378364083421     
7110.891   68.430008    5.567602    1.13189    0.7174397819453117    
7111.001   68.429       5.568083    1.087604   0.7173194421796761    
7111.097   68.418587    5.566835    1.050022   0.7174050988351954    
7111.198   68.41394     5.565668    1.011115   0.7175737729075858    
7111.303   68.410656    5.564656    0.97125    0.7177330556005781    
7111.399   68.391377    5.563616    0.936878   0.717620068369204     
7111.502   68.391157    5.562329    0.902475   0.7178915655023194    
7111.603   68.391907    5.562298    0.871108   0.7179112487470198    
7111.695   68.383561    5.561847    0.843947   0.7178625097399979    
7111.8     68.347709    5.559733    0.816397   0.7176908369074355    
7111.903   68.370903    5.561786    0.791958   0.717655255139535     
7111.998   68.340836    5.55981     0.771244   0.7175546757372777    
7112.105   68.332496    5.560044    0.749231   0.717359348965414     
7112.201   68.310166    5.557803    0.731744   0.71745014901703      
7112.302   68.309488    5.559953    0.715738   0.7169780530717377    
7112.405   68.299899    5.559404    0.6993     0.7169284995709039    
7112.502   68.305339    5.560583    0.685917   0.7167709275425036    
7112.605   68.271987    5.558211    0.671483   0.71669746138253      
7112.699   68.272601    5.559981    0.660004   0.7163292475822683    
