# XDI/1.0 
# Spectrum.license:CC BY 4.0
# Publication.authors: Bruce Ravel
# Publication.affiliation: Brookhaven National Laboratory, NSLS-II
# Facility.name:NSLS-II
# Sample.temperature:rt
# Sample.prep:Powder in polyethylene glycol pellet
# Sample.smiles:[Mn+2].[Al+3].[Si+4].[O-2].[OH-]
# Publication.DOI: https://doi.org/10.18434/mds2-4032
# Sample.name:Carpholite
# Scan.number:scan1
# Sample.id:n2wd2b
# Scan.start_time:2020-01-15
# Element.symbol:Fe
# Facility.energy:3.0 GeV
# Beamline.flux:Si(111): 2x10^12 at 10 keV; 6x10^10 at 20 keV; Si(311): 4x10^11 at 10 keV; 1x10^10 at 20 keV
# Beamline.name:Beamline for Materials Measurement (BMM)
# Beamline.energy_range:4.0 - 23
# Beamline.scan_mode:Transmission
# Beamline.energy_resolution:Si(111): 1.3 x 10^-4; Si(311):1.9 x 10^-5 
# Beamline.spot_size:300 µm
# Beamline.detector:Ionization chamber
# Beamline.website:https://www.bnl.gov/nsls2/beamlines/beamline.php?r=6-BM
# Mono.name:Si(111) and Si(311)
# Element.edge:K
# Column.1:Energy
# Column.2:I0
# Column.3:Itrans
# Column.4:Irefer
# Column.5:Mutrans
# Energy   I0           Itrans      Irefer     Mutrans               
6911.999   71.301402    2.797989    0.783005   1                     
6922.006   71.075429    2.833372    0.795784   0.9848467593543243    
6932.022   70.947772    2.869572    0.808504   0.9708947492596194    
6942.018   70.793158    2.908393    0.823574   0.9558584014012027    
6952.018   70.628882    2.951101    0.839907   0.9395885086363058    
6962.017   70.515062    2.995149    0.85541    0.9237733308845436    
6972.015   70.351425    3.033488    0.870522   0.90929246431703      
6982.014   70.238294    3.07433     0.88539    0.8948685575901201    
6992.014   70.090564    3.114052    0.901296   0.8804831506658243    
7002.009   69.947126    3.153598    0.915364   0.8663629103846426    
7012.017   69.79867     3.192235    0.931106   0.8525948919771889    
7022.013   69.692732    3.232538    0.946914   0.839054762947356     
7032.016   69.569459    3.275215    0.96433    0.8247241919485945    
7042.013   69.396201    3.315477    0.977982   0.8105618711077601    
7052.016   69.235735    3.355984    0.994539   0.7966431211840428    
7062.009   68.462086    3.367487    0.999316   0.7825315822055908    
7072.01    68.992118    3.44155     1.024889   0.7690128126873517    
7082.007   68.827119    3.482362    1.037764   0.7553590231126841    
7084       68.856186    3.49318     1.041166   0.7527795850593735    
7086.008   68.86703     3.504275    1.043102   0.749878410522737     
7088.007   68.821171    3.51136     1.046465   0.7472927764860512    
7090.001   68.827527    3.52197     1.048692   0.7444772467358208    
7092.008   68.86548     3.53371     1.051345   0.7418043514484648    
