# XDI/1.0 
# Spectrum.license:CC BY 4.0
# Publication.authors: Mehrnaz Mikhchian
# Publication.affiliation: Canadian Light Source
# Facility.name:CLS
# Sample.temperature:r.t
# Sample.prep:powder, 500 um
# Publication.DOI: https://doi.org/10.20383/103.01329
# Sample.name:Iron (III) Phospahte-x2H2O
# Scan.number:scan1
# Sample.id:3q20lp
# Scan.start_time:2024-05-10
# Element.symbol:Fe
# Facility.energy:2.90 GeV
# Facility.xray_source:Bending magnet
# Beamline.name:SXRMB
# Beamline.scan_type:XAFS
# Beamline.scan_mode:TEY
# Beamline.website:https://sxrmb.lightsource.ca/
# Beamline.detector:Sample Current
# Beamline.energy_range:1.7 - 10.0
# Beamline.flux:1E11 ph/s
# Mono.name:InSb(111), Si(111)
# Element.edge:K
# Beamline_scan_mode:TEY
# Column.1:Energy
# Column.2:I0
# Column.6:TEY
# Column.7:Ifluor
# Column.5:Mufluor
# Energy  I0       TEY      Ifluor    Mufluor                  
7032      60573    0.002046353769311518      23944    431.509  
7034      60590    0.0015016167513164538     23925    84.0957  
7036      60599    0.0013628307702889268     23922    78.0922  
7038      60531    0.0010415124578231807     23880    78.0806  
7040      60482    0.0016850546861187613     23891    85.0953  
7042      60440    0.001421573207166871      23862    73.0805  
7044      60348    0.001704859388331999      23839    100.116  
7046      60354    0.0008677568936391874     23802    83.0877  
7048      60329    0.0011838322896299115     23807    92.0983  
7050      60241    0.0013697266956621235     23781    72.0792  
7052      60244    0.001408403406863474      23784    71.0829  
7054      60188    0.0005791973604791272     23723    83.0902  
7056      60106    0.0007568336217683771     23699    86.0931  
7058      60130    0                         23673    75.0745  
7060      60079    0.00015119554120481698    23660    94.1023  
7062      60044    0.000039708174622121965   23641    71.08    
7064      60021    0.000019519638578755023   23631    90.1046  
7066      60000    0.00019635312464690534    23631    95.1166  
7068      59827    0.0005424658730581944     23579    85.0955  
7070      59773    0.0013214153959634897     23594    74.0834  
7072      59833    0.0028080792860000997     23687    77.0835  
7074      59805    0.002445120266455051      23659    77.0836  
7076      59681    0.002424794182299703      23609    74.0837  
7078      59431    0.0023361919154835952     23506    88.0975  
7080      59615    0.0015445709232876548     23542    91.1064  
7082      59631    0.0012794767719595177     23536    62.065   
7084      59554    0.0015464873438828697     23518    80.0878  
7086      59507    0.0012135322921689505     23484    71.0835  
7088      59493    0.0013327069113657811     23484    88.0992  
7090      59483    0.0010942604167483284     23469    74.0803  
7092      59434    0.002029883097250134      23493    68.0743  
7094      59410    0.0016947923173839976     23468    69.0783  
7096      59351    0.001982491391844515      23458    78.0849  
7098      59287    0.003027848309766191      23481    81.094   
7100      59271    0.0029701899565705275     23472    90.0995  
7102      59149    0.0041485479110274295     23478    113.13   
7104      59199    0.004108521188264457      23496    80.0911  
7106      59134    0.005254301005411599      23523    97.1116  
7106.35   59144    0.005406661722038411      23534    83.0959  
7106.7    59183    0.00550383442528916       23554    70.0814  
7107.05   59133    0.00589227412872719       23552    64.0764  
7107.4    59141    0.006040120739312399      23562    73.0872  
7107.75   59160    0.005442093408466997      23542    80.096   
7108.1    59155    0.005528643030038655      23544    81.0972  
7108.45   59155    0.006418069374568489      23585    87.1058  
7108.8    59103    0.006672806193574532      23576    82.0993  
7109.15   59146    0.006626102812899912      23591    100.124  
7109.5    59100    0.006677077035977001      23575    78.0985  
7109.85   59108    0.006759768244742337      23582    97.1242  
7110.2    59076    0.00710226142256424       23585    80.1043  
7110.55   59085    0.008327364725475312      23645    85.1152  
7110.9    59073    0.008866154526087704      23665    83.1164  
7111.25   59111    0.009686272661559674      23718    85.1214  
7111.6    59131    0.011204881351657696      23796    86.1284  
7111.95   59130    0.013774509743042219      23914    80.1276  
7112.3    59173    0.01732266358979247       24095    65.1104  
7112.65   59200    0.0219182765601768        24318    74.1379  
7113      59212    0.02820481661557995       24613    79.1633  
7113.35   59217    0.03591785618527941       24971    104.234  
7113.7    59198    0.04333184543815725       25305    93.2225  
7114.05   59240    0.04885671394766337       25578    102.261  
7114.4    59256    0.05113261645986447       25690    83.2227  
7114.75   59300    0.05013552159135703       25663    95.2612  
7115.1    59236    0.04783260931778696       25529    89.2478  
7115.45   59284    0.042103170802345935      25285    113.302  
7115.8    59296    0.03534839227699601       24978    88.2259  
7116.15   59279    0.03026461265997613       24736    72.174   
7116.5    59266    0.02683102891006437       24572    73.1708  
7116.85   59255    0.024287678524213433      24450    73.1655  
7117.2    59260    0.023073637998489598      24396    99.2221  
7117.55   59275    0.024044069248535006      24447    87.198   
7117.9    59249    0.02473116071255423       24468    89.2057  
7118.25   59282    0.026752371060318057      24575    91.2125  
7118.6    59438    0.028098102497296964      24702    98.2401  
7118.95   59468    0.03108750949798652       24853    101.254  
7119.3    59456    0.03348360336781271       24959    82.2134  
7119.65   59456    0.038642060239854455      25198    91.2467  
7120      59480    0.04381631211283365       25448    103.299  
7120.35   59488    0.051378926859923874      25802    114.346  
7120.7    59508    0.06154288804377207       26282    88.2874  
7121.05   59509    0.07319963891821166       26823    106.385  
7121.4    59533    0.08799069957968705       27520    100.402  
7121.75   59523    0.10786015283605085       28437    99.432   
7122.1    59544    0.13035932175640205       29491    113.566  
7122.45   59532    0.1566779129728322        30706    135.76   
7122.8    59545    0.18511035221166902       32032    122.77   
7123.15   59509    0.2200739419902341        33634    116.832  
7123.5    59529    0.2547095455891338        35252    134.088  
7123.85   59567    0.29181778574621386       36997    150.345  
7124.2    59564    0.3290219621555674        38722    148.491  
7124.55   59603    0.3667569133274105        40500    156.723  
7124.9    59629    0.40145574368986686       42130    163.938  
7125.25   59634    0.43589632407321005       43734    174.226  
7125.6    59630    0.4681326333274552        45229    158.194  
7125.95   59682    0.5010423468771289        46799    188.742  
7126.3    59685    0.5334148084353262        48307    208.215  
7126.65   59697    0.5651066371417482        49791    203.301  
7127      59743    0.5970177643200724        51315    205.501  
7127.35   59710    0.6327013731074815        52947    217.96   
7127.7    59716    0.6672281594192995        54559    213.051  
7128.05   59736    0.7026466663003996        56226    243.795  
7128.4    59724    0.7376547550730509        57844    241.007  
7128.75   59699    0.7735355705631893        59489    233.057  
7129.1    59716    0.8075332893171676        61088    243.481  
7129.45   59710    0.8397522917616009        62581    265.114  
7129.8    59666    0.8698008069726031        63932    284.918  
7130.15   59664    0.895785857487362         65138    248.126  
7130.5    59678    0.9191107253990788        66238    257.513  
7130.85   59637    0.9393915831706733        67135    296.735  
7131.2    59653    0.9548155970821918        67870    282.477  
7131.55   59599    0.9688421811412492        68460    252.757  
7131.9    59598    0.9792884393507976        68944    284.701  
7132.25   59540    0.9882134588362743        69291    250.842  
7132.6    59538    0.9931994407308665        69520    268.34   
7132.95   59519    0.996868751598781         69668    281.754  
7133.3    59512    0.997519822392121         69690    298.245  
7133.65   59350    1                         69615    286.912  
7134      59337    0.9994430765246833        69574    305.405  
7134.35   59237    0.999838481603675         69475    314.65   
7134.7    59245    0.997902420274737         69395    265.264  
7135.05   59210    0.9967319883648668        69300    281.733  
7135.4    59213    0.9955722888659613        69250    289.929  
7135.75   59255    0.9941620191278366        69234    294.093  
7136.1    59278    0.9934936625977612        69230    259.158  
7136.45   59309    0.9918015521762185        69188    262.234  
7136.8    59305    0.9903661927088785        69117    310.545  
7137.15   59335    0.9883556232487474        69059    258.095  
7137.5    59334    0.9856124268530971        68931    284.781  
7137.85   59307    0.9820934211227342        68737    243.597  
7138.2    59275    0.9778087456398079        68502    250.792  
7138.55   59310    0.9714378770960673        68248    282.648  
7138.9    59307    0.9661031409524257        67998    285.711  
7139.25   59269    0.9594251080934443        67646    274.323  
7139.6    59274    0.9509880464926639        67262    279.434  
7139.95   59244    0.9433643969364717        66876    294.81   
7140.3    59244    0.9433643969364717        66876    246.485  
7140.65   59185    0.9261616490471579        66016    265.947  
7141      59195    0.9163812280525886        65576    284.394  
7141.35   59156    0.908120637307695         65152    271.975  
7141.7    59172    0.8996491871664313        64779    249.297  
7142.05   59179    0.8918934273295374        64429    245.18   
7142.4    59145    0.8852761974418316        64087    269.746  
7142.75   59158    0.8779423544056633        63763    237.927  
7143.1    59146    0.8704121954045082        63403    243.989  
7143.45   59135    0.8633549602980399        63066    255.281  
7143.8    59138    0.8565586701095282        62756    265.434  
7144.15   59163    0.8498665448524546        62474    246.934  
7144.5    59163    0.8429690001606743        62156    279.728  
7144.85   59171    0.8377335452271774        61923    235.637  
7145.2    59123    0.8309883146637522        61562    247.852  
7145.55   59062    0.8257632117496201        61258    249.861  
7145.9    58972    0.8204611507517536        60921    267.276  
7146.25   58905    0.8154116082964267        60620    251.888  
7146.6    58884    0.8107829888851189        60386    280.504  
7146.95   58835    0.8071895722845205        60171    258.943  
7147.3    58826    0.8013913332984668        59896    238.428  
7147.65   58808    0.7955721831093353        59611    245.59   
7148      58808    0.7955721831093353        59611    263.924  
7148.35   58872    0.7858096043530208        59228    203.56   
7148.7    58876    0.7812754831007258        59024    251.609  
7149.05   58937    0.7761118091800054        58848    211.709  
