# XDI/1.0 
# Spectrum.license:CC0-4.0
# Contact.author.name:Industrial Science Group
# Contact.author.affiliation:Canadian Light Source
# Sample.reference:
# ScanParameters.E0:
# Sample.temperature:r.t
# Sample.prep:powder, 500 um
# Facility.name:CLS
# Facility.energy:2.90 GeV
# Facility.xray_source:Bending magnet
# Beamline.name:IDEAS
# Beamline.scan_mode:Transmission
# Beamline.detector:Ionization chamber
# Beamline.energy_range:1800 - 13000
# Beamline.flux:5E10-7E11 ph/s
# Mono.name:InSb(111), Ge(220)
# Scan.start_time:2022-03-20
# Sample.name:olivine
# Sample.id:aw4rkf
# Element.symbol:Fe
# Element.edge:"K:7112"
# Column 1:Energy
# Column 2:I0
# Column 3:Itrans
# Column 4:Irefer
# Column 5:Mutrans


# Energy  I0        Itrans    Irefer    Mutrans               
6912      1014080   907515    864933    0.8891060998273792    
6922      1071540   963358    911135    0.8847589299135181    
6932      1075900   978650    926333    0.8737128788387918    
6942      1075130   988184    936116    0.8638741659925764    
6952      1078930   1003060   951103    0.8530878639894143    
6962      1081640   1016860   964939    0.8425453332215073    
6972      1070010   1014440   963417    0.834580729589667     
6982      1062790   1016760   966646    0.8260234550902901    
6992      1060730   1025380   975489    0.8162116104110165    
7002      1061890   1038210   988953    0.8054930258421307    
7012      1062910   1051300   1002820   0.7945594282301005    
7022      1057360   1056180   1008680   0.7852352522881648    
7032      1057010   1067940   1021170   0.7744578951228526    
7042      1057140   1075460   1027340   0.7679427767800565    
7052      1057350   1093550   1048610   0.7523662864874693    
7062      1056650   1104880   1060570   0.7419993676930199    
7072      1046760   1107160   1064830   0.7311640869845377    
7082      1059380   1133530   1089160   0.7202446647350871    
7082.5    1058860   1133400   1089110   0.719889060115827     
7083      1059050   1134330   1089950   0.7192834894103746    
7083.5    1059620   1135730   1091280   0.7186263256019622    
7084      1060150   1137140   1092320   0.7179263569833159    
7084.5    1060770   1138880   1093990   0.7170339145065701    
7085      1061540   1140150   1095220   0.7166663986616691    
7085.5    1062230   1141580   1096630   0.7160959216349565    
7086      1063330   1143720   1098480   0.7153041408270352    
7086.5    1064280   1145920   1100570   0.7143319870659219    
7087      1064840   1147260   1101800   0.7137246560705756    
7087.5    1066230   1149610   1103810   0.7130236606507088    
7088      1068230   1152660   1106940   0.7122907271157154    
7088.5    1069160   1154590   1108680   0.7115320713775529    
7089      1069110   1155140   1108900   0.711037797766058     
7089.5    1069510   1156400   1110120   0.7103610382394154    
7090      1069330   1157020   1110410   0.7096954216924789    
7090.5    1069560   1157790   1111170   0.7092699443005669    
7091      1069360   1158050   1111090   0.7088810080034003    
7091.5    1069400   1158660   1111710   0.7084186855213365    
7092      1068480   1158100   1110890   0.7080621822549776    
7092.5    1067710   1157910   1110730   0.7075359456437432    
7093      1066360   1156700   1109340   0.7073283599417999    
7093.5    1065060   1155680   1108210   0.7070092766941374    
7094      1063580   1154530   1106840   0.7066360017166005    
